"job_title","department","earnings","meta_row_index","meta_row_id"
"CITY MANAGER","CITY MANAGER'S OFFICE","258704.94","0","8447f68210e54cd36bccce9abbd8c215867e23ab"
"DEPUTY CITY MANAGER","CITY MANAGER'S OFFICE","174086.45","1","affd9573571792b699a6a3ee3b81b1c5c8c9055c"
"CHIEF OF POLICE","OFFICE OF THE CHIEF","169963.75","2","780e5f2ae91841197e2f557a4809f4a0a45c124f"
"CHIEF FINANCIAL OFFICER","FINANCE ADMINISTRATION","163179.19","3","606de27de6c928623200aacdc5b8414255645a9a"
"UTILITIES EXECUTIVE DIRECTOR","UTILITIES MANAGEMENT","160611.55","4","0c014c1a32841909dc27dbc138878b718b0d0be7"
"ASSISTANT CITY MANAGER","CITY MANAGER'S OFFICE","159519.02","5","aad2d0ce62477e6349a484982f38e4941a7d1e43"
"ADMINISTRATIVE FIRE CHIEF","POUDRE FIRE AUTHORITY","159251.23","6","ddd7962fe98d6782532ef816d3dd5afadaf2959d"
"ASSISTANT CITY MANAGER","CITY MANAGER'S OFFICE","156335.94","7","093d6a9ff55dc33eec4b594d862770e71f48f9a8"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","141364.69","8","4e6170d4dbd3a0a33e9d4e6f37c420ac669ccc2a"
"CITY ATTORNEY","CITY ATTORNEY'S OFFICE","139572.62","9","3dc8faad4c96f381af616640b98c3471552df660"
"POLICE DEPUTY CHIEF","POLICE INFORMATION SERVICES","136783.77","10","de7fd97776a1ede587f54eb2d784115bf5612f3f"
"POLICE ASSISTANT CHIEF","OFFICE OF THE CHIEF","134733.91","11","890cc9e70fa88e4d7b3b41d50c31da8ec9277628"
"LIBRARY DIRECTOR","LIBRARY DISTRICT","131481.06","12","93b1d19298197bd19283fdb3258a2b844d50b51d"
"CHIEF INFORMATION OFFICER","INFORMATION TECHNOLOGY","130630.23","13","eaa896616d92481a41e9cbc25572b551ca55d403"
"SYSTEMS ANALYST","INFORMATION TECHNOLOGY","128388.34","14","247d0801b5eda5d40627dfc4783d8902248810bf"
