"first_name","last_name","title","jurisdiction","state","zip_code"
"Brendette","Brown-Green","Circuit Judge","10th Judicial Circuit","Alabama","35203"
"Benton","Beasley","Commissioner","Abbeville","Alabama","36310"
"Jay","Calhoun","Commissioner","Abbeville","Alabama","36310"
"Jim","Giganti","Mayor","Abbeville","Alabama","36310"
"Henry","Grimsley","Commissioner","Abbeville","Alabama","36310"
"David","Money","Chair","Abbeville","Alabama","36310"
"Gregory","Reynolds","Commissioner","Abbeville","Alabama","36310"
"John","Saunders","Commissioner","Abbeville","Alabama","36310"
"Donald","Baker","Police Chief","Addison","Alabama","35540"
"Tim","Cooper","Councilmember","Addison","Alabama","35540"
"Mike","Long","Councilmember","Addison","Alabama","35540"
"Cindy","Luker","City Clerk","Addison","Alabama","35540"
"George","Palmer","Councilmember","Addison","Alabama","35540"
"Marsha","Pigg","Mayor","Addison","Alabama","35540"
"Randy","Powell","Councilmember","Addison","Alabama","35540"
"Mark","Wilson","Fire Chief","Addison","Alabama","35540"
"Brandon","Womack","Councilmember","Addison","Alabama","35540"
"Shelia","Kennedy","Mayor","Akron","Alabama","35441"
"Rio","Maxwell","Tribal","Alabama ","Alabama","32118"
"Marty","Handlon","Mayor","Alabaster","Alabama","35007"
"Tracy","Honea","Mayor","Albertville","Alabama","35950"
"Jim","Nabors","Mayor","Alexander City","Alabama","35010"
"Sandra","Holland","Mayor","Allgood","Alabama","35121"
"Hazel","Griffin","Councilmember ","Andalusia","Alabama","36420"
"Earl","Johnson","Mayor","Andalusia","Alabama","36420"
"Kenneth","Mount","Councilmember ","Andalusia","Alabama","36420"
"Terry","Powell","Councilmember ","Andalusia","Alabama","36420"
"Will","Seconiers","Councilmember ","Andalusia","Alabama","36420"
"Ralph","Wells","Councilmember ","Andalusia","Alabama","36420"
"Richard","Belue","Councilmember","Anderson","Alabama","35610"
"Stephanie","Bumpus","City Clerk","Anderson","Alabama","35610"
"Butch","Collins","Police Chief","Anderson","Alabama","35610"
"Jimmy","Glass","Mayor","Anderson","Alabama","35610"
"Terry","Haraway","Councilmember","Anderson","Alabama","35610"
"Joey","Phillips","Fire Chief","Anderson","Alabama","35610"
"Kip","Williams","Councilmember","Anderson","Alabama","35610"
"John Edward","Williams","Councilmember","Anderson","Alabama","35610"
"Bob","Joslin","Mayor","Arab","Alabama","35016"
"Marie","Black","Mayor","Ariton","Alabama","36311"
"Aaron","Brown","Police Chief","Arley","Alabama","35541"
"Tammi","Farley","Clerk","Arley","Alabama","35541"
"Roger","Fincher","Councilmember","Arley","Alabama","35541"
"Gerald","Goodwin","Councilmember","Arley","Alabama","35541"
"Devin","Guthrie","Councilmember","Arley","Alabama","35541"
"Wade","Leathers","County Attorney","Arley","Alabama","35541"
"James","Rickett","Fire Chief","Arley","Alabama","35541"
"Bobby ","Smith","Councilmember","Arley","Alabama","35541"
"Christopher","Tyree","Mayor","Arley","Alabama","35541"
"Robert","Williams","Councilmember","Arley","Alabama","35541"
"Carole","Barfield","Councilmember","Ashford","Alabama","36312"
"Guy ","Bruner","Councilmember","Ashford","Alabama","36312"
"Gary","Gibson","Councilmember","Ashford","Alabama","36312"
"Jonathan","Grecu","Mayor","Ashford","Alabama","36312"
"Denise","Herndon","Councilmember","Ashford","Alabama","36312"
"John","McCoy","Councilmember","Ashford","Alabama","36312"
"Ronnie","Whitehead","Councilmember","Ashford","Alabama","36312"
"John","Whitehurst","Councilmember","Ashford","Alabama","36312"
"Wayne","Harper","Councilmember","Athens","Alabama","35611"
"Ronnie","Marks","Mayor","Athens","Alabama","35611"
"Harold","Wales","Councilmember","Athens","Alabama","35611"
"Jim","Staff","Mayor","Atmore","Alabama","36504"
"Larry","Means","Mayor","Attalla","Alabama","35954"
"Bill","Ham","Mayor","Auburn","Alabama","36830"
"Aaron","Grubbs","Mayor","Bakerhill","Alabama","36027"
"Kay","Andress","Councilmember ","Banks","Alabama","36005"
"Lisa","Culpepper","Mayor","Banks","Alabama","36005"
"Jeff","Hollis","Councilmember ","Banks","Alabama","36005"
"Donnie","Smith","Councilmember ","Banks","Alabama","36005"
"Lynn","Wilson","Councilmember ","Banks","Alabama","36005"
"Fred","Cooper","Commission Vice Chair","Barbour County","Alabama","36016"
"Henry","Franklin","Commissioner","Barbour County","Alabama","36016"
"Earl","Gilmore","Commission Chair","Barbour County","Alabama","36016"
"Trip","Horne","Commissioner","Barbour County","Alabama","36016"
"Pat","Ivey","Commissioner","Barbour County","Alabama","36016"
"Frances","Person-Crews","Commissioner","Barbour County","Alabama","36016"
"Frank","Straughn","Commissioner","Barbour County","Alabama","36016"
"Chris","Gillum","Councilmember","Bear Creek","Alabama","35543"
"Daniel","Green","Councilmember","Bear Creek","Alabama","35543"
"Chris","Hyde","Councilmember","Bear Creek","Alabama","35543"
"James","Loden","Councilmember","Bear Creek","Alabama","35543"
"Ted","Marbutt","Manager","Bear Creek","Alabama","35543"
"Ava","McCurlry","City Clerk","Bear Creek","Alabama","35543"
"Connie","Morrison","Mayor","Bear Creek","Alabama","35543"
"Rob","Taylor","Fire Chief","Bear Creek","Alabama","35543"
"Shane","Whitten","Police Chief","Bear Creek","Alabama","35543"
"Annie","Shelton","Mayor","Beatrice","Alabama","36460"
"Kenneth","Gulley","Mayor","Bessemer","Alabama","35020"
"Darrell","O'Quinn","Councilor","Birmingham","Alabama","35203"
"Maxine","DeBord","Mayor","Black","Alabama","36314"
"Edward","Hatcher","Councilmember","Black","Alabama","36314"
"Stephanie","Hitchcock","Councilmember","Black","Alabama","36314"
"Holly","Miller","Councilmember","Black","Alabama","36314"
"Tracey","Stewart","Councilmember","Black","Alabama","36314"
"Mary","Whitaker","Councilmember","Black","Alabama","36314"
"Michael","Glass","Mayor","Blountsville","Alabama","35031"
"David","Dyar","Mayor","Boaz","Alabama","35957"
"Louis","Harper","Mayor","Boligee","Alabama","35443"
"Bernie","Sullivan","Mayor","Brantely","Alabama","36009"
"Yancey E.","Lovelace","Mayor","Brewton","Alabama","36426"
"Charles","Berryhill","Councilmember","Brilliant","Alabama","35548"
"Lori","Colley","Councilmember","Brilliant","Alabama","35548"
"Perry","Franks","Mayor","Brilliant","Alabama","35548"
"Meredith","Green","Fire Chief","Brilliant","Alabama","35548"
"Kayla","Grunnels","City Clerk","Brilliant","Alabama","35548"
"David","Oliver","Police Chief","Brilliant","Alabama","35548"
"Chip","Pollard","Councilmember","Brilliant","Alabama","35548"
"Ricky","Pollard","Councilmember","Brilliant","Alabama","35548"
"Heath","Sanderson","Councilmember","Brilliant","Alabama","35548"
"Alton","Hyche","Mayor","Brookwood","Alabama","35444"
"Betty","Baxter","Councilmember","Brundidge","Alabama","36010"
"Arthur","Griffin","Councilmember","Brundidge","Alabama","36010"
"Margaret","Ross","Councilmember","Brundidge","Alabama","36010"
"Frank","Hickman","Commissioner","Butler County","Alabama","36037"
"Jesse","McWilliams","Commissioner","Butler County","Alabama","36037"
"Joey","Peavy","Commissioner","Butler County","Alabama","36037"
"Darrell","Sanders","Commissioner","Butler County","Alabama","36037"
"Allin","Whittle","Commissioner Acting Chair","Butler County","Alabama","36037"
"Jon","Graham","Mayor","Calera","Alabama","35040"
"Terry ""Max""","Baggett, Jr.","Mayor","Camden","Alabama","36726"
"Ezell","Smith","Mayor","Camp Hill","Alabama","36850"
"Mark ","Chambers","Mayor","Carbon Hill","Alabama","35549"
"Glen","Chandler","Councilmember","Centre","Alabama","35960"
"Marc","Johnson","Councilmember","Centre","Alabama","35960"
"Frankie","Kelley","Councilmember","Centre","Alabama","35960"
"Harry","Moon","Councilmember","Centre","Alabama","35960"
"Phillip","Roberts","Councilmember","Centre","Alabama","35960"
"Tony","Wilkie","Mayor","Centre","Alabama","35960"
"Bess","Yarbrough","Councilmember","Centre","Alabama","35960"
"Harold","Couch","Mayor","Chatom","Alabama","36524"
"Tony","Piclesimer","Mayor","Chelsea","Alabama","35043"
"Terry","Cosby","Mayor","Cherokee","Alabama","35616"
"Rene","Fann","Councilmember","Cherokee","Alabama","35616"
"Tiffani","Fuqua","Councilmember","Cherokee","Alabama","35616"
"Sandi","Hendrix","Councilmember","Cherokee","Alabama","35616"
"Darrin","Hogeland","Fire Chief","Cherokee","Alabama","35616"
"Melinda","Malone","City Clerk","Cherokee","Alabama","35616"
"Paul","Norman","Councilmember","Cherokee","Alabama","35616"
"Loretta","Wallace","Councilmember","Cherokee","Alabama","35616"
"Jason","Williamson","Police Chief","Cherokee","Alabama","35616"
"Byron","Pittman","Mayor","Chickasaw","Alabama","36611"
"Bobby","Agee","Commissioner","Chilton County","Alabama","35045"
"Allen","Caton","Commissioner Chair","Chilton County","Alabama","35045"
"Jimmie","Hardee","Commissioner","Chilton County","Alabama","35045"
"Lamar ""Heedy""","Hayes","Commissioner","Chilton County","Alabama","35045"
"Joe","Headley","Commissioner Vice Chair","Chilton County","Alabama","35045"
"Greg","Moore","Commissioner","Chilton County","Alabama","35045"
"Joseph","Parnell","Commissioner","Chilton County","Alabama","35045"
"Shannon","Welch","Commissioner","Chilton County","Alabama","35045"
"Michael ","Armistead","Probate Judge","Choctaw County","Alabama","36904"
"Tony","Cherry","Commissioner","Choctaw County","Alabama","36904"
"Bud","Ruffin","Commissioner","Choctaw County","Alabama","36904"
"Tyrone","Moye","Commissioner","Clarke County","Alabama","36451"
"Jackie Ray ","Rush","Commissioner","Clarke County","Alabama","36784"
"Bill","Taylor","Commissioner","Clarke County","Alabama","36451"
"Rebecca","Parish Beasley","Mayor","Clayton","Alabama","36016"
"Jerry","Jones","Mayor","Cleveland","Alabama","35049"
"Gary","Averett","Mayor","Coaling","Alabama","35449"
"Al","Britt","Commissioner","Coffee County","Alabama","36351"
"Josh","Carnley","Commissioner","Coffee County","Alabama","36351"
"Tom","Crimsley","Commissioner","Coffee County","Alabama","36351"
"Kim","Ellis","Commissioner","Coffee County","Alabama","36351"
"Jimmy","Jones","Commissioner","Coffee County","Alabama","36351"
"Donis","Lee","Commissioner","Coffee County","Alabama","36351"
"John","Rodgers Morgan III","Administrator","Coffee County","Alabama","36351"
"Dean","Smith","Commissioner","Coffee County","Alabama","36351"
"Robert","Cox","Mayor","Coffeeville","Alabama","36524"
"Tommy ","Barnes","Commissioner","Colbert County","Alabama","35674"
"Darol","Bendall","Commissioner","Colbert County","Alabama","35674"
"David","Black","Commissioner","Colbert County","Alabama","35674"
"Thomas","Burgess","Board of Education Member","Colbert County","Alabama","35674"
"Jimmy","Gardiner","Commissioner","Colbert County","Alabama","35674"
"Charles","Hovater","Commissioner","Colbert County","Alabama","35674"
"Sandra","James","Board of Education Member","Colbert County","Alabama","35674"
"Emmitt","Jimmar","Commissioner","Colbert County","Alabama","35674"
"Ricky","Saint","Board of Education Member","Colbert County","Alabama","35674"
"Gail","Satchel","Superintendent","Colbert County","Alabama","35674"
"William","Smith","Commissioner, District 4","Colbert County","Alabama","35674"
"Frank","Williamson","Colbert Sheriff","Colbert County","Alabama","35674"
"Addie","Buze","Councilmember","Columbia","Alabama","36319"
"Rhonda","Freeman","Mayor","Columbia","Alabama","36319"
"Joseph","Haddock","Councilmember","Columbia","Alabama","36319"
"Robert","Hunter","Councilmember","Columbia","Alabama","36319"
"Jessie","Ingram","Councilmember","Columbia","Alabama","36319"
"Charlie","Lane","Councilmember","Columbia","Alabama","36319"
"Lanny","Lancaster","Mayor","Columbia ","Alabama","36319"
"Dr. Stancil","Handley","Mayor","Columbiana","Alabama","35051"
"Kim","King","Councilmember","Columbiana","Alabama","35051"
"Quida","Mayfield","Councilmember","Columbiana","Alabama","35051"
"Barbara","Moore","Councilmember","Columbiana","Alabama","35051"
"Ricky","Ruchton","Councilmember","Columbiana","Alabama","35051"
"Leslie","Whiting","Councilmember","Columbiana","Alabama","35051"
"Todd","Adams","Commission Chair","Coosa County","Alabama","35136"
"Unzell","Kelley","Commissioner","Coosa County","Alabama","35136"
"Drew","Gilbert","Mayor","Cordova","Alabama","35550"
"Ann","Adams","Councilmember","Cottonwood","Alabama","36320"
"Anne ","Adams","Councilmember","Cottonwood","Alabama","36320"
"Michael","Capehart","Councilmember","Cottonwood","Alabama","36320"
"James","Coachman","Councilmember","Cottonwood","Alabama","36320"
"Ken","Hamilton","Mayor","Cottonwood","Alabama","36320"
"Kenneth","Hart","Councilmember","Cottonwood","Alabama","36320"
"Linda","Smith","Councilmember","Cottonwood","Alabama","36320"
"Noel","Deese","Councilmember","Cowarts","Alabama","36321"
"Ed","Marshall","Councilmember","Cowarts","Alabama","36321"
"Wallace","Odom","Councilmember","Cowarts","Alabama","36321"
"Jerry","Rogers","Councilmember","Cowarts","Alabama","36321"
"Randy","Roland","Mayor","Cowarts","Alabama","36321"
"Doris","Whitehurst","Councilmember","Cowarts","Alabama","36321"
"Ricky","McElwain","Commissioner","Crenshaw County","Alabama","36049"
"David","Smyth","Administrator","Crenshaw County","Alabama","36049"
"Merill","Sport","Commissioner","Crenshaw County","Alabama","36049"
"Michelle","Stephens","Commissioner","Crenshaw County","Alabama","36049"
"Chris","West","Commissioner","Crenshaw County","Alabama","36049"
"Charlie","Sankey Jr.","Commissioner","Crenshaw County/ District","Alabama","36049"
"Carl","Storey","Mayor","Cuba","Alabama","36907"
"Wayne","Smith","Mayor","Dadeville","Alabama","36853"
"Mark","Blankenship","Commission Chair","Dale County","Alabama","36360"
"Chris","Carroll","Commissioner","Dale County","Alabama","36360"
"Charles","Gary","Commissioner","Dale County","Alabama","36360"
"Steve","McKinnon","Commissioner","Dale County","Alabama","36360"
"James","Strickland","Commissioner","Dale County","Alabama","36360"
"Katheryne","Horace","Councilmember ","Daleville","Alabama","36322"
"Scott","Moore","Councilmember ","Daleville","Alabama","36322"
"Alan","Souders","Councilmember ","Daleville","Alabama","36322"
"Marvin","Wise","Councilmember ","Daleville","Alabama","36322"
"Kimbrough","Ballard","Probate Judge","Dallas County","Alabama","36701"
"Jeff","Collier","Mayor","Dauphin Island","Alabama","36528"
