"organization_city_agency","street_address_mailing_address","city","state","zip_code","year_surveyed","total_vounteers","youth_volunteers","adult_volunteers","older_adult_volunteers","organization_type","interest_areas","boroughs_served","special_populations_served","bk_bath_beach","bk_bay_ridge","bk_bedford","bk_bensonhurst_east","bk_bensonhurst_west","bk_borough_park","bk_brighton_beach","bk_brooklyn_heights_cobble","bk_brownsville","bk_bushwick_north","bk_bushwick_south","bk_canarsie","bk_carroll_gardens_columbia","bk_clinton_hill","bk_crown_heights_north","bk_crown_heights_south","bk_cypress_hills_city_line","bk_dumbo_vinegar_hill_downtown","bk_dyker_heights","bk_east_flatbush_farragut","bk_east_new_york","bk_east_new_york_pennsylvania","bk_east_williamsburg","bk_erasmus","bk_flatbush","bk_flatlands","bk_fort_greene","bk_georgetown_marine_park","bk_gravesend","bk_greenpoint","bk_homecrest","bk_kensington_ocean_parkway","bk_madison","bk_midwood","bk_north_side_south_side","bk_ocean_hill","bk_ocean_parkway_south","bk_park_slope_gowanus","bk_park_cemetery_etc_brooklyn","bk_prospect_heights","bk_prospect_lefferts_gardens","bk_rugby_remsen_village","bk_seagate_coney_island","bk_sheepshead_bay_gerritsen","bk_starrett_city","bk_stuyvesant_heights","bk_sunset_park_east","bk_sunset_park_west","bk_west_brighton","bk_williamsburg","bk_windsor_terrace","bx_allerton_pelham_gardens","bx_bedford_park_fordham_north","bx_belmont","bx_bronxdale","bx_claremont_bathgate","bx_co_op_city","bx_crotona_park_east","bx_east_concourse_concourse","bx_east_tremont","bx_eastchester_edenwald","bx_fordham_south","bx_highbridge","bx_hunts_point","bx_kingsbridge_heights","bx_longwood","bx_melrose_south_mott_haven","bx_morrisania_melrose","bx_mott_haven_port_morris","bx_mount_hope","bx_north_riverdale_fieldston","bx_norwood","bx_park_cemetery_etc_bronx","bx_parkchester","bx_pelham_bay_country_club","bx_pelham_parkway","bx_rikers_island","bx_schuylerville_throgs_neck","bx_soundview_bruckner","bx_soundview_castle_hill","bx_spuyten_duyvil_kingsbridge","bx_university_heights_morris","bx_van_cortlandt_village","bx_van_nest_morris_park","bx_west_concourse","bx_west_farms_bronx_river","bx_westchester_unionport","bx_williamsbridge_olinville","bx_woodlawn_wakefield","mn_battery_park_city_lower","mn_central_harlem_north_polo","mn_central_harlem_south","mn_chinatown","mn_clinton","mn_east_harlem_north","mn_east_harlem_south","mn_east_village","mn_gramercy","mn_hamilton_heights","mn_hudson_yards_chelsea_flat","mn_lenox_hill_roosevelt_island","mn_lincoln_square","mn_lower_east_side","mn_manhattanville","mn_marble_hill_inwood","mn_midtown_midtown_south","mn_morningside_heights","mn_murray_hill_kips_bay","mn_park_cemetery_etc_manhattan","mn_soho_tribeca_civic_center","mn_stuyvesant_town_cooper","mn_turtle_bay_east_midtown","mn_upper_east_side_carnegie","mn_upper_west_side","mn_washington_heights_north","mn_washington_heights_south","mn_west_village","mn_yorkville","qn_airport","qn_astoria","qn_auburndale","qn_baisley_park","qn_bayside_bayside_hills","qn_bellerose","qn_breezy_point_belle_harbor","qn_briarwood_jamaica_hills","qn_cambria_heights","qn_college_point","qn_corona","qn_douglas_manor_douglaston","qn_east_elmhurst","qn_east_flushing","qn_elmhurst","qn_elmhurst_maspeth","qn_far_rockaway_bayswater","qn_flushing","qn_forest_hills","qn_fresh_meadows_utopia","qn_ft_totten_bay_terrace","qn_glen_oaks_floral_park","qn_glendale","qn_hammels_arverne_edgemere","qn_hollis","qn_hunters_point_sunnyside","qn_jackson_heights","qn_jamaica","qn_jamaica_estates_holliswood","qn_kew_gardens","qn_kew_gardens_hills","qn_laurelton","qn_lindenwood_howard_beach","qn_maspeth","qn_middle_village","qn_murray_hill","qn_north_corona","qn_oakland_gardens","qn_old_astoria","qn_ozone_park","qn_park_cemetery_etc_queens","qn_pomonok_flushing_heights","qn_queens_village","qn_queensboro_hill","qn_queensbridge_ravenswood","qn_rego_park","qn_richmond_hill","qn_ridgewood","qn_rosedale","qn_south_jamaica","qn_south_ozone_park","qn_springfield_gardens_north","qn_springfield_gardens_south","qn_st_albans","qn_steinway","qn_whitestone","qn_woodhaven","qn_woodside","si_annadale_huguenot_prince","si_arden_heights","si_charleston_richmond_valley","si_grasmere_arrochar_ft","si_great_kills","si_grymes_hill_clifton_fox","si_mariner_s_harbor_arlington","si_new_brighton_silver_lake","si_new_dorp_midland_beach","si_new_springville_bloomfield","si_oakwood_oakwood_beach","si_old_town_dongan_hills","si_park_cemetery_etc_staten","si_port_richmond","si_rossville_woodrow","si_stapleton_rosebank","si_todt_hill_emerson_hill","si_west_new_brighton_new","si_westerleigh","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"Randall's Island Park Alliance","10 Central Road, Icahn","New York","NY","10035","2019","1297","462","855","0","Public Park","Environment and sustainability","MN, BX, QN","all","Bath Beach","Bay Ridge","Bedford","Bensonhurst East","Bensonhurst West","Borough Park","Brighton Beach","Brooklyn Heights-Cobble Hill","Brownsville","Bushwick North","Bushwick South","Canarsie","Carroll Gardens-Columbia Street-Red Hook","Clinton Hill","Crown Heights North","Crown Heights South","Cypress Hills-City Line","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","Dyker Heights","East Flatbush-Farragut","East New York","East New York (Pennsylvania Ave)","East Williamsburg","Erasmus","Flatbush","Flatlands","Fort Greene","Georgetown-Marine Park-Bergen Beach-Mill Basin","Gravesend","Greenpoint","Homecrest","Kensington-Ocean Parkway","Madison","Midwood","North Side-South Side","Ocean Hill","Ocean Parkway South","Park Slope-Gowanus","Park-cemetery-etc-Brooklyn","Prospect Heights","Prospect Lefferts Gardens-Wingate","Rugby-Remsen Village","Seagate-Coney Island","Sheepshead Bay-Gerritsen Beach-Manhattan Beach","Starrett City","Stuyvesant Heights","Sunset Park East","Sunset Park West","West Brighton","Williamsburg","Windsor Terrace","Allerton-Pelham Gardens","Bedford Park-Fordham North","Belmont","Bronxdale","Claremont-Bathgate","Co-op City","Crotona Park East","East Concourse-Concourse Village","East Tremont","Eastchester-Edenwald-Baychester","Fordham South","Highbridge","Hunts Point","Kingsbridge Heights","Longwood","Melrose South-Mott Haven North","Morrisania-Melrose","Mott Haven-Port Morris","Mount Hope","North Riverdale-Fieldston-Riverdale","Norwood","park-cemetery-etc-Bronx","Parkchester","Pelham Bay-Country Club-City Island","Pelham Parkway","Rikers Island","Schuylerville-Throgs Neck-Edgewater Park","Soundview-Bruckner","Soundview-Castle Hill-Clason Point-Harding Park","Spuyten Duyvil-Kingsbridge","University Heights-Morris Heights","Van Cortlandt Village","Van Nest-Morris Park-Westchester Square","West Concourse","West Farms-Bronx River","Westchester-Unionport","Williamsbridge-Olinville","Woodlawn-Wakefield","Battery Park City-Lower Manhattan","Central Harlem North-Polo Grounds","Central Harlem South","Chinatown","Clinton","East Harlem North","East Harlem South","East Village","Gramercy","Hamilton Heights","Hudson Yards-Chelsea-Flat Iron-Union Square","Lenox Hill-Roosevelt Island","Lincoln Square","Lower East Side","Manhattanville","Marble Hill-Inwood","Midtown-Midtown South","Morningside Heights","Murray Hill-Kips Bay","park-cemetery-etc-Manhattan","SoHo-TriBeCa-Civic Center-Little Italy","Stuyvesant Town-Cooper Village","Turtle Bay-East Midtown","Upper East Side-Carnegie Hill","Upper West Side","Washington Heights North","Washington Heights South","West Village","Yorkville","Airport","Astoria","Auburndale","Baisley Park","Bayside-Bayside Hills","Bellerose","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel","Briarwood-Jamaica Hills","Cambria Heights","College Point","Corona","Douglas Manor-Douglaston-Little Neck","East Elmhurst","East Flushing","Elmhurst","Elmhurst-Maspeth","Far Rockaway-Bayswater","Flushing","Forest Hills","Fresh Meadows-Utopia","Ft. Totten-Bay Terrace-Clearview","Glen Oaks-Floral Park-New Hyde Park","Glendale","Hammels-Arverne-Edgemere","Hollis","Hunters Point-Sunnyside-West Maspeth","Jackson Heights","Jamaica","Jamaica Estates-Holliswood","Kew Gardens","Kew Gardens Hills","Laurelton","Lindenwood-Howard Beach","Maspeth","Middle Village","Murray Hill","North Corona","Oakland Gardens","Old Astoria","Ozone Park","park-cemetery-etc-Queens","Pomonok-Flushing Heights-Hillcrest","Queens Village","Queensboro Hill","Queensbridge-Ravenswood-Long Island City","Rego Park","Richmond Hill","Ridgewood","Rosedale","South Jamaica","South Ozone Park","Springfield Gardens North","Springfield Gardens South-Brookville","St. Albans","Steinway","Whitestone","Woodhaven","Woodside","Annadale-Huguenot-Prince's Bay-Eltingville","Arden Heights","Charleston-Richmond Valley-Tottenville","Grasmere-Arrochar-Ft. Wadsworth","Great Kills","Grymes Hill-Clifton-Fox Hills","Mariner's Harbor-Arlington-Port Ivory-Graniteville","New Brighton-Silver Lake","New Dorp-Midland Beach","New Springville-Bloomfield-Travis","Oakwood-Oakwood Beach","Old Town-Dongan Hills-South Beach","park-cemetery-etc-Staten Island","Port Richmond","Rossville-Woodrow","Stapleton-Rosebank","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill","West New Brighton-New Brighton-St. George","Westerleigh","MANHATTAN","40.792269","-73.923827","111","8","240","1085645","1018190203","park-cemetery-etc-Manhattan"
"Search and Care","1844 Second Avenue","New York","NY","10128","2019","177","14","61","102","Community-based organization","Senior Services","MN","Older adults (60 or older)",,,,,,,,,,,"Bushwick South",,,"Clinton Hill","Crown Heights North",,,,,,,,,,,,,,,,,,,"Midwood",,,,,,,,,,,,,,,,,,,,,,"Claremont-Bathgate",,,,,,,,,,,"Melrose South-Mott Haven North",,,,,,,,,,,,,"Soundview-Castle Hill-Clason Point-Harding Park",,,,,,,,,,"Battery Park City-Lower Manhattan",,"Central Harlem South",,,,,,,,"Hudson Yards-Chelsea-Flat Iron-Union Square",,,,,,"Midtown-Midtown South",,"Murray Hill-Kips Bay",,"SoHo-TriBeCa-Civic Center-Little Italy",,,,"Upper West Side",,"Washington Heights South","West Village",,,"Astoria",,,,,,"Briarwood-Jamaica Hills",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Brighton-Silver Lake",,,,,,,,,,,,"MANHATTAN","40.783785","-73.94741","108","5","15601","1087822","1015580003","Yorkville"
"Selfhelp Austin Street Senior Center","106-06 Queens Blvd.","Forest Hills","NY","11375","2019","96","5","1","96","Community-based organization","Advocacy and organizing, Arts and culture, Education and literacy, Senior Services","QN","Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Astoria",,,,,,,,"College Point","Corona",,"East Elmhurst","East Flushing","Elmhurst","Elmhurst-Maspeth",,"Flushing",,,,,,,,"Hunters Point-Sunnyside-West Maspeth","Jackson Heights","Jamaica",,"Kew Gardens",,,,"Maspeth",,,,,,,,,,,,,,,,,,,,,,,,"Woodside",,,,,,,,,,,,,,,,,,,,"QUEENS","40.72212","-73.847335","406","29","711","4077479","4032370040","Forest Hills"
"READ 718","420 Atlantic Avenue","Brooklyn","NY","11217","2019","118","21","72","25","Community-based organization","Children and youth related, Education and literacy","BK","Low-income populations, Youth (17 or under)","Bath Beach",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Allerton-Pelham Gardens","Bedford Park-Fordham North","Belmont","Bronxdale","Claremont-Bathgate","Co-op City","Crotona Park East","East Concourse-Concourse Village","East Tremont","Eastchester-Edenwald-Baychester","Fordham South","Highbridge","Hunts Point","Kingsbridge Heights","Longwood","Melrose South-Mott Haven North","Morrisania-Melrose","Mott Haven-Port Morris","Mount Hope","North Riverdale-Fieldston-Riverdale","Norwood","park-cemetery-etc-Bronx","Parkchester","Pelham Bay-Country Club-City Island","Pelham Parkway","Rikers Island","Schuylerville-Throgs Neck-Edgewater Park","Soundview-Bruckner","Soundview-Castle Hill-Clason Point-Harding Park","Spuyten Duyvil-Kingsbridge","University Heights-Morris Heights","Van Cortlandt Village","Van Nest-Morris Park-Westchester Square","West Concourse","West Farms-Bronx River","Westchester-Unionport","Williamsbridge-Olinville","Woodlawn-Wakefield","Battery Park City-Lower Manhattan","Central Harlem North-Polo Grounds","Central Harlem South","Chinatown","Clinton","East Harlem North","East Harlem South","East Village","Gramercy","Hamilton Heights","Hudson Yards-Chelsea-Flat Iron-Union Square","Lenox Hill-Roosevelt Island","Lincoln Square","Lower East Side","Manhattanville","Marble Hill-Inwood","Midtown-Midtown South","Morningside Heights","Murray Hill-Kips Bay","park-cemetery-etc-Manhattan","SoHo-TriBeCa-Civic Center-Little Italy","Stuyvesant Town-Cooper Village","Turtle Bay-East Midtown","Upper East Side-Carnegie Hill","Upper West Side","Washington Heights North","Washington Heights South","West Village","Yorkville","Airport","Astoria","Auburndale","Baisley Park","Bayside-Bayside Hills","Bellerose","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel","Briarwood-Jamaica Hills","Cambria Heights","College Point","Corona","Douglas Manor-Douglaston-Little Neck","East Elmhurst","East Flushing","Elmhurst","Elmhurst-Maspeth","Far Rockaway-Bayswater","Flushing","Forest Hills","Fresh Meadows-Utopia","Ft. Totten-Bay Terrace-Clearview","Glen Oaks-Floral Park-New Hyde Park","Glendale","Hammels-Arverne-Edgemere","Hollis","Hunters Point-Sunnyside-West Maspeth","Jackson Heights","Jamaica","Jamaica Estates-Holliswood","Kew Gardens","Kew Gardens Hills","Laurelton","Lindenwood-Howard Beach","Maspeth","Middle Village","Murray Hill","North Corona","Oakland Gardens","Old Astoria","Ozone Park","park-cemetery-etc-Queens","Pomonok-Flushing Heights-Hillcrest","Queens Village","Queensboro Hill","Queensbridge-Ravenswood-Long Island City","Rego Park","Richmond Hill","Ridgewood","Rosedale","South Jamaica","South Ozone Park","Springfield Gardens North","Springfield Gardens South-Brookville","St. Albans","Steinway","Whitestone","Woodhaven","Woodside","Annadale-Huguenot-Prince's Bay-Eltingville","Arden Heights","Charleston-Richmond Valley-Tottenville","Grasmere-Arrochar-Ft. Wadsworth","Great Kills","Grymes Hill-Clifton-Fox Hills","Mariner's Harbor-Arlington-Port Ivory-Graniteville","New Brighton-Silver Lake","New Dorp-Midland Beach","New Springville-Bloomfield-Travis","Oakwood-Oakwood Beach","Old Town-Dongan Hills-South Beach","park-cemetery-etc-Staten Island","Port Richmond","Rossville-Woodrow","Stapleton-Rosebank","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill","West New Brighton-New Brighton-St. George","Westerleigh","BROOKLYN","40.686653","-73.984142","302","33","41","3000924","3001840009","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"Read Ahead, Inc.","50 Broad Street, Suite 1720","New York","NY","10004","2019","1537","0","1477","60","Community-based organization","Children and youth related, Education and literacy","BK, MN, QN","Homeless, Immigrants and/or refugees, Low-income populations, People with disabilities, Youth (17 or under)","Bath Beach","Bay Ridge","Bedford","Bensonhurst East","Bensonhurst West","Borough Park","Brighton Beach","Brooklyn Heights-Cobble Hill","Brownsville","Bushwick North","Bushwick South","Canarsie","Carroll Gardens-Columbia Street-Red Hook","Clinton Hill","Crown Heights North","Crown Heights South","Cypress Hills-City Line","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","Dyker Heights","East Flatbush-Farragut","East New York","East New York (Pennsylvania Ave)","East Williamsburg","Erasmus","Flatbush","Flatlands","Fort Greene","Georgetown-Marine Park-Bergen Beach-Mill Basin","Gravesend","Greenpoint","Homecrest","Kensington-Ocean Parkway","Madison","Midwood","North Side-South Side","Ocean Hill","Ocean Parkway South","Park Slope-Gowanus","Park-cemetery-etc-Brooklyn","Prospect Heights","Prospect Lefferts Gardens-Wingate","Rugby-Remsen Village","Seagate-Coney Island","Sheepshead Bay-Gerritsen Beach-Manhattan Beach","Starrett City","Stuyvesant Heights","Sunset Park East","Sunset Park West","West Brighton","Williamsburg","Windsor Terrace","Allerton-Pelham Gardens","Bedford Park-Fordham North","Belmont","Bronxdale","Claremont-Bathgate","Co-op City","Crotona Park East","East Concourse-Concourse Village","East Tremont","Eastchester-Edenwald-Baychester","Fordham South","Highbridge","Hunts Point","Kingsbridge Heights","Longwood","Melrose South-Mott Haven North","Morrisania-Melrose","Mott Haven-Port Morris","Mount Hope","North Riverdale-Fieldston-Riverdale","Norwood","park-cemetery-etc-Bronx","Parkchester","Pelham Bay-Country Club-City Island","Pelham Parkway","Rikers Island","Schuylerville-Throgs Neck-Edgewater Park","Soundview-Bruckner","Soundview-Castle Hill-Clason Point-Harding Park","Spuyten Duyvil-Kingsbridge","University Heights-Morris Heights","Van Cortlandt Village","Van Nest-Morris Park-Westchester Square","West Concourse","West Farms-Bronx River","Westchester-Unionport","Williamsbridge-Olinville","Woodlawn-Wakefield","Battery Park City-Lower Manhattan","Central Harlem North-Polo Grounds","Central Harlem South","Chinatown","Clinton","East Harlem North","East Harlem South","East Village","Gramercy","Hamilton Heights","Hudson Yards-Chelsea-Flat Iron-Union Square","Lenox Hill-Roosevelt Island","Lincoln Square","Lower East Side","Manhattanville","Marble Hill-Inwood","Midtown-Midtown South","Morningside Heights","Murray Hill-Kips Bay","park-cemetery-etc-Manhattan","SoHo-TriBeCa-Civic Center-Little Italy","Stuyvesant Town-Cooper Village","Turtle Bay-East Midtown","Upper East Side-Carnegie Hill","Upper West Side","Washington Heights North","Washington Heights South","West Village","Yorkville","Airport","Astoria","Auburndale","Baisley Park","Bayside-Bayside Hills","Bellerose","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel","Briarwood-Jamaica Hills","Cambria Heights","College Point","Corona","Douglas Manor-Douglaston-Little Neck","East Elmhurst","East Flushing","Elmhurst","Elmhurst-Maspeth","Far Rockaway-Bayswater","Flushing","Forest Hills","Fresh Meadows-Utopia","Ft. Totten-Bay Terrace-Clearview","Glen Oaks-Floral Park-New Hyde Park","Glendale","Hammels-Arverne-Edgemere","Hollis","Hunters Point-Sunnyside-West Maspeth","Jackson Heights","Jamaica","Jamaica Estates-Holliswood","Kew Gardens","Kew Gardens Hills","Laurelton","Lindenwood-Howard Beach","Maspeth","Middle Village","Murray Hill","North Corona","Oakland Gardens","Old Astoria","Ozone Park","park-cemetery-etc-Queens","Pomonok-Flushing Heights-Hillcrest","Queens Village","Queensboro Hill","Queensbridge-Ravenswood-Long Island City","Rego Park","Richmond Hill","Ridgewood","Rosedale","South Jamaica","South Ozone Park","Springfield Gardens North","Springfield Gardens South-Brookville","St. Albans","Steinway","Whitestone","Woodhaven","Woodside","Annadale-Huguenot-Prince's Bay-Eltingville","Arden Heights","Charleston-Richmond Valley-Tottenville","Grasmere-Arrochar-Ft. Wadsworth","Great Kills","Grymes Hill-Clifton-Fox Hills","Mariner's Harbor-Arlington-Port Ivory-Graniteville","New Brighton-Silver Lake","New Dorp-Midland Beach","New Springville-Bloomfield-Travis","Oakwood-Oakwood Beach","Old Town-Dongan Hills-South Beach","park-cemetery-etc-Staten Island","Port Richmond","Rossville-Woodrow","Stapleton-Rosebank","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill","West New Brighton-New Brighton-St. George","Westerleigh","MANHATTAN","40.705689","-74.011455","101","1","9","1000820","1000240036","Battery Park City-Lower Manhattan"
"Reading Partners","499 7th Ave, 20th Flr, North Tower","New York","NY","10018","2019","1548","322","918","308","Community-based organization","Education and literacy","BK, MN, BX, QN","Low-income populations, Older adults (60 or older), Youth (17 or under)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Georgetown-Marine Park-Bergen Beach-Mill Basin","Gravesend",,"Homecrest","Kensington-Ocean Parkway","Madison","Midwood",,,"Ocean Parkway South",,,,,,,"Sheepshead Bay-Gerritsen Beach-Manhattan Beach",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANHATTAN","40.7528","-73.989302","105","3","109","1015236","1008120006","Midtown-Midtown South"
"Reality House, Inc.","8-13 Astoria Blvd","Astoria","NY","11102","2019","6","0","4","2","Community-based organization","Health and medicine, Behavioral Health / Substance Abuse","All Boroughs","Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, People with disabilities, Women",,,,,,,,,,"Bushwick North",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"QUEENS","40.77254","-73.932136","401","22","83","4541906","4005090025","Old Astoria"
"Sunnyside Community Services","43-31 39th Street","Sunnyside","NY","11104","2019","460","82","293","85","Community-based organization","Advocacy and organizing, Animals, Children and youth related, Civic engagement (voting, voter registration), Education and literacy, Employment and workforce development, Human rights, Human services, Immigrants and/or refugees, Justice-related, People with disabilities, Senior Services, Caregiver services","All Boroughs","Immigrants and/or refugees, Low-income populations, Older adults (60 or older), People with disabilities, Women, Youth (17 or under), Caregivers",,,,,,,,,,,,,,,,,,"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"QUEENS","40.74519","-73.925909","402","26","179","4436677","4001910005","Hunters Point-Sunnyside-West Maspeth"
"Rebekah Rehab & Extended Care Center","1070 Havemeyer Ave","The Bronx","NY","10462","2019","12","0","10","2","Nursing Home & Rehab","Health and medicine, People with disabilities, Senior Services","BX","Older adults (60 or older), People with disabilities, Work Study Programs","Bath Beach","Bay Ridge","Bedford","Bensonhurst East","Bensonhurst West","Borough Park","Brighton Beach","Brooklyn Heights-Cobble Hill","Brownsville","Bushwick North","Bushwick South","Canarsie","Carroll Gardens-Columbia Street-Red Hook","Clinton Hill","Crown Heights North","Crown Heights South","Cypress Hills-City Line","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","Dyker Heights","East Flatbush-Farragut","East New York","East New York (Pennsylvania Ave)","East Williamsburg","Erasmus","Flatbush","Flatlands","Fort Greene","Georgetown-Marine Park-Bergen Beach-Mill Basin","Gravesend","Greenpoint","Homecrest","Kensington-Ocean Parkway","Madison","Midwood","North Side-South Side","Ocean Hill","Ocean Parkway South","Park Slope-Gowanus","Park-cemetery-etc-Brooklyn","Prospect Heights","Prospect Lefferts Gardens-Wingate","Rugby-Remsen Village","Seagate-Coney Island","Sheepshead Bay-Gerritsen Beach-Manhattan Beach","Starrett City","Stuyvesant Heights","Sunset Park East","Sunset Park West","West Brighton","Williamsburg","Windsor Terrace","Allerton-Pelham Gardens","Bedford Park-Fordham North","Belmont","Bronxdale","Claremont-Bathgate","Co-op City","Crotona Park East","East Concourse-Concourse Village","East Tremont","Eastchester-Edenwald-Baychester","Fordham South","Highbridge","Hunts Point","Kingsbridge Heights","Longwood","Melrose South-Mott Haven North","Morrisania-Melrose","Mott Haven-Port Morris","Mount Hope","North Riverdale-Fieldston-Riverdale","Norwood","park-cemetery-etc-Bronx","Parkchester","Pelham Bay-Country Club-City Island","Pelham Parkway","Rikers Island","Schuylerville-Throgs Neck-Edgewater Park","Soundview-Bruckner","Soundview-Castle Hill-Clason Point-Harding Park","Spuyten Duyvil-Kingsbridge","University Heights-Morris Heights","Van Cortlandt Village","Van Nest-Morris Park-Westchester Square","West Concourse","West Farms-Bronx River","Westchester-Unionport","Williamsbridge-Olinville","Woodlawn-Wakefield","Battery Park City-Lower Manhattan","Central Harlem North-Polo Grounds","Central Harlem South","Chinatown","Clinton","East Harlem North","East Harlem South","East Village","Gramercy","Hamilton Heights","Hudson Yards-Chelsea-Flat Iron-Union Square","Lenox Hill-Roosevelt Island","Lincoln Square","Lower East Side","Manhattanville","Marble Hill-Inwood","Midtown-Midtown South","Morningside Heights","Murray Hill-Kips Bay","park-cemetery-etc-Manhattan","SoHo-TriBeCa-Civic Center-Little Italy","Stuyvesant Town-Cooper Village","Turtle Bay-East Midtown","Upper East Side-Carnegie Hill","Upper West Side","Washington Heights North","Washington Heights South","West Village","Yorkville","Airport","Astoria","Auburndale","Baisley Park","Bayside-Bayside Hills","Bellerose","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel","Briarwood-Jamaica Hills","Cambria Heights","College Point","Corona","Douglas Manor-Douglaston-Little Neck","East Elmhurst","East Flushing","Elmhurst","Elmhurst-Maspeth","Far Rockaway-Bayswater","Flushing","Forest Hills","Fresh Meadows-Utopia","Ft. Totten-Bay Terrace-Clearview","Glen Oaks-Floral Park-New Hyde Park","Glendale","Hammels-Arverne-Edgemere","Hollis","Hunters Point-Sunnyside-West Maspeth","Jackson Heights","Jamaica","Jamaica Estates-Holliswood","Kew Gardens","Kew Gardens Hills","Laurelton","Lindenwood-Howard Beach","Maspeth","Middle Village","Murray Hill","North Corona","Oakland Gardens","Old Astoria","Ozone Park","park-cemetery-etc-Queens","Pomonok-Flushing Heights-Hillcrest","Queens Village","Queensboro Hill","Queensbridge-Ravenswood-Long Island City","Rego Park","Richmond Hill","Ridgewood","Rosedale","South Jamaica","South Ozone Park","Springfield Gardens North","Springfield Gardens South-Brookville","St. Albans","Steinway","Whitestone","Woodhaven","Woodside","Annadale-Huguenot-Prince's Bay-Eltingville","Arden Heights","Charleston-Richmond Valley-Tottenville","Grasmere-Arrochar-Ft. Wadsworth","Great Kills","Grymes Hill-Clifton-Fox Hills","Mariner's Harbor-Arlington-Port Ivory-Graniteville","New Brighton-Silver Lake","New Dorp-Midland Beach","New Springville-Bloomfield-Travis","Oakwood-Oakwood Beach","Old Town-Dongan Hills-South Beach","park-cemetery-etc-Staten Island","Port Richmond","Rossville-Woodrow","Stapleton-Rosebank","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill","West New Brighton-New Brighton-St. George","Westerleigh","BRONX","40.82987","-73.847388","209","18","96","2026971","2038270201","Westchester-Unionport"
"Rebuilding Together NYC","126 10th Street, A","Brooklyn","NY","11215","2019","600","0","0","0","Community-based organization","Emergency management and disaster response, Employment and workforce development, Environment and sustainability, Homeless and shelter, People with disabilities, Senior Services","All Boroughs","Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sheepshead Bay-Gerritsen Beach-Manhattan Beach",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BROOKLYN","40.671725","-73.99332","306","39","121","3337638","3010140011","Park Slope-Gowanus"
