"requestid","boro","yr","m","d","hh","mm","vol","segmentid","wktgeom","street","fromst","tost","direction"
"1100","Staten Island","2011","10","14","10","45","102","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","11","0","110","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","11","15","101","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","11","30","112","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","11","45","94","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","12","0","110","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","12","15","124","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","12","30","141","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","12","45","121","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","13","0","125","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","13","15","117","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","13","30","135","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","13","45","112","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","14","0","146","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","14","15","122","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","14","30","150","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","14","45","182","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","15","0","226","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","15","15","207","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","15","30","322","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","15","45","229","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","16","0","260","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","16","15","182","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","16","30","286","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","16","45","255","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","17","0","293","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","17","15","249","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","17","30","297","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","17","45","303","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
"1100","Staten Island","2011","10","14","18","0","275","103882","POINT (963246 173171.4)","BAY ST","RICHMOND TERR","STUYVESANT PL","SB"
