"manhattan_condominiums_comparable_properties_boro_block_lot","manhattan_condominiums_comparable_properties_condo_section","manhattan_condominiums_comparable_properties_address","borough","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","manhattan_condominiums_comparable_properties_neighborhood","manhattan_condominiums_comparable_properties_building_classification","manhattan_condominiums_comparable_properties_total_units","manhattan_condominiums_comparable_properties_year_built","manhattan_condominiums_comparable_properties_gross_sqft","manhattan_condominiums_comparable_properties_estimated_gross_income","manhattan_condominiums_comparable_properties_gross_income_per_sqft","manhattan_condominiums_comparable_properties_estimated_expense","manhattan_condominiums_comparable_properties_expense_per_sqft","manhattan_condominiums_comparable_properties_net_operating_income","manhattan_condominiums_comparable_properties_full_market_value","manhattan_condominiums_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_estimated_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_estimated_expense","comparable_rental_1_expense_per_sqft","comparable_rental_1_net_operating_income","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_distance_from_condo_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_estimated_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_estimated_expense","comparable_rental_2_expense_per_sqft","comparable_rental_2_net_operating_income","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_distance_from_condo_in_miles","comparable_rental_3_boro_block_lot","comparable_rental_3_address","comparable_rental_3_neighborhood","comparable_rental_3_building_classification","comparable_rental_3_total_units","comparable_rental_3_year_built","comparable_rental_3_gross_sqft","comparable_rental_3_estimated_gross_income","comparable_rental_3_gross_income_per_sqft","comparable_rental_3_estimated_expense","comparable_rental_3_expense_per_sqft","comparable_rental_3_net_operating_income","comparable_rental_3_full_market_value","comparable_rental_3_market_value_per_sqft","comparable_rental_3_distance_from_condo_in_miles"
"1-00007-7501","0735-R1","1 COENTIES SLIP","1","10004","40.703627","-74.010607","1","1","9","1077806","1000077501","Battery Park City-Lower Manhattan                                          ","FINANCIAL","R9-CONDOMINIUM","42","1920","36500","1332615","36.51","342005","9.37","990610","7300000","200","1-00065-0010","9 MAIDEN LANE","FINANCIAL","D5-ELEVATOR","68","1900","58354","2099485","35.98","645225","11.06","1454260","10730000","183.88","0.45","1-00107-0042","23 PECK SLIP","SOUTHBRIDGE","D7-ELEVATOR","24","1900","25903","959447","37.04","326119","12.59","633328","2948000","113.81","0.61",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00008-7501","1822-R1","39 WHITEHALL STREET","1","10004","40.703037","-74.012969","1","1","9","1087700","1000087501","Battery Park City-Lower Manhattan                                          ","FINANCIAL","R4-CONDOMINIUM","78","1985","126420","6633257","52.47","1762295","13.94","4870962","30690000","242.76","1-00602-0010","600 WASHINGTON STREET","GREENWICH VILLAGE-WEST","D6-ELEVATOR","137","2003","109060","5925984","54.34","1642405","15.06","4283579","31972000","293.16","1.94","1-00016-0180","20 RIVER TERRACE","TRIBECA","D8-ELEVATOR","294","2002","356786","18051324","50.59","4569252","12.81","13482072","100974000","283.01","0.6",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00015-7501","1025-R1","17 BATTERY PLACE","1","10004","40.704884","-74.015927","1","1","13","1082634","1000157501","Battery Park City-Lower Manhattan                                          ","FINANCIAL","RR-CONDOMINIUM","500",,"554174","17310000","31.24","3543000","6.39","13767000","90970000","164.15","1-00056-0004","90 WEST STREET","FINANCIAL","D5-ELEVATOR","411","1908","357001","12170164","34.09","4259022","11.93","7911142","58640000","164.26","0.3","1-00069-0018","2 GOLD STREET","FINANCIAL","D8-ELEVATOR","652","2003","627330","27484973","43.81","7780640","12.4","19704333","148410000","236.57","0.48",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00015-7502","1557-R1","20 WEST STREET","1","10004","40.706358","-74.016151","1","1","13","1087243","1000157502","Battery Park City-Lower Manhattan                                          ","FINANCIAL","R4-CONDOMINIUM","282","1930","249076","11776313","47.28","2784670","11.18","8991643","67556006","271.23","1-00016-0190","22 RIVER TERRACE","TRIBECA","D8-ELEVATOR","324","2000","331500","14519700","43.8","4790175","14.45","9729525","73281000","221.06","0.37","1-00016-0180","20 RIVER TERRACE","TRIBECA","D8-ELEVATOR","294","2002","356786","18051324","50.59","4569252","12.81","13482072","100974000","283.01","0.37",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00016-7501","0308-R1","377 RECTOR PLACE","1","10280","40.709506","-74.018002","1","1","31704","1000061","1000167501","Battery Park City-Lower Manhattan                                          ","TRIBECA","R4-CONDOMINIUM","239","1985","219495","10004582","45.58","2783197","12.68","7221385","54320996","247.48","1-00016-0185","211 NORTH END AVENUE","TRIBECA","D8-ELEVATOR","256","2004","278142","13788111","49.57","3677770","13.22","10110341","75778000","272.44","0","1-00016-0195","325 NORTH END AVENUE","TRIBECA","D8-ELEVATOR","276","2004","356483","14824344","41.58","4325175","12.13","10499169","79263000","222.35","0",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00016-7502","0313-R1","320 ALBANY STREET","1","10280","40.710165","-74.016751","1","1","31704","1000301","1000167502","Battery Park City-Lower Manhattan                                          ","TRIBECA","R4-CONDOMINIUM","133","1986","139719","5127687","36.7","1497788","10.72","3629899","26737996","191.37","1-00016-0195","325 NORTH END AVENUE","TRIBECA","D8-ELEVATOR","276","2004","356483","14824344","41.58","4325175","12.13","10499169","79263000","222.35","0","1-00077-0024","82 FULTON STREET","FINANCIAL","D7-ELEVATOR","205","1900","159000","5447340","34.26","1906410","11.99","3540930","26237000","165.01","0.54",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00016-7503","0385-R1","250 SOUTH END AVENUE","1","10280","40.709709","-74.01656","1","1","31704","1065089","1000167503","Battery Park City-Lower Manhattan                                          ","TRIBECA","R4-CONDOMINIUM","109","1985","105000","4365900","41.58","1273650","12.13","3092250","22210281","211.53","1-00016-0185","211 NORTH END AVENUE","TRIBECA","D8-ELEVATOR","256","2004","278142","13788111","49.57","3677770","13.22","10110341","75778000","272.44","0","1-00065-0010","9 MAIDEN LANE","FINANCIAL","D5-ELEVATOR","68","1900","58354","2099485","35.98","645225","11.06","1454260","10730000","183.88","0.38","1-00016-0195","325 NORTH END AVENUE","TRIBECA","D8-ELEVATOR","276","2004","356,483","14,824,344","41.58","4,325,175","12.13","10,499,169","79,263,000","222.35","0"
"1-00016-7504","0360-R1","300 ALBANY STREET","1","10280","40.710118","-74.016574","1","1","31704","1000436","1000167504","Battery Park City-Lower Manhattan                                          ","TRIBECA","R4-CONDOMINIUM","107","1986","87479","3637377","41.58","1061120","12.13","2576257","19449002","222.33","1-00016-0185","211 NORTH END AVENUE","TRIBECA","D8-ELEVATOR","256","2004","278142","13788111","49.57","3677770","13.22","10110341","75778000","272.44","0","1-00065-0010","9 MAIDEN LANE","FINANCIAL","D5-ELEVATOR","68","1900","58354","2099485","35.98","645225","11.06","1454260","10730000","183.88","0.38","1-00016-0195","325 NORTH END AVENUE","TRIBECA","D8-ELEVATOR","276","2004","356,483","14,824,344","41.58","4,325,175","12.13","10,499,169","79,263,000","222.35","0"
"1-00016-7505","0371-R1","380 RECTOR PLACE","1","10280","40.709311","-74.017764","1","1","31704","1000544","1000167505","Battery Park City-Lower Manhattan                                          ","TRIBECA","R4-CONDOMINIUM","247","1987","255845","11246946","43.96","2440761","9.54","8806185","66316999","259.21","1-00016-0020","70 BATTERY PLACE","TRIBECA","D8-ELEVATOR","210","1998","230766","6465883","28.02","2122314","9.2","4343569","31269000","135.5","0","1-00016-0190","22 RIVER TERRACE","TRIBECA","D8-ELEVATOR","324","2000","331500","14519700","43.8","4790175","14.45","9729525","73281000","221.06","0","1-00016-0180","20 RIVER TERRACE","TRIBECA","D8-ELEVATOR","294","2002","356,786","18,051,324","50.59","4,569,252","12.81","13,482,072","100,974,000","283.01","0"
"1-00016-7506","0398-R1","280 RECTOR PLACE","1","10280","40.708921","-74.016505","1","1","31704","1065199","1000167506","Battery Park City-Lower Manhattan                                          ","TRIBECA","R4-CONDOMINIUM","121","1985","106129","4115683","38.78","1231096","11.6","2884587","21821999","205.62","1-00065-0010","9 MAIDEN LANE","FINANCIAL","D5-ELEVATOR","68","1900","58354","2099485","35.98","645225","11.06","1454260","10730000","183.88","0.38","1-00016-0195","325 NORTH END AVENUE","TRIBECA","D8-ELEVATOR","276","2004","356483","14824344","41.58","4325175","12.13","10499169","79263000","222.35","0",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00016-7507","0450-R1","300 RECTOR PLACE","1","10280","40.709097","-74.017104","1","1","31704","1065321","1000167507","Battery Park City-Lower Manhattan                                          ","TRIBECA","R4-CONDOMINIUM","154","1986","126008","5239413","41.58","1528477","12.13","3710936","28015990","222.34","1-00016-0185","211 NORTH END AVENUE","TRIBECA","D8-ELEVATOR","256","2004","278142","13788111","49.57","3677770","13.22","10110341","75778000","272.44","0","1-00016-0195","325 NORTH END AVENUE","TRIBECA","D8-ELEVATOR","276","2004","356483","14824344","41.58","4325175","12.13","10499169","79263000","222.35","0","1-00065-0010","9 MAIDEN LANE","FINANCIAL","D5-ELEVATOR","68","1900","58,354","2,099,485","35.98","645,225","11.06","1,454,260","10,730,000","183.88","0.38"
"1-00016-7508","0498-R1","200 RECTOR PLACE","1","10280","40.708809","-74.016116","1","1","31704","1065475","1000167508","Battery Park City-Lower Manhattan                                          ","TRIBECA","R4-CONDOMINIUM","546","1987","586224","24375194","41.58","7110897","12.13","17264297","130154990","222.02","1-00016-0195","325 NORTH END AVENUE","TRIBECA","D8-ELEVATOR","276","2004","356483","14824344","41.58","4325175","12.13","10499169","79263000","222.35","0","1-00016-0185","211 NORTH END AVENUE","TRIBECA","D8-ELEVATOR","256","2004","278142","13788111","49.57","3677770","13.22","10110341","75778000","272.44","0","1-00173-0027","343 BROADWAY","CIVIC CENTER","D6-ELEVATOR","359","2005","396,000","14,128,690","35.68","3,635,867","9.18","10,492,823","77,529,000","195.78","0.7"
"1-00016-7509","0621-R1","21 SOUTH END AVENUE","1","10280","40.708114","-74.01763","1","1","31704","1075698","1000167509","Battery Park City-Lower Manhattan                                          ","TRIBECA","R4-CONDOMINIUM","182","1988","208281","8077137","38.78","2416060","11.6","5661077","42824998","205.61","1-00016-0195","325 NORTH END AVENUE","TRIBECA","D8-ELEVATOR","276","2004","356483","14824344","41.58","4325175","12.13","10499169","79263000","222.35","0","1-00065-0010","9 MAIDEN LANE","FINANCIAL","D5-ELEVATOR","68","1900","58354","2099485","35.98","645225","11.06","1454260","10730000","183.88","0.38",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00016-7510","0779-R1","99 BATTERY PLACE","1","10280","40.707977","-74.016729","1","1","31704","1080815","1000167510","Battery Park City-Lower Manhattan                                          ","TRIBECA","R4-CONDOMINIUM","293","1988","341489","13591262","39.8","4309591","12.62","9281671","70161999","205.46","1-00016-0195","325 NORTH END AVENUE","TRIBECA","D8-ELEVATOR","276","2004","356483","14824344","41.58","4325175","12.13","10499169","79263000","222.35","0","1-00173-0027","343 BROADWAY","CIVIC CENTER","D6-ELEVATOR","359","2005","396000","14128690","35.68","3635867","9.18","10492823","77529000","195.78","0.7",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00016-7513","1217-R1","25 BATTERY PLACE","1","10280","40.705581","-74.017969","1","1","31704","1085789","1000167513","Battery Park City-Lower Manhattan                                          ","TRIBECA","R4-CONDOMINIUM","117","2003","267723","12202814","45.58","3394728","12.68","8808086","62110366","231.99","1-00016-0185","211 NORTH END AVENUE","TRIBECA","D8-ELEVATOR","256","2004","278142","13788111","49.57","3677770","13.22","10110341","75778000","272.44","0","1-00016-0195","325 NORTH END AVENUE","TRIBECA","D8-ELEVATOR","276","2004","356483","14824344","41.58","4325175","12.13","10499169","79263000","222.35","0",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00016-7514","1623-R1","30 WEST STREET","1","10004","40.706146","-74.016873","1","1","31704","1087238","1000167514","Battery Park City-Lower Manhattan                                          ","TRIBECA","R4-CONDOMINIUM","234","2006","431824","18041607","41.78","5298480","12.27","12743127","89682996","207.68","1-00016-0195","325 NORTH END AVENUE","TRIBECA","D8-ELEVATOR","276","2004","356483","14824344","41.58","4325175","12.13","10499169","79263000","222.35","0","1-00016-0185","211 NORTH END AVENUE","TRIBECA","D8-ELEVATOR","256","2004","278142","13788111","49.57","3677770","13.22","10110341","75778000","272.44","0","1-00088-0014","12 BARCLAY STREET","CIVIC CENTER","D8-ELEVATOR","402","2006","531,000","22,181,368","41.77","6,514,339","12.27","15,667,029","118,260,000","222.71","0.37"
"1-00016-7515","1848-R1","225 RECTOR PLACE","1","10280","40.70927","-74.016487","1","1","31704","1000053","1000167515","Battery Park City-Lower Manhattan                                          ","TRIBECA","R4-CONDOMINIUM","304","1985","257848","11752712","45.58","3269513","12.68","8483199","63811996","247.48","1-00016-0185","211 NORTH END AVENUE","TRIBECA","D8-ELEVATOR","256","2004","278142","13788111","49.57","3677770","13.22","10110341","75778000","272.44","0","1-00016-0195","325 NORTH END AVENUE","TRIBECA","D8-ELEVATOR","276","2004","356483","14824344","41.58","4325175","12.13","10499169","79263000","222.35","0",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00016-7516","1858-R1","1 RIVER TERRACE","1",,,,,,,,,,"TRIBECA","R4-CONDOMINIUM","256","2006","434398","19799861","45.58","5508167","12.68","14291694","100582005","231.54","1-00016-0195","325 NORTH END AVENUE","TRIBECA","D8-ELEVATOR","276","2004","356483","14824344","41.58","4325175","12.13","10499169","79263000","222.35","0","1-00016-0185","211 NORTH END AVENUE","TRIBECA","D8-ELEVATOR","256","2004","278142","13788111","49.57","3677770","13.22","10110341","75778000","272.44","0",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00016-7518","2198-R1","333 RECTOR PLACE","1","10280","40.709448","-74.017252","1","1","31704","1000055","1000167518","Battery Park City-Lower Manhattan                                          ","TRIBECA","R4-CONDOMINIUM","174","1985","237725","10051013","42.28","2498490","10.51","7552523","57048005","239.97","1-00016-0185","211 NORTH END AVENUE","TRIBECA","D8-ELEVATOR","256","2004","278142","13788111","49.57","3677770","13.22","10110341","75778000","272.44","0","1-00042-0001","100 MAIDEN LANE","FINANCIAL","D6-ELEVATOR","346","1930","290116","12265285","42.28","3047712","10.51","9217573","69551000","239.74","0.53","1-00016-0195","325 NORTH END AVENUE","TRIBECA","D8-ELEVATOR","276","2004","356,483","14,824,344","41.58","4,325,175","12.13","10,499,169","79,263,000","222.35","0"
"1-00017-7502","1192-R1","33 RECTOR STREET","1","10006","40.708354","-74.014868","1","1","13","1000792","1000177502","Battery Park City-Lower Manhattan                                          ","FINANCIAL","R4-CONDOMINIUM","13","1920","37236","1545666","41.51","439012","11.79","1106654","8355001","224.38","1-00097-0032","24 PECK SLIP","SOUTHBRIDGE","D7-ELEVATOR","10","2004","14261","580960","40.74","186455","13.07","394505","7698000","539.79","0.65","1-00042-0001","100 MAIDEN LANE","FINANCIAL","D6-ELEVATOR","346","1930","290116","12265285","42.28","3047712","10.51","9217573","69551000","239.74","0.38",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00018-7501","1741-R1","13 RECTOR STREET","1","10006","40.707997","-74.013713","1","1","13","1000794","1000187501","Battery Park City-Lower Manhattan                                          ","FINANCIAL","R4-CONDOMINIUM","452","1956","316810","14551083","45.93","3760535","11.87","10790548","81144002","256.13","1-00042-0001","100 MAIDEN LANE","FINANCIAL","D6-ELEVATOR","346","1930","290116","12265285","42.28","3047712","10.51","9217573","69551000","239.74","0.37","1-00016-0185","211 NORTH END AVENUE","TRIBECA","D8-ELEVATOR","256","2004","278142","13788111","49.57","3677770","13.22","10110341","75778000","272.44","0.33",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00024-7501","1912-R1","40 BROAD STREET","1","10004","40.706021","-74.011332","1","1","9","1078985","1000247501","Battery Park City-Lower Manhattan                                          ","FINANCIAL","R4-CONDOMINIUM","162","1982","231300","9779364","42.28","2430963","10.51","7348401","43229973","186.9","1-00042-0001","100 MAIDEN LANE","FINANCIAL","D6-ELEVATOR","346","1930","290116","12265285","42.28","3047712","10.51","9217573","69551000","239.74","0.23","1-00016-0185","211 NORTH END AVENUE","TRIBECA","D8-ELEVATOR","256","2004","278142","13788111","49.57","3677770","13.22","10110341","75778000","272.44","0.44","1-00077-0024","82 FULTON STREET","FINANCIAL","D7-ELEVATOR","205","1900","159,000","5,447,340","34.26","1,906,410","11.99","3,540,930","26,237,000","165.01","0.36"
"1-00025-7501","1957-R1","15 WILLIAM STREET","1","10005","40.705209","-74.009998","1","1","9","1087954","1000257501","Battery Park City-Lower Manhattan                                          ","FINANCIAL","R4-CONDOMINIUM","320","2005","477747","19864720","41.58","5795071","12.13","14069649","106168339","222.23","1-00016-0195","325 NORTH END AVENUE","TRIBECA","D8-ELEVATOR","276","2004","356483","14824344","41.58","4325175","12.13","10499169","79263000","222.35","0.48","1-00151-0001","101 DUANE STREET","CIVIC CENTER","D6-ELEVATOR","443","1988","434418","17024841","39.19","5786448","13.32","11238393","84991000","195.64","0.75","1-00016-0185","211 NORTH END AVENUE","TRIBECA","D8-ELEVATOR","256","2004","278,142","13,788,111","49.57","3,677,770","13.22","10,110,341","75,778,000","272.44","0.48"
"1-00026-7501","1480-R1","15 BROAD STREET","1","10005","40.706531","-74.011022","1","1","7","1078988","1000267501","Battery Park City-Lower Manhattan                                          ","FINANCIAL","R4-CONDOMINIUM","382","1914","648926","27436591","42.28","6820212","10.51","20616379","155560004","239.72","1-00042-0001","100 MAIDEN LANE","FINANCIAL","D6-ELEVATOR","346","1930","290116","12265285","42.28","3047712","10.51","9217573","69551000","239.74","0.14","1-00077-0024","82 FULTON STREET","FINANCIAL","D7-ELEVATOR","205","1900","159000","5447340","34.26","1906410","11.99","3540930","26237000","165.01","0.27","1-00016-0185","211 NORTH END AVENUE","TRIBECA","D8-ELEVATOR","256","2004","278,142","13,788,111","49.57","3,677,770","13.22","10,110,341","75,778,000","272.44","0.45"
"1-00027-7501","1424-R1","55 WALL STREET","1","10005","40.706191","-74.009165","1","1","7","1000827","1000277501","Battery Park City-Lower Manhattan                                          ","FINANCIAL","R4-CONDOMINIUM","107","1836","159544","7798511","48.88","1973559","12.37","5824952","43678004","273.77","1-00170-0001","336 BROADWAY","CIVIC CENTER","D6-ELEVATOR","151","1999","139697","6730608","48.18","1609331","11.52","5121277","38422000","275.04","0.77","1-00016-0185","211 NORTH END AVENUE","TRIBECA","D8-ELEVATOR","256","2004","278142","13788111","49.57","3677770","13.22","10110341","75778000","272.44","0.51",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00027-7502","1991-R1","20 EXCHANGE PLACE","1","10005","40.705634","-74.009378","1","1","7","1000830","1000277502","Battery Park City-Lower Manhattan                                          ","FINANCIAL","RR-CONDOMINIUM","350","1929","346789","13511000","38.96","3172000","9.15","10339000","78272000","225.7","1-00016-0185","211 NORTH END AVENUE","TRIBECA","D8-ELEVATOR","256","2004","278142","13788111","49.57","3677770","13.22","10110341","75778000","272.44","0.53","1-00170-0001","336 BROADWAY","CIVIC CENTER","D6-ELEVATOR","151","1999","139697","6730608","48.18","1609331","11.52","5121277","38422000","275.04","0.8",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00028-7501","1590-R1","82 BEAVER STREET","1","10005","40.70536","-74.008602","1","1","7","1000835","1000287501","Battery Park City-Lower Manhattan                                          ","FINANCIAL","R4-CONDOMINIUM","126","1987","96902","3271412","33.76","995184","10.27","2276228","16895998","174.36","1-00071-0001","156 FRONT STREET","FINANCIAL","D7-ELEVATOR","66","1930","52969","1788390","33.76","543771","10.27","1244619","9239000","174.42","0.17","1-00065-0010","9 MAIDEN LANE","FINANCIAL","D5-ELEVATOR","68","1900","58354","2099485","35.98","645225","11.06","1454260","10730000","183.88","0.32","1-00077-0024","82 FULTON STREET","FINANCIAL","D7-ELEVATOR","205","1900","159,000","5,447,340","34.26","1,906,410","11.99","3,540,930","26,237,000","165.01","0.28"
"1-00029-7501","1002-R1","48 BEAVER STREET","1","10004","40.70509","-74.010607","1","1","9","1078997","1000297501","Battery Park City-Lower Manhattan                                          ","FINANCIAL","R9-CONDOMINIUM","40","1920","65396","1493000","22.83","594600","9.09","898400","6573000","100.51","1-00065-0010","9 MAIDEN LANE","FINANCIAL","D5-ELEVATOR","68","1900","58354","2099485","35.98","645225","11.06","1454260","10730000","183.88","0.35","1-00065-0020","12 JOHN STREET","FINANCIAL","D6-ELEVATOR","20","1900","31118","890618","28.62","250756","8.06","639862","4807000","154.48","0.35",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00029-7503","1541-R1","21 SOUTH WILLIAM STREET","1","10004","40.704514","-74.010741","1","1","9","1087244","1000297503","Battery Park City-Lower Manhattan                                          ","FINANCIAL","R4-CONDOMINIUM","31","1900","20308","854154","42.06","291217","14.34","562937","3751007","184.71","1-00042-0001","100 MAIDEN LANE","FINANCIAL","D6-ELEVATOR","346","1930","290116","12265285","42.28","3047712","10.51","9217573","69551000","239.74","0.24","1-00163-0018","69 BAYARD STREET","CHINATOWN","C7-WALK-UP","42","1945","22000","920397","41.84","399654","18.17","520743","3930000","178.64","1",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00031-7501","1836-R1","75 WALL STREET","1","10005","40.705486","-74.007874","1","1","7","1085950","1000317501","Battery Park City-Lower Manhattan                                          ","FINANCIAL","R4-CONDOMINIUM","347","1987","422833","19420720","45.93","5019028","11.87","14401692","83690005","197.93","1-00016-0185","211 NORTH END AVENUE","TRIBECA","D8-ELEVATOR","256","2004","278142","13788111","49.57","3677770","13.22","10110341","75778000","272.44","0.6","1-00042-0001","100 MAIDEN LANE","FINANCIAL","D6-ELEVATOR","346","1930","290116","12265285","42.28","3047712","10.51","9217573","69551000","239.74","0.15",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00039-7501","0122-R1","164 PEARL STREET","1","10005","40.70587","-74.007617","1","1","7","1000884","1000397501","Battery Park City-Lower Manhattan                                          ","FINANCIAL","R4-CONDOMINIUM","121","1956","109468","4199192","38.36","1321279","12.07","2877913","21777997","198.94","1-00065-0010","9 MAIDEN LANE","FINANCIAL","D5-ELEVATOR","68","1900","58354","2099485","35.98","645225","11.06","1454260","10730000","183.88","0.3","1-00097-0032","24 PECK SLIP","SOUTHBRIDGE","D7-ELEVATOR","10","2004","14261","580960","40.74","186455","13.07","394505","7698000","539.79","0.29",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00041-7501","1054-R1","50 PINE STREET","1","10005","40.706732","-74.00862","1","1","7","1001011","1000417501","Battery Park City-Lower Manhattan                                          ","FINANCIAL","R4-CONDOMINIUM","20","1902","39607","1644087","41.51","466967","11.79","1177120","8886999","224.38","1-00097-0032","24 PECK SLIP","SOUTHBRIDGE","D7-ELEVATOR","10","2004","14261","580960","40.74","186455","13.07","394505","7698000","539.79","0.3","1-00042-0001","100 MAIDEN LANE","FINANCIAL","D6-ELEVATOR","346","1930","290116","12265285","42.28","3047712","10.51","9217573","69551000","239.74","0.03",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00041-7503","1186-R1","56 PINE STREET","1","10005","40.706606","-74.008404","1","1","7","1001009","1000417503","Battery Park City-Lower Manhattan                                          ","FINANCIAL","R4-CONDOMINIUM","90","1893","73507","2563189","34.87","784320","10.67","1778869","13165001","179.1","1-00065-0010","9 MAIDEN LANE","FINANCIAL","D5-ELEVATOR","68","1900","58354","2099485","35.98","645225","11.06","1454260","10730000","183.88","0.22","1-00071-0001","156 FRONT STREET","FINANCIAL","D7-ELEVATOR","66","1930","52969","1788390","33.76","543771","10.27","1244619","9239000","174.42","0.14",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00044-7501","1853-R1","18 PINE STREET","1","10005","40.707588","-74.010013","1","1","7","1001022","1000447501","Battery Park City-Lower Manhattan                                          ","FINANCIAL","R4-CONDOMINIUM","408","1928","548976","23210705","42.28","5769738","10.51","17440967","118799990","216.4","1-00042-0001","100 MAIDEN LANE","FINANCIAL","D6-ELEVATOR","346","1930","290116","12265285","42.28","3047712","10.51","9217573","69551000","239.74","0.1","1-00016-0195","325 NORTH END AVENUE","TRIBECA","D8-ELEVATOR","276","2004","356483","14824344","41.58","4325175","12.13","10499169","79263000","222.35","0.43","1-00016-0185","211 NORTH END AVENUE","TRIBECA","D8-ELEVATOR","256","2004","278,142","13,788,111","49.57","3,677,770","13.22","10,110,341","75,778,000","272.44","0.43"
"1-00052-7501","0947-R1","112 LIBERTY STREET","1","10006","40.70991","-74.012177","1","1","13","1001042","1000527501","Battery Park City-Lower Manhattan                                          ","FINANCIAL","RR-CONDOMINIUM","13","1900","21069","461000","21.88","188000","8.92","273000","1875000","88.99","1-00065-0020","12 JOHN STREET","FINANCIAL","D6-ELEVATOR","20","1900","31118","890618","28.62","250756","8.06","639862","4807000","154.48","0.16","1-00065-0010","9 MAIDEN LANE","FINANCIAL","D5-ELEVATOR","68","1900","58354","2099485","35.98","645225","11.06","1454260","10730000","183.88","0.16","1-00097-0026","229 FRONT STREET","SOUTHBRIDGE","C7-WALK-UP","12","1900","14,400","534,309","37.1","165,637","11.5","368,672","2,713,000","188.4","0.56"
"1-00052-7502","1034-R1","114 LIBERTY STREET","1","10006","40.709938","-74.012235","1","1","13","1001041","1000527502","Battery Park City-Lower Manhattan                                          ","FINANCIAL","R4-CONDOMINIUM","12","1913","65992","2374392","35.98","729872","11.06","1644520","6787002","102.85","1-00065-0010","9 MAIDEN LANE","FINANCIAL","D5-ELEVATOR","68","1900","58354","2099485","35.98","645225","11.06","1454260","10730000","183.88","0.16","1-00071-0001","156 FRONT STREET","FINANCIAL","D7-ELEVATOR","66","1930","52969","1788390","33.76","543771","10.27","1244619","9239000","174.42","0.44","1-00107-0042","23 PECK SLIP","SOUTHBRIDGE","D7-ELEVATOR","24","1900","25,903","959,447","37.04","326,119","12.59","633,328","2,948,000","113.81","0.58"
"1-00053-7501","1572-R1","120 GREENWICH STREET","1","10006","40.709089","-74.013118","1","1","13","1001050","1000537501","Battery Park City-Lower Manhattan                                          ","FINANCIAL","R4-CONDOMINIUM","102","1903","71985","2988097","41.51","848703","11.79","2139394","16151989","224.38","1-00097-0032","24 PECK SLIP","SOUTHBRIDGE","D7-ELEVATOR","10","2004","14261","580960","40.74","186455","13.07","394505","7698000","539.79","0.59","1-00042-0001","100 MAIDEN LANE","FINANCIAL","D6-ELEVATOR","346","1930","290116","12265285","42.28","3047712","10.51","9217573","69551000","239.74","0.34",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
