EU Type goedkeuringssleutel,Landcode EEG typegoedkeuring,Richtlijn nr laatste wijziging,EEG basis goedkeuringsnummer,EEG uitbreiding goedkeuringsnummer,EEG typegoedkeuringsdatum,Europese typegoedkeurings registratie datum,EEG/ECE voertuig categorie bij type,Fabrikantcode type,Fabrikant,Europese typegoedkeuring intrek datum,Europese typegoedkeuring status,Europese typegoedkeuring status datum,Europese typegoedkeuring einddatum,Type fabrikant,Typegoedkeuringsnummer,Vervaldatum typegoedkeuring,EEG Voertuig cat toevoeging,EEG typegoedkeuringsdatum_DT,Europese typegoedkeurings registratie datum_DT,Europese typegoedkeuring intrek datum_DT,Europese typegoedkeuring status datum_DT,Europese typegoedkeuring einddatum_DT,Vervaldatum typegoedkeuring_DT,API Basisgegevens EEG uitvoering,API AS gegevens EEG uitvoering,API Carrosserie uitvoering klasse,API Carrosserie uitvoering,API Carrosserie uitvoering nummerieke code,API Handelsbenaming uitvoering,API Merk uitvoering toegestaan,API Motor uitvoering,API Motor uitvoering brandstof,API Plaatsaanduiding uitvoering,API Subcategorie uitvoering,API Uitvoeringverbruik per uitgave,API Versnellingsbak uitvoering
e1*01/116*0023*21,e1,01/116,23,21,20030404,20030404,M1,,VOLKSWAGEN AG,,BT,20190115,20031027,,e1*2001/116*0023*21,,,04/04/2003 12:00:00 AM,04/04/2003 12:00:00 AM,,01/15/2019 12:00:00 AM,10/27/2003 12:00:00 AM,,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Basisgegevens-EEG-Uitvoering/wx3j-69ie,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-AS-Gegevens-EEG-Uitvoering/ahsi-8uyu,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Carrosserie-Uitvoering/w2qp-idms,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Carrosserie-Uitvoering-Klasse/q7fi-ijjh,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Carrosserie-Uitvoering-Nummerieke-Co/nypm-t8hx,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Handelsbenaming-Uitvoering/mdqe-txpd,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Merk-Uitvoering-Toegestaan/fj7t-hhik,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Motor-Uitvoering/g2s6-ehxa,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Motor-Uitvoering-Brandstof/5w6t-p66a,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Plaatsaanduiding-Uitvoering/mt8t-4ep4,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Subcategorie-Uitvoering/h9pa-e9ta,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Uitvoering-Gebruiksgegevens-Per-Uitg/2822-t8sx,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Versnellingsbak-Uitvoering/r7cw-67gs
e1*01/116*0023*22,e1,01/116,23,22,20030916,20030916,M1,,VOLKSWAGEN AG,,BT,20150925,20040108,,e1*2001/116*0023*22,,,09/16/2003 12:00:00 AM,09/16/2003 12:00:00 AM,,09/25/2015 12:00:00 AM,01/08/2004 12:00:00 AM,,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Basisgegevens-EEG-Uitvoering/wx3j-69ie,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-AS-Gegevens-EEG-Uitvoering/ahsi-8uyu,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Carrosserie-Uitvoering/w2qp-idms,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Carrosserie-Uitvoering-Klasse/q7fi-ijjh,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Carrosserie-Uitvoering-Nummerieke-Co/nypm-t8hx,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Handelsbenaming-Uitvoering/mdqe-txpd,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Merk-Uitvoering-Toegestaan/fj7t-hhik,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Motor-Uitvoering/g2s6-ehxa,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Motor-Uitvoering-Brandstof/5w6t-p66a,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Plaatsaanduiding-Uitvoering/mt8t-4ep4,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Subcategorie-Uitvoering/h9pa-e9ta,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Uitvoering-Gebruiksgegevens-Per-Uitg/2822-t8sx,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Versnellingsbak-Uitvoering/r7cw-67gs
e1*01/116*0023*23,e1,01/116,23,23,20031128,20031128,M1,,VOLKSWAGEN AG,,BT,20150925,20040602,,e1*2001/116*0023*23,,,11/28/2003 12:00:00 AM,11/28/2003 12:00:00 AM,,09/25/2015 12:00:00 AM,06/02/2004 12:00:00 AM,,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Basisgegevens-EEG-Uitvoering/wx3j-69ie,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-AS-Gegevens-EEG-Uitvoering/ahsi-8uyu,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Carrosserie-Uitvoering/w2qp-idms,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Carrosserie-Uitvoering-Klasse/q7fi-ijjh,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Carrosserie-Uitvoering-Nummerieke-Co/nypm-t8hx,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Handelsbenaming-Uitvoering/mdqe-txpd,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Merk-Uitvoering-Toegestaan/fj7t-hhik,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Motor-Uitvoering/g2s6-ehxa,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Motor-Uitvoering-Brandstof/5w6t-p66a,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Plaatsaanduiding-Uitvoering/mt8t-4ep4,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Subcategorie-Uitvoering/h9pa-e9ta,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Uitvoering-Gebruiksgegevens-Per-Uitg/2822-t8sx,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Versnellingsbak-Uitvoering/r7cw-67gs
e1*01/116*0023*24,e1,01/116,23,24,20040407,20040407,M1,,VOLKSWAGEN AG,,BT,20150925,20040803,,e1*2001/116*0023*24,,,04/07/2004 12:00:00 AM,04/07/2004 12:00:00 AM,,09/25/2015 12:00:00 AM,08/03/2004 12:00:00 AM,,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Basisgegevens-EEG-Uitvoering/wx3j-69ie,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-AS-Gegevens-EEG-Uitvoering/ahsi-8uyu,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Carrosserie-Uitvoering/w2qp-idms,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Carrosserie-Uitvoering-Klasse/q7fi-ijjh,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Carrosserie-Uitvoering-Nummerieke-Co/nypm-t8hx,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Handelsbenaming-Uitvoering/mdqe-txpd,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Merk-Uitvoering-Toegestaan/fj7t-hhik,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Motor-Uitvoering/g2s6-ehxa,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Motor-Uitvoering-Brandstof/5w6t-p66a,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Plaatsaanduiding-Uitvoering/mt8t-4ep4,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Subcategorie-Uitvoering/h9pa-e9ta,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Uitvoering-Gebruiksgegevens-Per-Uitg/2822-t8sx,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Versnellingsbak-Uitvoering/r7cw-67gs
e1*01/116*0023*25,e1,01/116,23,25,20040713,20040713,M1,,VOLKSWAGEN AG,,BT,20150925,20041006,,e1*2001/116*0023*25,,,07/13/2004 12:00:00 AM,07/13/2004 12:00:00 AM,,09/25/2015 12:00:00 AM,10/06/2004 12:00:00 AM,,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Basisgegevens-EEG-Uitvoering/wx3j-69ie,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-AS-Gegevens-EEG-Uitvoering/ahsi-8uyu,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Carrosserie-Uitvoering/w2qp-idms,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Carrosserie-Uitvoering-Klasse/q7fi-ijjh,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Carrosserie-Uitvoering-Nummerieke-Co/nypm-t8hx,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Handelsbenaming-Uitvoering/mdqe-txpd,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Merk-Uitvoering-Toegestaan/fj7t-hhik,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Motor-Uitvoering/g2s6-ehxa,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Motor-Uitvoering-Brandstof/5w6t-p66a,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Plaatsaanduiding-Uitvoering/mt8t-4ep4,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Subcategorie-Uitvoering/h9pa-e9ta,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Uitvoering-Gebruiksgegevens-Per-Uitg/2822-t8sx,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Versnellingsbak-Uitvoering/r7cw-67gs
e1*01/116*0023*26,e1,01/116,23,26,20040916,20040916,M1,,VOLKSWAGEN AG,,BT,20150925,20050113,,e1*2001/116*0023*26,,,09/16/2004 12:00:00 AM,09/16/2004 12:00:00 AM,,09/25/2015 12:00:00 AM,01/13/2005 12:00:00 AM,,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Basisgegevens-EEG-Uitvoering/wx3j-69ie,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-AS-Gegevens-EEG-Uitvoering/ahsi-8uyu,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Carrosserie-Uitvoering/w2qp-idms,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Carrosserie-Uitvoering-Klasse/q7fi-ijjh,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Carrosserie-Uitvoering-Nummerieke-Co/nypm-t8hx,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Handelsbenaming-Uitvoering/mdqe-txpd,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Merk-Uitvoering-Toegestaan/fj7t-hhik,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Motor-Uitvoering/g2s6-ehxa,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Motor-Uitvoering-Brandstof/5w6t-p66a,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Plaatsaanduiding-Uitvoering/mt8t-4ep4,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Subcategorie-Uitvoering/h9pa-e9ta,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Uitvoering-Gebruiksgegevens-Per-Uitg/2822-t8sx,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Versnellingsbak-Uitvoering/r7cw-67gs
e1*01/116*0023*27,e1,01/116,23,27,20041130,20041130,M1,,VOLKSWAGEN AG,,BT,20150929,20050511,,e1*2001/116*0023*27,,,11/30/2004 12:00:00 AM,11/30/2004 12:00:00 AM,,09/29/2015 12:00:00 AM,05/11/2005 12:00:00 AM,,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Basisgegevens-EEG-Uitvoering/wx3j-69ie,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-AS-Gegevens-EEG-Uitvoering/ahsi-8uyu,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Carrosserie-Uitvoering/w2qp-idms,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Carrosserie-Uitvoering-Klasse/q7fi-ijjh,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Carrosserie-Uitvoering-Nummerieke-Co/nypm-t8hx,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Handelsbenaming-Uitvoering/mdqe-txpd,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Merk-Uitvoering-Toegestaan/fj7t-hhik,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Motor-Uitvoering/g2s6-ehxa,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Motor-Uitvoering-Brandstof/5w6t-p66a,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Plaatsaanduiding-Uitvoering/mt8t-4ep4,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Subcategorie-Uitvoering/h9pa-e9ta,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Uitvoering-Gebruiksgegevens-Per-Uitg/2822-t8sx,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Versnellingsbak-Uitvoering/r7cw-67gs
e1*01/116*0023*28,e1,01/116,23,28,20050401,20050401,M1,,VOLKSWAGEN AG,,BT,20151001,20051109,,e1*2001/116*0023*28,,,04/01/2005 12:00:00 AM,04/01/2005 12:00:00 AM,,10/01/2015 12:00:00 AM,11/09/2005 12:00:00 AM,,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Basisgegevens-EEG-Uitvoering/wx3j-69ie,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-AS-Gegevens-EEG-Uitvoering/ahsi-8uyu,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Carrosserie-Uitvoering/w2qp-idms,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Carrosserie-Uitvoering-Klasse/q7fi-ijjh,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Carrosserie-Uitvoering-Nummerieke-Co/nypm-t8hx,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Handelsbenaming-Uitvoering/mdqe-txpd,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Merk-Uitvoering-Toegestaan/fj7t-hhik,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Motor-Uitvoering/g2s6-ehxa,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Motor-Uitvoering-Brandstof/5w6t-p66a,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Plaatsaanduiding-Uitvoering/mt8t-4ep4,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Subcategorie-Uitvoering/h9pa-e9ta,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Uitvoering-Gebruiksgegevens-Per-Uitg/2822-t8sx,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Versnellingsbak-Uitvoering/r7cw-67gs
e1*01/116*0023*29,e1,01/116,23,29,20051004,20051004,M1,,VOLKSWAGEN AG,,BT,20151001,20060519,,e1*2001/116*0023*29,,,10/04/2005 12:00:00 AM,10/04/2005 12:00:00 AM,,10/01/2015 12:00:00 AM,05/19/2006 12:00:00 AM,,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Basisgegevens-EEG-Uitvoering/wx3j-69ie,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-AS-Gegevens-EEG-Uitvoering/ahsi-8uyu,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Carrosserie-Uitvoering/w2qp-idms,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Carrosserie-Uitvoering-Klasse/q7fi-ijjh,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Carrosserie-Uitvoering-Nummerieke-Co/nypm-t8hx,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Handelsbenaming-Uitvoering/mdqe-txpd,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Merk-Uitvoering-Toegestaan/fj7t-hhik,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Motor-Uitvoering/g2s6-ehxa,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Motor-Uitvoering-Brandstof/5w6t-p66a,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Plaatsaanduiding-Uitvoering/mt8t-4ep4,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Subcategorie-Uitvoering/h9pa-e9ta,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Uitvoering-Gebruiksgegevens-Per-Uitg/2822-t8sx,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Versnellingsbak-Uitvoering/r7cw-67gs
e1*01/116*0023*30,e1,01/116,23,30,20060418,20060418,M1,,VOLKSWAGEN AG,,BT,20151001,20061107,,e1*2001/116*0023*30,,,04/18/2006 12:00:00 AM,04/18/2006 12:00:00 AM,,10/01/2015 12:00:00 AM,11/07/2006 12:00:00 AM,,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Basisgegevens-EEG-Uitvoering/wx3j-69ie,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-AS-Gegevens-EEG-Uitvoering/ahsi-8uyu,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Carrosserie-Uitvoering/w2qp-idms,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Carrosserie-Uitvoering-Klasse/q7fi-ijjh,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Carrosserie-Uitvoering-Nummerieke-Co/nypm-t8hx,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Handelsbenaming-Uitvoering/mdqe-txpd,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Merk-Uitvoering-Toegestaan/fj7t-hhik,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Motor-Uitvoering/g2s6-ehxa,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Motor-Uitvoering-Brandstof/5w6t-p66a,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Plaatsaanduiding-Uitvoering/mt8t-4ep4,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Subcategorie-Uitvoering/h9pa-e9ta,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Uitvoering-Gebruiksgegevens-Per-Uitg/2822-t8sx,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Versnellingsbak-Uitvoering/r7cw-67gs
e1*01/116*0023*31,e1,01/116,23,31,20060927,20060927,M1,,VOLKSWAGEN AG,,BT,20151001,20070326,,e1*2001/116*0023*31,,,09/27/2006 12:00:00 AM,09/27/2006 12:00:00 AM,,10/01/2015 12:00:00 AM,03/26/2007 12:00:00 AM,,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Basisgegevens-EEG-Uitvoering/wx3j-69ie,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-AS-Gegevens-EEG-Uitvoering/ahsi-8uyu,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Carrosserie-Uitvoering/w2qp-idms,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Carrosserie-Uitvoering-Klasse/q7fi-ijjh,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Carrosserie-Uitvoering-Nummerieke-Co/nypm-t8hx,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Handelsbenaming-Uitvoering/mdqe-txpd,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Merk-Uitvoering-Toegestaan/fj7t-hhik,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Motor-Uitvoering/g2s6-ehxa,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Motor-Uitvoering-Brandstof/5w6t-p66a,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Plaatsaanduiding-Uitvoering/mt8t-4ep4,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Subcategorie-Uitvoering/h9pa-e9ta,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Uitvoering-Gebruiksgegevens-Per-Uitg/2822-t8sx,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Versnellingsbak-Uitvoering/r7cw-67gs
e1*01/116*0023*32,e1,01/116,23,32,20070326,20070326,M1,,VOLKSWAGEN AG,,BT,20151001,20080424,,e1*2001/116*0023*32,,,03/26/2007 12:00:00 AM,03/26/2007 12:00:00 AM,,10/01/2015 12:00:00 AM,04/24/2008 12:00:00 AM,,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Basisgegevens-EEG-Uitvoering/wx3j-69ie,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-AS-Gegevens-EEG-Uitvoering/ahsi-8uyu,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Carrosserie-Uitvoering/w2qp-idms,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Carrosserie-Uitvoering-Klasse/q7fi-ijjh,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Carrosserie-Uitvoering-Nummerieke-Co/nypm-t8hx,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Handelsbenaming-Uitvoering/mdqe-txpd,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Merk-Uitvoering-Toegestaan/fj7t-hhik,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Motor-Uitvoering/g2s6-ehxa,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Motor-Uitvoering-Brandstof/5w6t-p66a,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Plaatsaanduiding-Uitvoering/mt8t-4ep4,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Subcategorie-Uitvoering/h9pa-e9ta,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Uitvoering-Gebruiksgegevens-Per-Uitg/2822-t8sx,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Versnellingsbak-Uitvoering/r7cw-67gs
e1*01/116*0023*33,e1,01/116,23,33,20080424,20080424,M1,,VOLKSWAGEN AG,,BT,20170424,20080930,7M,e1*2001/116*0023*33,,,04/24/2008 12:00:00 AM,04/24/2008 12:00:00 AM,,04/24/2017 12:00:00 AM,09/30/2008 12:00:00 AM,,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Basisgegevens-EEG-Uitvoering/wx3j-69ie,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-AS-Gegevens-EEG-Uitvoering/ahsi-8uyu,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Carrosserie-Uitvoering/w2qp-idms,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Carrosserie-Uitvoering-Klasse/q7fi-ijjh,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Carrosserie-Uitvoering-Nummerieke-Co/nypm-t8hx,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Handelsbenaming-Uitvoering/mdqe-txpd,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Merk-Uitvoering-Toegestaan/fj7t-hhik,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Motor-Uitvoering/g2s6-ehxa,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Motor-Uitvoering-Brandstof/5w6t-p66a,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Plaatsaanduiding-Uitvoering/mt8t-4ep4,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Subcategorie-Uitvoering/h9pa-e9ta,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Uitvoering-Gebruiksgegevens-Per-Uitg/2822-t8sx,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Versnellingsbak-Uitvoering/r7cw-67gs
e1*01/116*0023*34,e1,01/116,23,34,20080930,20080930,M1,,VOLKSWAGEN AG,,BT,20170424,20090416,7M,e1*2001/116*0023*34,,,09/30/2008 12:00:00 AM,09/30/2008 12:00:00 AM,,04/24/2017 12:00:00 AM,04/16/2009 12:00:00 AM,,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Basisgegevens-EEG-Uitvoering/wx3j-69ie,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-AS-Gegevens-EEG-Uitvoering/ahsi-8uyu,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Carrosserie-Uitvoering/w2qp-idms,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Carrosserie-Uitvoering-Klasse/q7fi-ijjh,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Carrosserie-Uitvoering-Nummerieke-Co/nypm-t8hx,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Handelsbenaming-Uitvoering/mdqe-txpd,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Merk-Uitvoering-Toegestaan/fj7t-hhik,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Motor-Uitvoering/g2s6-ehxa,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Motor-Uitvoering-Brandstof/5w6t-p66a,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Plaatsaanduiding-Uitvoering/mt8t-4ep4,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Subcategorie-Uitvoering/h9pa-e9ta,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Uitvoering-Gebruiksgegevens-Per-Uitg/2822-t8sx,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Versnellingsbak-Uitvoering/r7cw-67gs
e1*01/116*0023*35,e1,01/116,23,35,20090416,20090416,M1,,VOLKSWAGEN AG,,BT,20170424,20090922,7M,e1*2001/116*0023*35,,,04/16/2009 12:00:00 AM,04/16/2009 12:00:00 AM,,04/24/2017 12:00:00 AM,09/22/2009 12:00:00 AM,,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Basisgegevens-EEG-Uitvoering/wx3j-69ie,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-AS-Gegevens-EEG-Uitvoering/ahsi-8uyu,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Carrosserie-Uitvoering/w2qp-idms,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Carrosserie-Uitvoering-Klasse/q7fi-ijjh,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Carrosserie-Uitvoering-Nummerieke-Co/nypm-t8hx,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Handelsbenaming-Uitvoering/mdqe-txpd,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Merk-Uitvoering-Toegestaan/fj7t-hhik,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Motor-Uitvoering/g2s6-ehxa,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Motor-Uitvoering-Brandstof/5w6t-p66a,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Plaatsaanduiding-Uitvoering/mt8t-4ep4,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Subcategorie-Uitvoering/h9pa-e9ta,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Uitvoering-Gebruiksgegevens-Per-Uitg/2822-t8sx,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Versnellingsbak-Uitvoering/r7cw-67gs
