wk_code,versie,jaar,wk_naam,lbm,afw,fys,onv,soc,vrz,won
WK000300,Leefbaarometer 1.0,2002,Wijk 00,4.058286272386488,-0.04397857875719641,NA,NA,NA,NA,NA
WK000300,Leefbaarometer 1.0,2008,Wijk 00,4.048300051928666,-0.053964799215018934,NA,NA,NA,NA,NA
WK000300,Leefbaarometer 2.0,2012,Wijk 00,4.080767881360845,-0.021496969782840422,NA,NA,NA,NA,NA
WK000300,Leefbaarometer 3.0,2014,Wijk 00,4.086189201061702,-0.016075650081983705,0.026583540617916925,0.03262511461548413,0.01111768719348902,-0.10649608855487627,0.020094096046002218
WK000300,Leefbaarometer 2.0,2016,Wijk 00,4.077184205709764,-0.025080645433921092,NA,NA,NA,NA,NA
WK000300,Leefbaarometer 3.0,2018,Wijk 00,4.061192465478264,-0.04107238566542105,0.01991911628219382,0.02102471696349418,0.009239758695388905,-0.10755448049168016,0.016298502885181927
WK000300,Leefbaarometer 3.0,2020,Wijk 00,4.066244303341868,-0.0360205478018172,0.017463980505404278,0.013291224023691305,0.016685370607926502,-0.10101939708192224,0.017558274143082704
WK001001,Leefbaarometer 1.0,2002,Centrum,4.042584336106203,-0.05968051503748246,NA,NA,NA,NA,NA
WK001001,Leefbaarometer 1.0,2008,Centrum,4.018658375236639,-0.08360647590704579,NA,NA,NA,NA,NA
WK001001,Leefbaarometer 2.0,2012,Centrum,4.01941139424438,-0.08285345689930523,NA,NA,NA,NA,NA
WK001001,Leefbaarometer 3.0,2014,Centrum,4.015098534576797,-0.08716631656688824,0.10179263985260188,-0.08026700613725002,0.0012930741777306806,-0.0760039266872891,-0.03398109777268189
WK001001,Leefbaarometer 2.0,2016,Centrum,3.9727530398347657,-0.1295118113089196,NA,NA,NA,NA,NA
WK001001,Leefbaarometer 3.0,2018,Centrum,3.949697369151079,-0.15256748199260578,0.09598987439538284,-0.11829454626755379,-0.008997233802154548,-0.0728397270643526,-0.048425849253927976
WK001001,Leefbaarometer 3.0,2020,Centrum,3.9332408902265863,-0.16902396091709881,0.09050559882967181,-0.16127152827420818,-0.014273453161753543,-0.041617253153824633,-0.04236732515698458
WK001002,Leefbaarometer 1.0,2002,West,4.115665144128734,0.013400292985048901,NA,NA,NA,NA,NA
WK001002,Leefbaarometer 1.0,2008,West,4.1302857806743365,0.028020929530651197,NA,NA,NA,NA,NA
WK001002,Leefbaarometer 2.0,2012,West,4.117189223154236,0.014924372010551,NA,NA,NA,NA,NA
WK001002,Leefbaarometer 3.0,2014,West,4.116587029923406,0.014322178779720906,0.02989724269558388,0.05055106540918131,0.04107981189077293,-0.1088591108223907,0.0016531696065732314
WK001002,Leefbaarometer 2.0,2016,West,4.1365267017277825,0.03426185058409714,NA,NA,NA,NA,NA
WK001002,Leefbaarometer 3.0,2018,West,4.100517408527854,-0.001747442615830565,0.027334813918249656,0.049582513611306694,0.03196427620337499,-0.10596272199067253,-0.0046663243580896425
WK001002,Leefbaarometer 3.0,2020,West,4.085073748554125,-0.017191102589560497,0.019753853827065855,0.050490003761647036,0.028357656913691638,-0.10724684441105066,-0.008545772680914672
WK001003,Leefbaarometer 1.0,2002,Farmsum,4.110723924073822,0.00845907293013674,NA,NA,NA,NA,NA
WK001003,Leefbaarometer 1.0,2008,Farmsum,4.094056562557235,-0.008208288586449845,NA,NA,NA,NA,NA
WK001003,Leefbaarometer 2.0,2012,Farmsum,4.156327048600885,0.054062197457199694,NA,NA,NA,NA,NA
WK001003,Leefbaarometer 3.0,2014,Farmsum,4.108119239216259,0.005854388072573622,0.031512097068286934,0.04295565546803106,0.04132714864058394,-0.13475031207574897,0.024809798971420372
WK001003,Leefbaarometer 2.0,2016,Farmsum,4.145242708113517,0.042977856969831515,NA,NA,NA,NA,NA
WK001003,Leefbaarometer 3.0,2018,Farmsum,4.077512510262466,-0.024752340881220008,0.02501436338465843,0.01609130753694227,0.03568747132720041,-0.12934079512011404,0.027795311990092556
WK001003,Leefbaarometer 3.0,2020,Farmsum,4.06195296091677,-0.04031189022691551,0.01774481037625574,0.012906697793731738,0.026903416246871162,-0.11862601273041619,0.020759198086641766
WK001004,Leefbaarometer 1.0,2002,Tuikwerd,3.9125948476217776,-0.18967000352190788,NA,NA,NA,NA,NA
WK001004,Leefbaarometer 1.0,2008,Tuikwerd,3.894507328528394,-0.20775752261529135,NA,NA,NA,NA,NA
WK001004,Leefbaarometer 2.0,2012,Tuikwerd,3.903590037530421,-0.19867481361326433,NA,NA,NA,NA,NA
WK001004,Leefbaarometer 3.0,2014,Tuikwerd,3.918682935144405,-0.18358191599928003,0.052970879313590874,-0.05551926758468531,0.011920766536254283,-0.18067632877353615,-0.012277965490903982
WK001004,Leefbaarometer 2.0,2016,Tuikwerd,3.9395363105274743,-0.16272854061621123,NA,NA,NA,NA,NA
WK001004,Leefbaarometer 3.0,2018,Tuikwerd,3.9012228466621144,-0.2010420044815707,0.05076569469848456,-0.06910989922780723,0.003960677380777681,-0.17898045313312028,-0.007678024199905693
WK001004,Leefbaarometer 3.0,2020,Tuikwerd,3.893915018055475,-0.20834983308820984,0.042795720793842945,-0.06732678758355076,0.0038187358947944297,-0.1780333504216604,-0.009604151771636345
WK001005,Leefbaarometer 1.0,2002,Fivelzigt,4.199540267846094,0.097275416702408593,NA,NA,NA,NA,NA
