ZK_VOLGNR;SUBSIDIEJAAR;SUBSIDIEREGELING;NAAM_ACTIVITEIT_OF_PROJECTNAAM;RESULTAAT;VOORLOPIG_BEDRAG;DEFINITIEF_BEDRAG;AANVRAGER;KVK
2905457;2019;Amateurkunst en Cultuur;Concertserie Jazz Inverdan Stichting t Lab - Jaarsubsidie;Verleend;5.478;;Stichting t Lab;41231975
2928582;2019;Amateurkunst en Cultuur;Jaarsubsidie;Verleend;21.217;;Stichting bij BIND;62744488
2926631;2019;Amateurkunst en Cultuur;Jaarsubsidie;Verleend;24.961;;Stichting T.H. de WEI;53081307
2916111;2019;Amateurkunst en Cultuur;Nieuwe Huys Concerten - Jaarsubsidie;Verleend;5.707;;St. Nieuwe Huys Concerten;34393989
3300718;2019;Amateurkunst en Cultuur;De Notenkraker;Verleend en Vastgesteld conform;;7.140;Stichting De Kunstbrigade op School;57507643
2856465;2019;Amateurkunst en Cultuur;Eigenwijs wonen;Verleend en Vastgesteld conform;;7.000;Kunst- en Erfgoededucatie;68351313
3092538;2019;Amateurkunst en Cultuur;HOREN EN ZIEN@Myhome;Verleend en Vastgesteld conform;;5.451;Stichting de Kunst Firma;62488473
3089173;2019;Amateurkunst en Cultuur;iktoondezaanstreek;Verleend en Vastgesteld conform;;6.866;Stichting FluXus, centrum voor de kunsten ;34130291
2926942;2019;Amateurkunst en Cultuur;Jaarsubsidie - Subsidie Tengel ;Verleend en Vastgesteld conform;;11.682;Tengel;41232182
3265579;2019;Amateurkunst en Cultuur;Zaandijk 525;Verleend en Vastgesteld conform;;9.180;Stichting zaandijk Leeft;815790466
3261718;2019;Amateurkunst en Cultuur;Buurtorkest;Verstrekt;;3.000;Saens Tois;39464008
2968951;2019;Amateurkunst en Cultuur;Culturele dag ;Verstrekt;;1.324;Stichting Jepi Makandra ;41232217
3092725;2019;Amateurkunst en Cultuur;De Troje Trilogie;Verstrekt;;2.795;Stichting Theatermijn;56569157
3071810;2019;Amateurkunst en Cultuur;Dutch Dance Competition;Verstrekt;;4.153;Dutch Dance Competition;66500265
3284712;2019;Amateurkunst en Cultuur;Expositie “van Lompen tot Leesvoer” ;Verstrekt;;459;Historische Vereniging Koog Zaandijk;34319259
3086098;2019;Amateurkunst en Cultuur;Foodfestival aan de Zaan;Verstrekt;;3.929;Foodfestival aan de Zaan;69553106
3562134;2019;Amateurkunst en Cultuur;Groot Zaans Kerstconcert (GZK);Verstrekt;;1.012;Zaans Interkerkelijk Mannenkoor (ZIM);40617831
3528572;2019;Amateurkunst en Cultuur;Hazes Kerst - Winterconcert;Verstrekt;;4.946;Stichting Gewoon Hazes;74077961
3095402;2019;Amateurkunst en Cultuur;Hiphop Coreday 2019;Verstrekt;;4.071;Stichting ZS Alliance;53878868
2860793;2019;Amateurkunst en Cultuur;IAMZOUKCITY - Kleinschalig evenement;Verstrekt;;3.000;Dance2Connect;71578455
2888840;2019;Amateurkunst en Cultuur;Italiaanse Opera en Russische Winteravond;Verstrekt;;4.329;Stichting Imaginary Landscapes;34181984
2925451;2019;Amateurkunst en Cultuur;Jaarsubsidie;Verstrekt;;2.246;Stichting de Muziekkamer;41231932
2922161;2019;Amateurkunst en Cultuur;Jaarsubsidie;Verstrekt;;1.591;ZPINK woordkunst;73317977
2928804;2019;Amateurkunst en Cultuur;Jaarsubsidie;Verstrekt;;1.797;Stichting Zuidervermaning Westzaan;72585102
2654467;2019;Amateurkunst en Cultuur;Jaarsubsidie - Aanvraag Structurele Subsidie Culturele Activiteiten Zaanstad 2019-2022;Verstrekt;;581;Historische Vereniging Koog Zaandijk;34319259
2926102;2019;Amateurkunst en Cultuur;Jaarsubsidie - Concert pop-upkoor ;Verstrekt;;1.716;Stichting E.M.F.;65354125
2901415;2019;Amateurkunst en Cultuur;Jaarsubsidie - Concertreeks Stichting Roots aan de Zaan ;Verstrekt;;1.304;Stichting Roots aan de Zaan;57438935
2931231;2019;Amateurkunst en Cultuur;Jaarsubsidie - Hafabra;Verstrekt;;3.000;Fanfare Onderling Genoegen;40617250
2920397;2019;Amateurkunst en Cultuur;Jaarsubsidie – Hafabra;Verstrekt;;3.000;Het Saens Harmonie-orkest;34167803
2907171;2019;Amateurkunst en Cultuur;Jaarsubsidie – Hafabra;Verstrekt;;3.000;Muziekvereniging Harmonie Apollo Zaandijk;40617238
2897838;2019;Amateurkunst en Cultuur;Jaarsubsidie – Hafabra;Verstrekt;;2.876;Het Zaans Showorkest;40617120
2928994;2019;Amateurkunst en Cultuur;Jaarsubsidie – Hafabra;Verstrekt;;3.000;Jeugdharmonie NUEVO;34143555
2928280;2019;Amateurkunst en Cultuur;Jaarsubsidie – Hafabra;Verstrekt;;3.000;Vereniging Zaandijks Fanfare Corps;40617018
2903805;2019;Amateurkunst en Cultuur;Jaarsubsidie – Hafabra;Verstrekt;;3.000;Soli Koog Zaandijk;40617201
2922288;2019;Amateurkunst en Cultuur;Jaarsubsidie – Hafabra;Verstrekt;;3.000;Chr. muziekver. Soli Deo Gloria Zaandam;40617123
2911310;2019;Amateurkunst en Cultuur;Jaarsubsidie – Hafabra;Verstrekt;;1.776;Dagorkest Zaanstreek Waterland;34343790
2916100;2019;Amateurkunst en Cultuur;Jaarsubsidie - Koor;Verstrekt;;1.786;Popkoor Vocal Invention;40618206
2932669;2019;Amateurkunst en Cultuur;Jaarsubsidie - Koor;Verstrekt;;552;Koor Go4singing!;40617250
2812540;2019;Amateurkunst en Cultuur;Jaarsubsidie - Koor;Verstrekt;;1.602;Gemengd koor Alma Musica;35030911
2903754;2019;Amateurkunst en Cultuur;Jaarsubsidie - Koor;Verstrekt;;1.438;Interkerkelijk Gospelkoor Revival;40617903
2863922;2019;Amateurkunst en Cultuur;Jaarsubsidie - Koor;Verstrekt;;1.622;Gemengde Zangvereniging Daniel de Lange;40617676
2902214;2019;Amateurkunst en Cultuur;Jaarsubsidie - Koor;Verstrekt;;1.239;West Side Sound;40617878
2904333;2019;Amateurkunst en Cultuur;Jaarsubsidie - Koor;Verstrekt;;1.622;Westzaans Dameskoor;40617227
2925428;2019;Amateurkunst en Cultuur;Jaarsubsidie - Koor;Verstrekt;;1.475;Collegium Vocale Zaandam;34191654
2906538;2019;Amateurkunst en Cultuur;Jaarsubsidie - Koor;Verstrekt;;2.000;Koor Kaskedieze;34154939
2919118;2019;Amateurkunst en Cultuur;Jaarsubsidie - Koor;Verstrekt;;1.770;A Capella Koor Cantabile;40617624
2924136;2019;Amateurkunst en Cultuur;Jaarsubsidie - Koor;Verstrekt;;1.516;"'t Zingt Geheid";3418470
2910403;2019;Amateurkunst en Cultuur;Jaarsubsidie - Muziek;Verstrekt;;3.000;Muziek Organisatie Krommenie;40617133
2910212;2019;Amateurkunst en Cultuur;Jaarsubsidie – Muziek;Verstrekt;;2.655;Zaans Symfonie Orkest;40617376
2917967;2019;Amateurkunst en Cultuur;Jaarsubsidie – Muziek;Verstrekt;;910;Zaanse Big Band;40617725
2907523;2019;Amateurkunst en Cultuur;Jaarsubsidie – Muziek;Verstrekt;;3.000;Muziekvereniging Crescendo Assendelft;40617216
2774048;2019;Amateurkunst en Cultuur;Jaarsubsidie – Muziek;Verstrekt;;392;Akkordeonorkest Con Piacere;40618035
2929082;2019;Amateurkunst en Cultuur;Jaarsubsidie – Muziek;Verstrekt;;3.000;Muziekvereniging Het Gilde;40618104
2923713;2019;Amateurkunst en Cultuur;Jaarsubsidie – Muziek;Verstrekt;;3.000;T.T.M. Simson;34166102
2906449;2019;Amateurkunst en Cultuur;Jaarsubsidie - Operette;Verstrekt;;3.407;Zaandamse Operette Vereniging Czaar Peter;40617262
2903673;2019;Amateurkunst en Cultuur;Jaarsubsidie - Schilderskring;Verstrekt;;2.000;Krommenieer Schilderskring  KSK80;40617609
2919237;2019;Amateurkunst en Cultuur;Jaarsubsidie - Stichting Recital ;Verstrekt;;1.048;Stichting Recital;41231995
2840952;2019;Amateurkunst en Cultuur;Jaarsubsidie - Stichting ter bevordering oude stijl jazz Zaanstreek ;Verstrekt;;1.098;Stichting ter bevordering oude stijl jazz Zaanstreek;41231533
2901219;2019;Amateurkunst en Cultuur;Jaarsubsidie - Toneel;Verstrekt;;1.770;Toneelvereniging Rhetorica;40617390
2916052;2019;Amateurkunst en Cultuur;Jaarsubsidie - Toneel;Verstrekt;;1.917;Theatergroep Assendelft;40618228
2916051;2019;Amateurkunst en Cultuur;Jaarsubsidie - Toneel;Verstrekt;;1.500;Toneelvereniging Steeds Voorwaarts;40617679
2925056;2019;Amateurkunst en Cultuur;Jaarsubsidie - voorjaars-, najaarsconcert, - Koor;Verstrekt;;1.917;Christelijke Oratoriumvereniging Zaanstreek COV;40617193
3049255;2019;Amateurkunst en Cultuur;Kinderkoningsdag 2019;Verstrekt;;1.071;Stichting koningsdag wormerveer;70680329
3301185;2019;Amateurkunst en Cultuur;KunstEiland;Verstrekt;;4.080;Kunsteiland in de Voorzaan;34324777
3578128;2019;Amateurkunst en Cultuur;Licht op Kunst;Verstrekt;;3.091;Stichting White Cube;37149056
3304085;2019;Amateurkunst en Cultuur;Mens durf te lezen! De literaire salon van de Zaanstreek;Verstrekt;;1.301;Stichting It Happened One Night Theaterproducties;56014899
2888706;2019;Amateurkunst en Cultuur;Mens durf te lezen! De literaire salon van de Zaanstreek;Verstrekt;;1.250;Stg it Happened One Night Theaterproducties;56014899
3089308;2019;Amateurkunst en Cultuur;Mens durf te lezen! De literaire salon van de Zaanstreek;Verstrekt;;858;Stg It Happened One Night Theaterproducties;56014899
2888763;2019;Amateurkunst en Cultuur;Muziek-Theater voorstelling Zaantheater;Verstrekt;;1.800;ATG Taveno - handelsnaam: Theatergroep Assendelft;40618228
3311414;2019;Amateurkunst en Cultuur;Nacht van de Nacht ;Verstrekt;;2.295;Stichting de Zaanse Schans;35027169
3564605;2019;Amateurkunst en Cultuur;Najaarsconcert 2019 van het Zaans Symfonie Orkest;Verstrekt;;1.892;Zaans Symfonie Orkest;40617376
3087617;2019;Amateurkunst en Cultuur;"PetZaanstad 2019, ""Schaduw in de spotlights""";Verstrekt;;1.408;beeldend kunstenaar, kunstdocent;34344211
3284867;2019;Amateurkunst en Cultuur;PLB- kunstroute ;Verstrekt;;1.224;Stichting Buurttuin  Poelenburg ;73999571
3294486;2019;Amateurkunst en Cultuur;project Landenfestival;Verstrekt;;275;Obs De Lindenboom;34317620
3088498;2019;Amateurkunst en Cultuur;uitvoering Markus Passion van J.S. Bach;Verstrekt;;2.354;"Christelijke Oratoriumvereniging Zaanstreek(COV)";40617193
