cluster;gemcode;jaar;lbm9802;lbm9806;lbm9808;lbm9810;lbm0206;lbm0208;lbm0210;lbm0608;lbm0610;lbm0810
398020001;3;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
398020002;3;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
398020003;3;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
398020004;3;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
398020005;3;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
398020006;3;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
398020007;3;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
398020008;3;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
398020009;3;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
398020010;3;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
398020011;3;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
398020012;3;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
398020013;3;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
398020014;3;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
398020015;3;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
398020016;3;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
598020001;5;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
598020002;5;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
598020003;5;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
598020004;5;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
598020005;5;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
598020006;5;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
598020007;5;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
598020008;5;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
598020009;5;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
598020010;5;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
598020011;5;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
598020012;5;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
598020013;5;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
598020014;5;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
598020015;5;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
598020016;5;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
598020017;5;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
798020001;7;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
798020002;7;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
798020003;7;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
798020004;7;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
798020005;7;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
798020006;7;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
798020007;7;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
798020008;7;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
798020009;7;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
798020010;7;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
798020011;7;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
798020012;7;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
798020013;7;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
798020014;7;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
798020015;7;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
798020016;7;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
798020017;7;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
798020018;7;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
798020019;7;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
798020020;7;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
798020021;7;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
798020022;7;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
798020023;7;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
798020024;7;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
798020025;7;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
798020026;7;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
798020027;7;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
798020028;7;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
798020029;7;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
798020030;7;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
798020031;7;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
798020032;7;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
798020033;7;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
798020034;7;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
798020035;7;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
798020036;7;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
998020001;9;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
998020002;9;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
998020003;9;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
998020004;9;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
998020005;9;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
998020006;9;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
998020007;9;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
998020008;9;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
998020009;9;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
998020010;9;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
998020011;9;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
998020012;9;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
998020013;9;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
998020014;9;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020001;10;2002;beperkte negatieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020002;10;2002;beperkte negatieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020003;10;2002;beperkte negatieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020004;10;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1098020005;10;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1098020006;10;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1098020007;10;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1098020008;10;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1098020009;10;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1098020010;10;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1098020011;10;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1098020012;10;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1098020013;10;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1098020014;10;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1098020015;10;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1098020016;10;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1098020017;10;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1098020018;10;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1098020019;10;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1098020020;10;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1098020021;10;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1098020022;10;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1098020023;10;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1098020024;10;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1098020025;10;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1098020026;10;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1098020027;10;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1098020028;10;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1098020029;10;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020030;10;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020031;10;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020032;10;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020033;10;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020034;10;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020035;10;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020036;10;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020037;10;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020038;10;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020039;10;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020040;10;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020041;10;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020042;10;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020043;10;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020044;10;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020045;10;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020046;10;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020047;10;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020048;10;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020049;10;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020050;10;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020051;10;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020052;10;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020053;10;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020054;10;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020055;10;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020056;10;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020057;10;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020058;10;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020059;10;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020060;10;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020061;10;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020062;10;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020063;10;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020064;10;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020065;10;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020066;10;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020067;10;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020068;10;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020069;10;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020070;10;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020071;10;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1098020072;10;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020001;14;2002;grote negatieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020002;14;2002;beperkte negatieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020003;14;2002;beperkte negatieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020004;14;2002;beperkte negatieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020005;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020006;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020007;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020008;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020009;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020010;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020011;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020012;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020013;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020014;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020015;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020016;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020017;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020018;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020019;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020020;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020021;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020022;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020023;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020024;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020025;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020026;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020027;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020028;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020029;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020030;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020031;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020032;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020033;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020034;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020035;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020036;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020037;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020038;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020039;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020040;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020041;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020042;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020043;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020044;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020045;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020046;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020047;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020048;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020049;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020050;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020051;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020052;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020053;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020054;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020055;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020056;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020057;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020058;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020059;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020060;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020061;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020062;14;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1498020063;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020064;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020065;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020066;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020067;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020068;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020069;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020070;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020071;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020072;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020073;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020074;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020075;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020076;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020077;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020078;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020079;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020080;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020081;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020082;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020083;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020084;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020085;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020086;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020087;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020088;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020089;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020090;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020091;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020092;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020093;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020094;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020095;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020096;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020097;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020098;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020099;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020100;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020101;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020102;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020103;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020104;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020105;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020106;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020107;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020108;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020109;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020110;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020111;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020112;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020113;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020114;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020115;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020116;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020117;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020118;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020119;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020120;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020121;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020122;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020123;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020124;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020125;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020126;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020127;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020128;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020129;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020130;14;2002;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020131;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020132;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020133;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020134;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020135;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020136;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020137;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020138;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020139;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020140;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020141;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020142;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020143;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020144;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020145;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020146;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020147;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020148;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020149;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020150;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020151;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020152;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020153;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020154;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020155;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020156;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020157;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020158;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020159;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020160;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020161;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020162;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020163;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020164;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020165;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020166;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020167;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020168;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020169;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020170;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020171;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020172;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020173;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020174;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020175;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020176;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020177;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020178;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020179;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020180;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020181;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020182;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1498020183;14;2002;grote positieve ontwikkeling; ; ; ; ; ; ; ; ; 
1598020001;15;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1598020002;15;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1598020003;15;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1598020004;15;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1598020005;15;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
1598020006;15;2002;geen ontwikkeling; ; ; ; ; ; ; ; ; 
