KORPS;JAAR;MAAND;LEEFTIJDSCATEGORIE;GEMEENTE;AANTAL
Overige opsporingsinstanties;2019;01;meerderjarig;Heemstede;18
Overige opsporingsinstanties;2019;01;minderjarig;Heemstede;8
Overige opsporingsinstanties;2019;02;meerderjarig;Heemstede;13
Overige opsporingsinstanties;2019;02;meerderjarig;Roosendaal;1
Overige opsporingsinstanties;2019;02;minderjarig;Heemstede;5
Overige opsporingsinstanties;2019;08;meerderjarig;Lingewaard;1
Overige opsporingsinstanties;2019;08;minderjarig;Lingewaard;4
Overige opsporingsinstanties;2019;12;meerderjarig;Heemstede;8
Overige opsporingsinstanties;2019;12;minderjarig;Heemstede;11
PL01;2019;01;meerderjarig;Assen;2
PL01;2019;01;meerderjarig;De Marne;1
PL01;2019;01;meerderjarig;Emmen;2
PL01;2019;01;meerderjarig;Groningen;377
PL01;2019;01;meerderjarig;Het Hogeland;11
PL01;2019;01;meerderjarig;Leek;2
PL01;2019;01;meerderjarig;Leeuwarden;15
PL01;2019;01;meerderjarig;Midden-Drenthe;1
PL01;2019;01;meerderjarig;Midden-Groningen;31
PL01;2019;01;meerderjarig;Oldambt;18
PL01;2019;01;meerderjarig;Pekela;4
PL01;2019;01;meerderjarig;Stadskanaal;7
PL01;2019;01;meerderjarig;Súdwest-Fryslân;1
PL01;2019;01;meerderjarig;Veendam;24
PL01;2019;01;meerderjarig;Westerkwartier;8
PL01;2019;01;meerderjarig;Westerwolde;1
PL01;2019;01;meerderjarig;Zuidhorn;2
PL01;2019;01;minderjarig;De Marne;1
PL01;2019;01;minderjarig;Delfzijl;1
PL01;2019;01;minderjarig;Groningen;14
PL01;2019;01;minderjarig;Het Hogeland;6
PL01;2019;01;minderjarig;Kollumerland Ca;1
PL01;2019;01;minderjarig;Midden-Drenthe;1
PL01;2019;01;minderjarig;Midden-Groningen;13
PL01;2019;01;minderjarig;Oldambt;1
PL01;2019;01;minderjarig;Pekela;2
PL01;2019;01;minderjarig;Stadskanaal;4
PL01;2019;01;minderjarig;Tynaarlo;1
PL01;2019;01;minderjarig;Veendam;5
PL01;2019;01;minderjarig;Westerkwartier;16
PL01;2019;01;minderjarig;Winsum;1
PL01;2019;02;meerderjarig;Assen;1
PL01;2019;02;meerderjarig;Delfzijl;2
PL01;2019;02;meerderjarig;Groningen;540
PL01;2019;02;meerderjarig;Heerenveen;17
PL01;2019;02;meerderjarig;Het Hogeland;8
PL01;2019;02;meerderjarig;Leeuwarden;22
PL01;2019;02;meerderjarig;Midden-Groningen;32
PL01;2019;02;meerderjarig;Noardeast-Fryslân;1
PL01;2019;02;meerderjarig;Oldambt;10
PL01;2019;02;meerderjarig;Pekela;1
PL01;2019;02;meerderjarig;Stadskanaal;6
PL01;2019;02;meerderjarig;Veendam;21
PL01;2019;02;meerderjarig;Westerkwartier;16
PL01;2019;02;meerderjarig;Weststellingwerf;3
PL01;2019;02;minderjarig;Appingedam;1
PL01;2019;02;minderjarig;Delfzijl;2
PL01;2019;02;minderjarig;Groningen;29
PL01;2019;02;minderjarig;Heerenveen;5
PL01;2019;02;minderjarig;Het Hogeland;1
PL01;2019;02;minderjarig;Midden-Groningen;5
PL01;2019;02;minderjarig;Noardeast-Fryslân;1
PL01;2019;02;minderjarig;Oldambt;3
PL01;2019;02;minderjarig;Stadskanaal;1
PL01;2019;02;minderjarig;Veendam;3
PL01;2019;02;minderjarig;Westerkwartier;2
PL01;2019;02;minderjarig;Weststellingwerf;1
PL01;2019;03;meerderjarig;Appingedam;3
PL01;2019;03;meerderjarig;Assen;7
PL01;2019;03;meerderjarig;De Fryske Marren;1
PL01;2019;03;meerderjarig;Delfzijl;1
PL01;2019;03;meerderjarig;Groningen;177
PL01;2019;03;meerderjarig;Harlingen;1
PL01;2019;03;meerderjarig;Het Hogeland;4
