;Gemeente:;;;;Zwijndrecht
3;PVV (Partij voor de Vrijheid);43;Roks, L.A.G. (Louis) (m);;0
3;PVV (Partij voor de Vrijheid);44;Thiadens, F.M. (Folkert) (m);;5
3;PVV (Partij voor de Vrijheid);45;van Hees, E.P.G. (Elias) (m);;1
3;PVV (Partij voor de Vrijheid);46;Kooman, C.V.A. (Caroline) (v);;0
3;PVV (Partij voor de Vrijheid);47;van der Sluijs, D.J. (Dannij) (m);;0
3;PVV (Partij voor de Vrijheid);48;van Hattem, A.W.J.A. (Alexander) (m);;0
3;PVV (Partij voor de Vrijheid);49;Stuger, O.F. (Olaf) (m);;0
3;PVV (Partij voor de Vrijheid);50;van Strien, G.A. (Gom) (m);;0
;;TOTAAL 3 PVV (Partij voor de Vrijheid);;;4630
4;SP (Socialistische Partij);;;;
4;SP (Socialistische Partij);1;Roemer, E.G.M. (Emile) (m);;1786
4;SP (Socialistische Partij);2;Leijten, R.M. (Renske) (v);;160
4;SP (Socialistische Partij);3;Marijnissen, L.M.C. (Lillian) (v);;301
4;SP (Socialistische Partij);4;van Raak, A.A.G.M. (Ronald) (m);;7
4;SP (Socialistische Partij);5;Karabulut, S. (Sadet) (v);;20
4;SP (Socialistische Partij);6;Beckerman, S.M. (Sandra) (v);;13
4;SP (Socialistische Partij);7;van Nispen, M. (Michiel) (m);;1
4;SP (Socialistische Partij);8;Kwint, J.P. (Peter) (m);;1
4;SP (Socialistische Partij);9;van Kent, B. (Bart) (m);;4
4;SP (Socialistische Partij);10;Laáin, C. (Cem) (m);;12
4;SP (Socialistische Partij);11;Futselaar, F.W. (Frank) (m);;1
4;SP (Socialistische Partij);12;Kooiman, C.J.E. (Nine) (v);;7
4;SP (Socialistische Partij);13;Hijink, H.P.M. (Maarten) (m);;2
4;SP (Socialistische Partij);14;van Dijk, J.J. (Jasper) (m);;2
4;SP (Socialistische Partij);15;Smaling, E.M.A. (Eric) (m);;1
4;SP (Socialistische Partij);16;Alkaya, M.ô. (Mahir) (m);;3
4;SP (Socialistische Partij);17;van Gerven, H.P.J. (Henk) (m);;1
4;SP (Socialistische Partij);18;Olders, D.W.J. (Diederik) (m);;8
4;SP (Socialistische Partij);19;Heerschop, A.H.J. (Ton) (m);;1
4;SP (Socialistische Partij);20;Meijer, A.M. (Ad) (m);;2
4;SP (Socialistische Partij);21;Maes, S.A.A. (Bas) (m);;1
4;SP (Socialistische Partij);22;Meyer, R.P.E. (Ron) (m);;1
4;SP (Socialistische Partij);23;van Dijk-van Leeuwen, S.Y. (Sun Yoon) (v);;10
4;SP (Socialistische Partij);24;de Wit, D.H. (Daniâl) (m);;1
4;SP (Socialistische Partij);25;Peterse, B. (Bert) (m);;0
4;SP (Socialistische Partij);26;Hoekstra, A.J. (Arnout) (m);;0
4;SP (Socialistische Partij);27;Boerwinkel, E.M.J. (Hans) (m);;1
4;SP (Socialistische Partij);28;Hamerslag, P.H. (Patty) (v);;4
4;SP (Socialistische Partij);29;Buskoop, B. (Bram) (m);;0
4;SP (Socialistische Partij);30;Temmink, N.G.J. (Nicole) (v);;1
4;SP (Socialistische Partij);31;de Ridder, N. (Nina) (v);;0
4;SP (Socialistische Partij);32;van Sluijs, D. (Denise) (v);;1
4;SP (Socialistische Partij);33;Akhiat, A. (Aãsha) (v);;2
4;SP (Socialistische Partij);34;van Gemert, N.M. (Nicole) (v);;1
4;SP (Socialistische Partij);35;Dijk, J.P. (Jimmy) (m);;0
4;SP (Socialistische Partij);36;de Vos, A. (Anita) (v);;2
4;SP (Socialistische Partij);37;Bekkering, I.H. (Ineke) (v);;0
4;SP (Socialistische Partij);38;Staarink, I. (Inez) (v);;0
4;SP (Socialistische Partij);39;MÅller, G.J.N. (Nils) (m);;0
4;SP (Socialistische Partij);40;Feenstra, F. (Fenna) (v);;1
4;SP (Socialistische Partij);41;Olierook, M.W. (Marcel) (m);;0
4;SP (Socialistische Partij);42;ten Heuw, M.A. (Mariska) (v);;1
4;SP (Socialistische Partij);43;Helmer-Englebert, R.D. (Renske) (v);;1
4;SP (Socialistische Partij);44;Vliegenthart, A. (Arjan) (m);;0
4;SP (Socialistische Partij);45;van Rossum, L. (Lieke) (v);;1
4;SP (Socialistische Partij);46;van Velzen, K. (Krista) (v);;1
4;SP (Socialistische Partij);47;Baas, J. (Jan) (m);;0
4;SP (Socialistische Partij);48;van Aelst, R. (Lies) (v);;7
4;SP (Socialistische Partij);49;van Gelderen, R.A. (Roos) (v);;1
4;SP (Socialistische Partij);50;Poppe, R.J.L. (Remi) (m);;4
;;TOTAAL 4 SP (Socialistische Partij);;;2375
5;CDA;;;;
5;CDA;1;van Haersma Buma, S. (Sybrand) (m);;2533
5;CDA;2;Keijzer, M.C.G. (Mona) (v);;544
5;CDA;3;Peters, W.P.H.J. (RenÇ) (m);;1
5;CDA;4;Omtzigt, P.H. (Pieter) (m);;135
5;CDA;5;van Toorenburg, M.M. (Madeleine) (v);;57
5;CDA;6;Knops, R.W. (Raymond) (m);;2
5;CDA;7;Heerma, P.E. (Pieter) (m);;1
5;CDA;8;van der Molen, H. (Harry) (m);;2
5;CDA;9;Bruins Slot, H.G.J. (Hanke) (v);;20
5;CDA;10;Geurts, J.L. (Jaco) (m);;2
5;CDA;11;Kuik, A. (Anne) (v);;13
5;CDA;12;van Dam, C.J.L. (Chris) (m);;1
5;CDA;13;Mulder, A.H. (Agnes) (v);;9
5;CDA;14;Rog, M.R.J. (Michel) (m);;4
5;CDA;15;Amhaouch, M. (Mustafa) (m);;1
5;CDA;16;van Helvert, M.J.F. (Martijn) (m);;3
5;CDA;17;Ronnes, H.A.G. (Erik) (m);;1
5;CDA;18;van den Berg-Jansen, J.A.M.J. (Joba) (v);;1
5;CDA;19;Slootweg, E.J. (Evert Jan) (m);;0
5;CDA;20;Geluk-Poortvliet, L.W.D. (Lenny) (v);;9
5;CDA;21;Palland, H.M. (Hilde) (v);;5
5;CDA;22;de Pater-Postma, W.L. (Wytske) (v);;5
5;CDA;23;Terpstra, J.H. (Julius) (m);;2
5;CDA;24;Steenbakkers, S.P.M.F. (Stijn) (m);;0
5;CDA;25;van den Anker, G.P. (Gerard) (m);;1
5;CDA;26;Heijnen, V.L.W.A. (Vivianne) (v);;3
5;CDA;27;den Bak, S.W. (Sebastiaan) (m);;0
5;CDA;28;Schotman, C.J. (Chris) (v);;1
5;CDA;29;Erkel, P. (Arjan) (m);;18
5;CDA;30;Zwinkels, C.C.M. (Karin) (v);;3
5;CDA;31;Hanemaaijer, E. (Esther) (v);;1
5;CDA;32;Hutten, G.J. (Jan) (m);;0
5;CDA;33;Kip, M. (Marischa) (v);;4
5;CDA;34;van Mierlo, E.J.F.M. (Eugäne) (m);;2
5;CDA;35;de Korte-Verhoef, M.C. (Ria) (v);;0
5;CDA;36;Bergkamp, B. (Bob) (m);;0
5;CDA;37;de Haan, J. (Jan-Jaap) (m);;1
5;CDA;38;van Opstal, J.M.M. (Jochgem) (m);;0
5;CDA;39;Gardeniers, B.H.M. (Barbara) (v);;1
5;CDA;40;Bal, M. (Mustafa) (m);;7
5;CDA;41;Vrugt, R. (RenÇ) (m);;1
5;CDA;42;van Dekken, B. (Bart) (m);;0
5;CDA;43;Vloet, W.J.M.M. (Wiljan) (m);;0
5;CDA;44;von Martels, M.R.H.M. (Maurits) (m);;2
5;CDA;45;van der Broek, J.M.A.R. (Roy) (m);;2
5;CDA;46;Bakker, G.J. (Gert-Jan) (m);;0
5;CDA;47;Besteman, J.N. (Johanna) (v);;0
5;CDA;48;Boogaard, P. (Paul) (m);;0
5;CDA;49;Meerkerk, C.F. (Frank) (m);;2
5;CDA;50;van Leeuwen, J. (Hannie) (v);;18
;;TOTAAL 5 CDA;;;3418
6;Democraten 66 (D66);;;;
6;Democraten 66 (D66);1;Pechtold, A. (Alexander) (m);;1666
6;Democraten 66 (D66);2;van Veldhoven, S. (Stientje) (v);;147
6;Democraten 66 (D66);3;Koolmees, W. (Wouter) (m);;29
6;Democraten 66 (D66);4;Dijkstra, P.A. (Pia) (v);;194
6;Democraten 66 (D66);5;van Engelshoven, I.K. (Ingrid) (v);;20
6;Democraten 66 (D66);6;Bergkamp, V.A. (Vera) (v);;28
6;Democraten 66 (D66);7;Verhoeven, K. (Kees) (m);;9
6;Democraten 66 (D66);8;van Meenen, P.H. (Paul) (m);;0
6;Democraten 66 (D66);9;Paternotte, J.M. (Jan) (m);;0
6;Democraten 66 (D66);10;Van Weyenberg, S.P.R.A. (Steven) (m);;1
6;Democraten 66 (D66);11;Sjoerdsma, S.W. (Sjoerd) (m);;5
6;Democraten 66 (D66);12;Jetten, R.A.A. (Rob) (m);;1
6;Democraten 66 (D66);13;Van Eijs, J.M. (Jessica) (v);;8
6;Democraten 66 (D66);14;Belhaj, S. (Salima) (v);;33
6;Democraten 66 (D66);15;Groothuizen, M. (Maarten) (m);;0
6;Democraten 66 (D66);16;Bouali, A. (Achraf) (m);;2
6;Democraten 66 (D66);17;Raemakers, R. (Rens) (m);;1
6;Democraten 66 (D66);18;Diertens, A.E. (Antje) (v);;13
6;Democraten 66 (D66);19;de Groot, T.C. (Tjeerd) (m);;1
6;Democraten 66 (D66);20;den Boer, M.G.W. (Monica) (v);;27
6;Democraten 66 (D66);21;Sienot, M.F. (Matthijs) (m);;1
6;Democraten 66 (D66);22;Sneller, J.C. (Joost) (m);;0
6;Democraten 66 (D66);23;Schonis, R.A.J. (Rutger) (m);;1
6;Democraten 66 (D66);24;van Beukering-Huijbregts, M.J.T.G. (Marijke) (v);;5
6;Democraten 66 (D66);25;Meijer, A.A. (Arend) (m);;0
6;Democraten 66 (D66);26;Eurlings-Tonnaer, F.M.C.L. (Franca) (v);;0
6;Democraten 66 (D66);27;Ramlal, M.R. (Munish) (m);;8
6;Democraten 66 (D66);28;van Bemmel, M.E. (Martine) (v);;3
6;Democraten 66 (D66);29;Lamers, C.B.M. (Kristie) (v);;1
6;Democraten 66 (D66);30;van Essen, J. (Jaimi) (m);;0
6;Democraten 66 (D66);31;Verbrugge-Wormgoor, D.C. (Dina) (v);;2
6;Democraten 66 (D66);32;van der Laan, J.M.P. (Jeanet) (v);;0
6;Democraten 66 (D66);33;Zarroy, N. (Noureddine) (m);;1
6;Democraten 66 (D66);34;Winkel, B.T. (Bastiaan) (m);;1
6;Democraten 66 (D66);35;Bamenga, P. (Mpanzu) (m);;1
6;Democraten 66 (D66);36;Sanders, N.P.C. (Noâlle) (v);;0
6;Democraten 66 (D66);37;Guernaoui, R. (Rachid) (m);;0
6;Democraten 66 (D66);38;Kat, H. (HÅlya) (v);;1
6;Democraten 66 (D66);39;Keij, E.J. (Eelco) (m);;1
6;Democraten 66 (D66);40;Bosman, A.M. (Marijn) (v);;0
6;Democraten 66 (D66);41;Schukking, S.S. (Sietze) (m);;0
6;Democraten 66 (D66);42;Schepel, W.D. (Wibo) (m);;1
6;Democraten 66 (D66);43;Glastra van Loon, J.H. (Jan) (m);;0
6;Democraten 66 (D66);44;van Vugt, T. (Thierry) (m);;0
6;Democraten 66 (D66);45;van Dun, C.M. (Corine) (v);;2
6;Democraten 66 (D66);46;Wirken, S.T. (Stefan) (m);;0
6;Democraten 66 (D66);47;de Smoker-van Andel, N. (Nelleke) (v);;25
6;Democraten 66 (D66);48;Hoogeveen, T.C. (Carmen) (v);;1
6;Democraten 66 (D66);49;Terlouw, G. (Bert) (m);;2
6;Democraten 66 (D66);50;Ross, H.J. (Dick) (m);;2
;;TOTAAL 6 Democraten 66 (D66);;;2244
7;ChristenUnie;;;;
7;ChristenUnie;1;Segers, G.M. (Gert-Jan) (m);;1270
7;ChristenUnie;2;Schouten, C.J. (Carola) (v);;163
7;ChristenUnie;3;Voordewind, J.S. (Joâl) (m);;31
7;ChristenUnie;4;Dik-Faber, R.K. (Carla) (v);;14
7;ChristenUnie;5;Bruins, E.E.W. (Eppo) (m);;2
7;ChristenUnie;6;van der Graaf, S.J.F. (Stieneke) (v);;16
7;ChristenUnie;7;Ceder, D.G.M. (Don) (m);;20
