FID,naam,se_anno_cad_data,gdb_geomattr_data,shape
1e_druk_serie3_index.23,20 hasselt_1844,,,"POLYGON ((200804.17700000107 505571.2749999985, 200804.17700000107 512605.8669999987, 206923.20899999887 512605.8669999987, 206923.20899999887 505571.2749999985, 200804.17700000107 505571.2749999985))"
1e_druk_serie3_index.24,s2 dalfsen_1843,,,"POLYGON ((207762.7509999983 500515.9990000017, 207762.7509999983 505552.55999999866, 215816.05200000107 505552.55999999866, 215816.05200000107 500515.9990000017, 207762.7509999983 500515.9990000017))"
1e_druk_serie3_index.25,01 westervoort_1844,,,"POLYGON ((192055.08100000024 438472.9200000018, 192055.08100000024 443615.6000000015, 200068.09299999848 443615.6000000015, 200068.09299999848 438472.9200000018, 192055.08100000024 438472.9200000018))"
1e_druk_serie3_index.26,02 rhede_1840-1843,,,"POLYGON ((195417.1090000011 443501.1090000011, 195417.1090000011 448579.7329999991, 203407.96799999848 448579.7329999991, 203407.96799999848 443501.1090000011, 195417.1090000011 443501.1090000011))"
1e_druk_serie3_index.27,03 doesburg_1840-1843,,,"POLYGON ((203324.63800000027 443568.061999999, 203324.63800000027 448604.44099999964, 211444.05999999866 448604.44099999964, 211444.05999999866 443568.061999999, 203324.63800000027 443568.061999999))"
1e_druk_serie3_index.28,04 steenderen_1840-1843,,,"POLYGON ((203410.51300000027 448499.0700000003, 203410.51300000027 453625.9510000013, 211496.7190000005 453625.9510000013, 211496.7190000005 448499.0700000003, 203410.51300000027 448499.0700000003))"
1e_druk_serie3_index.29,04a supplement_04 steenderen,,,"POLYGON ((201434.1009999998 448516.02800000086, 201434.1009999998 450645.368999999, 203456.86100000143 450645.368999999, 203456.86100000143 448516.02800000086, 201434.1009999998 448516.02800000086))"
1e_druk_serie3_index.30,05 brummen_1841-1843,,,"POLYGON ((205973.4609999992 453540.26999999955, 205973.4609999992 458610.1469999999, 214028.3500000015 458610.1469999999, 214028.3500000015 453540.26999999955, 205973.4609999992 453540.26999999955))"
1e_druk_serie3_index.31,06 zutphen_1841-1843,,,"POLYGON ((208035.93400000036 458579.30999999866, 208035.93400000036 465556.41699999943, 213993.67399999872 465556.41699999943, 213993.67399999872 458579.30999999866, 208035.93400000036 458579.30999999866))"
1e_druk_serie3_index.32,07 gorssel_1841-1843,,,"POLYGON ((206041.80999999866 465581.81799999997, 206041.80999999866 472568.8520000018, 212082.67300000042 472568.8520000018, 212082.67300000042 465581.81799999997, 206041.80999999866 465581.81799999997))"
1e_druk_serie3_index.33,07a supplement_gorssel,,,"POLYGON ((201996.92700000107 465497.0249999985, 201996.92700000107 467535.4750000015, 206057.4200000018 467535.4750000015, 206057.4200000018 465497.0249999985, 201996.92700000107 465497.0249999985))"
1e_druk_serie3_index.34,08 deventer_1841-1843,,,"POLYGON ((203127.3040000014 472495.71599999815, 203127.3040000014 477636.56599999964, 211778.2410000004 477636.56599999964, 211778.2410000004 472495.71599999815, 203127.3040000014 472495.71599999815))"
1e_druk_serie3_index.35,09 olst_1842-1843,,,"POLYGON ((201144.85500000045 477579.91600000113, 201144.85500000045 485583.24500000104, 206190.71499999985 485583.24500000104, 206190.71499999985 477579.91600000113, 201144.85500000045 477579.91600000113))"
1e_druk_serie3_index.36,10 wijhe_1842-1843,,,"POLYGON ((201220.86400000006 485587.9210000001, 201220.86400000006 492628.3440000005, 207185.55900000036 492628.3440000005, 207185.55900000036 485587.9210000001, 201220.86400000006 485587.9210000001))"
1e_druk_serie3_index.37,11 hattem_1842-1843,,,"POLYGON ((200719.9050000012 492614.1719999984, 200719.9050000012 499654.63500000164, 206769.03500000015 499654.63500000164, 206769.03500000015 492614.1719999984, 200719.9050000012 492614.1719999984))"
1e_druk_serie3_index.38,12 zwolle_1844,,,"POLYGON ((200783.62200000137 499609.00400000066, 200783.62200000137 505595.4629999995, 207747.6889999993 505595.4629999995, 207747.6889999993 499609.00400000066, 200783.62200000137 499609.00400000066))"
1e_druk_serie3_index.39,13 zalk_1843,,,"POLYGON ((194833.6950000003 498631.27600000054, 194833.6950000003 505679.77600000054, 200765.86199999973 505679.77600000054, 200765.86199999973 498631.27600000054, 194833.6950000003 498631.27600000054))"
1e_druk_serie3_index.40,14 oosterwolde_1845-1846,,,"POLYGON ((188762.77699999884 499385.25400000066, 188762.77699999884 506420.48699999973, 194814.32600000128 506420.48699999973, 194814.32600000128 499385.25400000066, 188762.77699999884 499385.25400000066))"
1e_druk_serie3_index.41,15 kampen_1845-1846,,,"POLYGON ((186796.50400000066 506366.1409999989, 186796.50400000066 511427.6649999991, 194859.02199999988 511427.6649999991, 194859.02199999988 506366.1409999989, 186796.50400000066 506366.1409999989))"
1e_druk_serie3_index.42,15a supplement_kampen,,,"POLYGON ((182052.63699999824 509076.9789999984, 182052.63699999824 513765.61499999836, 186867.563000001 513765.61499999836, 186867.563000001 509076.9789999984, 182052.63699999824 509076.9789999984))"
1e_druk_serie3_index.43,16 lutterzijl_1846,,,"POLYGON ((186868.94200000167 511374.80099999905, 186868.94200000167 516434.33399999887, 194870.9539999999 516434.33399999887, 194870.9539999999 511374.80099999905, 186868.94200000167 511374.80099999905))"
1e_druk_serie3_index.44,17 mastenbroek,,,"POLYGON ((194822.50699999928 505613.77800000086, 194822.50699999928 512642.33199999854, 200865.76799999923 512642.33199999854, 200865.76799999923 505613.77800000086, 194822.50699999928 505613.77800000086))"
1e_druk_serie3_index.45,18 genemuiden_1844,,,"POLYGON ((194887.93299999833 512644.743999999, 194887.93299999833 519639.37099999934, 199925.4219999984 519639.37099999934, 199925.4219999984 512644.743999999, 194887.93299999833 512644.743999999))"
1e_druk_serie3_index.46,19 zwartsluis_1844,,,"POLYGON ((199905.79100000113 512640.4620000012, 199905.79100000113 519569.311999999, 204890.13699999824 519569.311999999, 204890.13699999824 512640.4620000012, 199905.79100000113 512640.4620000012))"
1e_druk_serie3_index.47,20 hasselt_1844,,,"POLYGON ((200804.17700000107 505571.2749999985, 200804.17700000107 512605.8669999987, 206923.20899999887 512605.8669999987, 206923.20899999887 505571.2749999985, 200804.17700000107 505571.2749999985))"
1e_druk_serie3_index.48,s2 dalfsen_1843,,,"POLYGON ((207762.7509999983 500515.9990000017, 207762.7509999983 505552.55999999866, 215816.05200000107 505552.55999999866, 215816.05200000107 500515.9990000017, 207762.7509999983 500515.9990000017))"
