VERSIE,ID,NAAM,AFKORTING,TYPE,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KMLINT,KMLINT_OMSCHRIJVING,KM_GEOCODE,KM_GEOCODE_T,OFFSET,OFFSET_T,ROTATIE,X,Y,LATITUDE,LONGITUDE
001,1,Amsterdam Holendrecht,Ashd,Station,080,,80,080__,Amsterdam Bijlmer - Nieuwersluis=Loenen,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,7.999848,"7,999848",-0.333066,"-0,333066",0,126060,478628,52.2948733616408,4.96298565430436
001,2,Almere Centrum,Alm,Station,135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,Wp-Llso,Weesp - Lelystad Opstel. ,15.13881,"15,138810",-0.12494,"-0,124940",0,143487,487482,52.3750898535883,5.21813579661102
001,3,Schiphol Airport,Shl,Station,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,14.250321,"14,250321",0.32995,"0,329950",0,112329,480299,52.3089977857636,4.76150739872381
001,4,Amsterdam Amstel,Asa,Halte,096,a,96,096_a,Amsterdam Muiderpoort - Duivendrecht,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,1.469864,"1,469864",-0.053306,"-0,053306",0,123002,484376,52.346363716421,4.91761545012791
001,5,Amsterdam Dijksgracht Oostzijde,Dgro,Overloop,588,,588,588__,Amsterdam Dijksgracht,Asd-Zp,Amsterdam Centraal - Zutphen ,2.554872,"2,554872",-0.298161,"-0,298161",0,124081,487087,52.3707902100744,4.9332007012718
001,6,Singelgrachtbrug,Sgbr,Brug,525,b,525,525_b,Amsterdam Singelgracht Aansl.,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,79.37476,"79,374760",0.233814,"0,233814",0,120682,488796,52.3859475707042,4.88311820342061
001,7,De Diem overloopw.,Ddm,Overloop,585,,585,585__,Diemen Aansl.,Asd-Zp,Amsterdam Centraal - Zutphen ,8.368075,"8,368075",-0.322812,"-0,322812",0,127757,483290,52.3368596317203,4.98748387499005
001,8,Diemen,Dmn,Station,587,a,587,587_a,Diemen,Asd-Zp,Amsterdam Centraal - Zutphen ,6.714948,"6,714948",-0.014218,"-0,014218",0,126408,484224,52.3451853808515,4.96761197930069
001,9,Utrecht Zuilen,Utzl,Station,531,c,531,531_c,Utrecht Centraal,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,32.980232,"32,980232",-0.383952,"-0,383952",0,134591,457266,52.1032592960383,5.0893210333004
001,10,Muiderberg aansl.,Mbga,Aansluiting,541,a,541,541_a,Weesp Aansl.,Wp-Llso,Weesp - Lelystad Opstel. ,2.299576,"2,299576",-0.137226,"-0,137226",0,133819,480377,52.3109458862653,5.07660963224422
001,11,Amsterdam Zuid overloopwissels,Asdzo,Overloop,144,a,144,144_a,Duivendrecht - Amsterdam Riekerpolder,Gpda-Asra,Gaasperdammerweg Aansl. - Amsterdam Riekerpolder Aansl. ,155.899586,"155,899586",0.383346,"0,383346",0,119312,483526,52.3384972651512,4.86355478023413
001,12,Hoofddorp opstel.,Hfdo,Goederen Emplacement,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,20.499994,"20,499994",0.607404,"0,607404",0,106876,477612,52.2843993324839,4.68193727855625
001,13,Maarssen,Mas,Station,098,,98,098__,Breukelen - Utrecht Centraal,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,27.784988,"27,784988",0.102903,"0,102903",0,130829,460846,52.1352842894676,5.03415910856216
001,14,Amsterdam RAI,Rai,Station,144,a,144,144_a,Duivendrecht - Amsterdam Riekerpolder,Gpda-Asra,Gaasperdammerweg Aansl. - Amsterdam Riekerpolder Aansl. ,153.974549,"153,974549",-0.111975,"-0,111975",0,121160,483320,52.3367627452546,4.89069015298554
001,15,Breukelen,Bkl,Station,529,,529,529__,Breukelen,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,22.600323,"22,600323",0.078648,"0,078648",0,127871,464858,52.1712059642555,4.99063501531073
001,16,Radarweg aansl.,Rdwa,Aansluiting,523,b,523,523_b,Amsterdam Sloterdijk,Zd-Sgra,Zaandam - Amsterdam Singelgracht Aansl. ,177.53845,"177,538450",0.265238,"0,265238",0,116511,489204,52.3893377255712,4.82180765888129
001,17,Amsterdam Zaanstraat,Zst,Goederen Emplacement,525,b,525,525_b,Amsterdam Singelgracht Aansl.,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,78.306815,"78,306815",-0.148086,"-0,148086",0,119736,489315,52.3905519882256,4.86916875028419
001,18,Stroe,Sto,Goederen Emplacement,021,,21,021__,Barneveld Noord - Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,67.999944,"67,999944",-0.443632,"-0,443632",0,175790,466685,52.1879007258109,5.69122277843329
001,19,Hilversum Sportpark,Hvsp,Halte,095,,95,095__,Hilversum - Blauwkapel,Hvs-Utm,Hilversum - Utrecht Maliebaan ,1.17745,"1,177450",0.266335,"0,266335",0,141340,469852,52.2165883473214,5.18732057501067
001,20,Amersfoort Bokkeduinen,Bkd,Goederen Emplacement,940,,940,940__,Amersfoort Bokkeduinen,Bkd-Amf,Amersfoort Bokkeduinen - Amersfoort ,43.299878,"43,299878",-0.625564,"-0,625564",0,152741,463073,52.1558238497211,5.35419320803784
001,21,Barneveld Noord,Bnn,Station,612,a,612,612_a,Barneveld Noord,Bnn-Ed,Barneveld Noord - Ede=Wageningen ,12.188561,"12,188561",0.298362,"0,298362",0,169487,463633,52.160671380143,5.59892227720978
001,22,Baarn,Brn,Station,509,a,509,509_a,Baarn,Asd-Zp,Amsterdam Centraal - Zutphen ,35.675181,"35,675181",-0.349628,"-0,349628",0,147788,468892,52.2080819289246,5.28169263271103
001,23,Bussum Zuid,Bsmz,Station,087,,87,087__,Weesp Aansl. - Hilversum,Asd-Zp,Amsterdam Centraal - Zutphen ,23.775573,"23,775573",0.374622,"0,374622",0,139684,475350,52.265959439483,5.16284019363125
001,24,Crailoo Aansl Oost,Crao,Aansluiting,087,,87,087__,Weesp Aansl. - Hilversum,Asd-Zp,Amsterdam Centraal - Zutphen ,25.799455,"25,799455",0.289165,"0,289165",0,140146,473378,52.2482483184789,5.16969456818913
001,25,Putten,Pt,Station,017,,17,017__,Amersfoort Aansl. - Hattemerbroek,Ama-Htba,Amersfoort Aansluiting - Hattemerbroek Aansluiting ,39.833986,"39,833986",0.258559,"0,258559",0,167862,475275,52.2653475714872,5.57561639842973
001,26,Soest,St,Station,091,,91,091__,Den Dolder - Baarn,Dld-Brn,Den Dolder - Baarn ,6.195217,"6,195217",0.251533,"0,251533",0,149724,465031,52.1734016563,5.3100760840539
001,27,Opheusden,Op,Halte,042,,42,042__,Vork - Kesteren,Est-Gdm,Elst - Geldermalsen ,17.019779,"17,019779",0.43239,"0,432390",0,172211,437536,51.9260328810573,5.63741642863327
001,28,Winterswijk,Ww,Station,607,b,607,607_b,Winterswijk,Zp-Ww,Zutphen - Winterswijk ,43.561836,"43,561836",-0.51934,"-0,519340",0,246256,442993,51.9678493430081,6.71516962096333
001,29,Elst aansl.,Esta,Overloop,510,b,510,510_b,Elst,Ah-Vl,Arnhem - Venlo ,9.739917,"9,739917",-0.329433,"-0,329433",0,187246,435629,51.9082238960782,5.85581128200953
001,30,Zutphen,Zp,Station,609,,609,609__,Zutphen,Ah-Zl,Arnhem - Zwolle ,27.545017,"27,545017",-0.357522,"-0,357522",0,210229,462155,52.1448163998398,6.1940660472308
001,31,Apeldoorn De Maten,Apdm,Halte,208,,208,208__,Apeldoorn - Zutphen,Asd-Zp,Amsterdam Centraal - Zutphen ,90.300075,"90,300075",-0.075344,"-0,075344",0,196909,468751,52.205268792876,6.00029576273456
001,32,"Oude IJssel, brug o/d - bij Doetinchem",Oij,Brug,212,,212,212__,Winterswijk - Zevenaar,Ww-Zv,Winterswijk-Zevenaar ,34.187771,"34,187771",-0.144078,"-0,144078",0,216869,441519,51.9586534738536,6.28732358887279
001,33,Arnhem West aansl.,Ahwa,Overloop,508,,508,508__,Arnhem,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,90.249894,"90,249894",0.479644,"0,479644",0,188663,444392,51.9869013418776,5.87726205176811
001,34,Velp,Vp,Halte,034,,34,034__,Velperbroek Aansl. - Dieren,Ah-Zl,Arnhem - Zwolle ,4.199635,"4,199635",0.208867,"0,208867",0,195775,445344,51.9949807386971,5.98090556929351
001,35,Oss,O,Station,047,,47,047__,s Hertogenbosch - Nijmegen,Ht-Nm,s-Hertogenbosch - Nijmegen ,41.239985,"41,239985",-0.44696,"-0,446960",0,164935,419625,51.7652209621898,5.53112226295238
001,36,Terborg,Tbg,Station,212,,212,212__,Winterswijk - Zevenaar,Ww-Zv,Winterswijk-Zevenaar ,27.330166,"27,330166",-0.481222,"-0,481222",0,222209,437581,51.922641626893,6.36423343482239
001,37,Lichtenvoorde-Groenlo,Ltv,Station,210,,210,210__,Zutphen - Winterswijk,Zp-Ww,Zutphen - Winterswijk ,33.999369,"33,999369",-0.451243,"-0,451243",0,238003,447760,52.0119829080454,6.59625262363597
001,38,Delden racc. Servo,Ddnser,Overloop,031,a,31,031_a,Zutphen - Hengelo,Zp-Esg,Zutphen - Enschede Grens ,37.399639,"37,399639",0.23059,"0,230590",0,243567,474531,52.2516892891354,6.68425061026598
001,39,Westervoort,Wtv,Halte,038,,38,038__,Velperbroek Aansl. - Zevenaar,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,97.499677,"97,499677",-0.310577,"-0,310577",0,195003,441778,51.9629864418664,5.96924931789094
001,40,Nijmegen,Nm,Station,514,a,514,514_a,Nijmegen,Ah-Vl,Arnhem - Venlo ,17.014544,"17,014544",-0.00782,"-0,007820",0,187074,428419,51.8434299216847,5.85264070661656
001,41,Wijchen,Wc,Station,047,,47,047__,s Hertogenbosch - Nijmegen,Ht-Nm,s-Hertogenbosch - Nijmegen ,56.320428,"56,320428",-0.287452,"-0,287452",0,178643,424809,51.8114039422375,5.73005053095463
001,42,Zevenaar,Zv,Station,611,b,611,611_b,Zevenaar,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,105.938218,"105,938218",-0.076554,"-0,076554",0,202176,437380,51.9228955705671,6.07300626440731
001,43,IJsselbrug Zutphen aansl.,IJbza,Aansluiting,609,,609,609__,Zutphen,Ah-Zl,Arnhem - Zwolle ,26.499668,"26,499668",-0.244498,"-0,244498",0,209256,461772,52.1414706908239,6.17979128599925
001,44,Vise (B),Fvs,Grensstation,784,,784,784__,Visé (B) - Eijsden Grens,Fvs-Mt,Visé (B) - Maastricht ,15.87458,"15,874580",0.286947,"0,286947",0,176544,305535,50.7393850985574,5.69237791157174
001,45,Roosendaal grens,Rsdg,Grens Dienstregelpun,788,,788,788__,Roosendaal Grens - Essen (B),Esn-Np,Essen (B) - Nispen ,75.233402,"75,233402",0.260423,"0,260423",0,89805,387094,51.4691326528667,4.4489055410814
001,46,Budel grens,Bdlg,Grens Dienstregelpun,058,,58,058__,Budel Grens - Weert,Bdl-Rm,Budel - Roermond ,53.985195,"53,985195",0.094311,"0,094311",0,166737,362004,51.2472544915591,5.55529902147759
001,47,Bad Bentheim (D),Bh,Grensstation,777,,777,777__,Oldenzaal Grens - Bad Bentheim (D),Bh-Odzg,Bad Bentheim (D) - Oldenzaal Grens ,13.652069,"13,652069",15.411529,"15,411529",0,275775,481705,52.3100229372852,7.15831012472469
001,48,Enschede Grens,Esg,Grens Dienstregelpun,778,,778,778__,Gronau (D) - Enschede Grens,G-Esg,Gronau (D) - Enschede Grens ,58.95809,"58,958090",0.468566,"0,468566",0,263848,471187,52.2180096030367,6.98008654708297
001,49,Bunde (D),Bunde,Halte,775,,775,775__,Nieuweschans Grens - Weener (D),Nscg-Wr,Nieuweschans Grens - Weener (D) ,13.462955,"13,462955",39.636961,"39,636961",0,280654,578927,53.1822636658049,7.26690056491369
001,50,Herzogenrath (D),Hz,Grensstation,781,a,781,781_a,Aachen (D) - Herzogenrath (D),A-Hz,Aachen (D) - Herzogenrath (D) ,16.080045,"16,080045",0.05964,"0,059640",0,204776,320331,50.8706243134265,6.09429934696889
001,51,Gronau (D),G,Grensstation,,,,,,,,,,,,0,266415,469856,52.2055380323946,7.01719994726127
001,52,Sluiskil aansl.,Slua,Goederen Emplacement,131,,131,131__,Sas van Gent Grens - Terneuzen Aansl.,Fsz-Tnz,Zelzate (B) - Terneuzen ,24.721955,"24,721955",-0.221356,"-0,221356",0,46084,367588,51.287098954612,3.82585273569294
001,53,Merwedekanaalbrug - bij Arkel,Mkbr,Brug,118,,118,118__,Geldermalsen - Dordrecht,Gdm-Ddr,Geldermalsen - Dordrecht ,65.451022,"65,451022",-0.341533,"-0,341533",0,128079,431693,51.8731310048221,4.99628403839901
001,54,Sliedrecht Baanhoek,Sdtb,Halte,118,,118,118__,Geldermalsen - Dordrecht,Gdm-Ddr,Geldermalsen - Dordrecht ,86.55466,"86,554660",0.268551,"0,268551",0,110564,426878,51.82873280987,4.7425817189112
001,55,Willemstunnel Zuid,Wiltz,Aansluiting,163,,163,163__,Rotterdam Lombardijen - Rotterdam Centraal,Bd-Rtd,Breda - Rotterdam Centraal ,46.399929,"46,399929",-0.204564,"-0,204564",0,94004,436377,51.9125395105175,4.50069408861363
001,56,Wantijbrug - bij Dordrecht,Wijb,Brug,118,,118,118__,Geldermalsen - Dordrecht,Gdm-Ddr,Geldermalsen - Dordrecht ,89.277289,"89,277289",-0.325977,"-0,325977",0,110037,424288,51.8054119308946,4.73527387628307
001,57,Rotterdam Alexander,Rta,Halte,132,,132,132__,Moordrecht Aansl. - Rotterdam Kleiweg,Ut-Rtd,Utrecht Centraal - Rotterdam Centraal ,45.949687,"45,949687",-0.33789,"-0,337890",0,97702,440703,51.951812355008,4.55371377601528
001,58,Barendrecht,Brd,Halte,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,Bd-Rtd,Breda - Rotterdam Centraal ,39.110407,"39,110407",0.0792,"0,079200",0,97484,429961,51.8552461817033,4.55233744829262
001,59,Blauwkapel Zuid,Blz,Overloop,546,c,546,546_c,Blauwkapel,Hvs-Utm,Hilversum - Utrecht Maliebaan ,13.850025,"13,850025",0.198477,"0,198477",0,138142,457729,52.1075402310768,5.14112672632037
001,60,Blauwkapel West,Blw,Overloop,546,b,546,546_b,Blauwkapel,Ut-Amf,Utrecht - Amersfoort ,3.871976,"3,871976",0.33102,"0,331020",0,137840,458289,52.112564190043,5.13669026907227
001,61,Botlekbrug,Botbr,Brug,950,a,950,950_a,Barendrecht Vork - Rotterdam Maasvlakte,Whz-Bot,"Rotterdam, Emplacement Waalhaven Zuid - Rotterdam, Botlek",14.927045,"14,927045",-0.575973,"-0,575973",0,82211,431984,51.8716417685697,4.33024987622601
001,62,Blauwkapel Noord,Bln,Overloop,546,c,546,546_c,Blauwkapel,Hvs-Utm,Hilversum - Utrecht Maliebaan ,12.726683,"12,726683",0.345207,"0,345207",0,138210,458849,52.1176087733474,5.14206413195998
001,63,Weert,Wt,Station,518,,518,518__,Weert,Bdl-Rm,Budel - Roermond ,64.271301,"64,271301",0.008978,"0,008978",0,177022,362205,51.2487548649403,5.7026129174581
001,64,Beatrixhaven aansl. (Maastricht),Bha,Overloop,063,,63,063__,Maastricht - Sittard,Mt-Vl,Maastricht - Venlo ,2.425431,"2,425431",0.223933,"0,223933",0,178034,319776,50.8673345855845,5.71438585173398
001,65,Sassenheim,Ssh,Halte,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,34.699453,"34,699453",0.315472,"0,315472",0,95573,470051,52.2153449881579,4.51763469490966
001,66,Den Haag Laan van NOI,Laa,Station,561,,561,561__,Den Haag Laan van NOI,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,59.35502,"59,355020",24.97202,"24,972020",0,83404,455031,52.0789191177614,4.34275993200682
001,67,"Hoendiep, brug o/h - bij Groningen",Hdp,Brug,002,,2,002__,Leeuwarden - Groningen,Hlg-Nscg,Harlingen - Nieuweschans Grens ,75.415534,"75,415534",-0.138231,"-0,138231",0,228640,581266,53.2129479860885,6.48953221982126
001,68,Groningen,Gn,Station,501,,501,501__,Groningen,Hlg-Nscg,Harlingen - Nieuweschans Grens ,80.425713,"80,425713",0.461494,"0,461494",0,233634,581088,53.2106388447043,6.56422962130286
001,69,Wildervank,Wdv,Station,305,,305,305__,Stadskanaal Hoofdstation - Zuidbroek,Skn-Zb,Stadskanaal Hoofdstation - Zuidbroek ,12.385978,"12,385978",-0.340684,"-0,340684",0,254400,567341,53.0836944651419,6.87073678658989
001,70,Bareveld,Brv,Station,305,,305,305__,Stadskanaal Hoofdstation - Zuidbroek,Skn-Zb,Stadskanaal Hoofdstation - Zuidbroek ,8.745321,"8,745321",0.027181,"0,027181",0,253093,563938,53.0533634309505,6.85020578627769
001,71,Leeuwarden Camminghaburen,Lwc,Halte,002,,2,002__,Leeuwarden - Groningen,Hlg-Nscg,Harlingen - Nieuweschans Grens ,29.700468,"29,700468",-0.311382,"-0,311382",0,185473,579602,53.202193035047,5.84323704852093
001,72,Kropswolde,Kw,Halte,004,,4,004__,Waterhuizen Aansl. - Zuidbroek,Hlg-Nscg,Harlingen - Nieuweschans Grens ,92.397868,"92,397868",0.207488,"0,207488",0,244292,575826,53.1616961307727,6.72226361294426
001,73,"Harinxmakanaal, brug o/h van - tussen Leeuwarden en Grou-Jirnsum",Hrmk,Brug,009,,9,009__,Meppel - Leeuwarden,Zl-Lw,Zwolle - Leeuwarden ,164.739945,"164,739945",-0.083835,"-0,083835",0,180854,577689,53.1852467868432,5.77396145886273
001,74,Waterhuizen aansl.,Wha,Aansluiting,548,,548,548__,Waterhuizen Aansl.,Hlg-Nscg,Harlingen - Nieuweschans Grens ,86.478356,"86,478356",0.374456,"0,374456",0,238933,578363,53.1853536902538,6.64281825830088
001,75,Grijpskerk,Gk,Halte,002,,2,002__,Leeuwarden - Groningen,Hlg-Nscg,Harlingen - Nieuweschans Grens ,62.024548,"62,024548",-0.088735,"-0,088735",0,216639,585865,53.2557836864311,6.31079560255088
001,76,Groningen Noord,Gnn,Station,006,,6,006__,Groningen - Sauwerd,Gn-Dz,Groningen - Delfzijl ,3.934448,"3,934448",-0.109492,"-0,109492",0,233074,583226,53.2299285715818,6.55636846554354
001,77,Westerwoldse Aa-brug,Wwab,Brug,005,,5,005__,Zuidbroek - Nieuweschans Grens,Hlg-Nscg,Harlingen - Nieuweschans Grens ,127.341623,"127,341623",0.014665,"0,014665",0,276584,579294,53.1864985777226,7.20618501121428
001,78,Franeker,Fn,Station,001,a,1,001_a,Harlingen Haven - Leeuwarden,Hlg-Nscg,Harlingen - Nieuweschans Grens ,9.659273,"9,659273",-0.208373,"-0,208373",0,165895,577316,53.1824082435144,5.55017626302175
001,79,Haren aansl.,Hrna,Aansluiting,549,b,549,549_b,Haren,Mp-Gn,Meppel - Groningen ,70.880192,"70,880192",0.372604,"0,372604",0,237404,576954,53.1729325552091,6.61958955131622
001,80,Koudum-Molkwerum,Kmw,Halte,008,,8,008__,Leeuwarden - Stavoren,Lw-Stv,Leeuwarden - Stavoren ,46.014601,"46,014601",0.389578,"0,389578",0,156591,546182,52.9027456585032,5.41085206316894
001,81,Boterdiep,Btd,Brug,201,,201,201__,Sauwerd - Delfzijl,Gn-Dz,Groningen - Delfzijl ,15.657961,"15,657961",0.211937,"0,211937",0,235884,592021,53.3085233389256,6.6006587773228
001,82,Mantgum,Mg,Station,008,,8,008__,Leeuwarden - Stavoren,Lw-Stv,Leeuwarden - Stavoren ,10.015919,"10,015919",-0.297513,"-0,297513",0,176837,571528,53.1300653165733,5.71345410968414
001,83,Usquert,Ust,Station,200,,200,200__,Winsum - Roodeschool,Swd-Rd,Sauwerd - Roodeschool ,16.040089,"16,040089",-0.412581,"-0,412581",0,236281,602319,53.4009746554775,6.60923675157236
001,84,Stedum,Stm,Station,201,,201,201__,Sauwerd - Delfzijl,Gn-Dz,Groningen - Delfzijl ,21.852228,"21,852228",0.159587,"0,159587",0,241707,594134,53.3265914732835,6.6885695243382
001,85,Eemshaven Industrie Aansl,Eemia,Aansluiting,815,a,815,815_a,Roodeschool Eemshaven,Rda-Eem,Rodeschool Aansl. - Eemshaven ,4.840782,"4,840782",0.117666,"0,117666",0,248450,607963,53.4496767765662,6.79380230607712
001,86,Sneek Noord,Sknd,Station,008,,8,008__,Leeuwarden - Stavoren,Lw-Stv,Leeuwarden - Stavoren ,20.600276,"20,600276",-0.418984,"-0,418984",0,173475,561482,53.0399199015834,5.662652388281
001,87,'s-Hertogenbosch Diezebrug aansl.,Htda,Aansluiting,614,c,614,614_c,s Hertogenbosch,Ut-Btl,Utrecht Centraal - Boxtel ,46.864277,"46,864277",-6.293597,"-6,293597",0,148841,412313,51.6995521677676,5.29811107271888
001,88,Eindhoven Centraal,Ehv,Station,618,b,618,618_b,Eindhoven,Vl-Ehv,Venlo - Eindhoven ,51.569657,"51,569657",-0.041171,"-0,041171",0,161440,383771,51.4429967801565,5.47983136721998
001,89,Eindhoven Stadion,Ehst,Evenementen Halte,618,c,618,618_c,Eindhoven,Bd-Ehv,Breda - Eindhoven ,58.149949,"58,149949",0.460205,"0,460205",0,160681,383730,51.4426364173414,5.4689135557182
001,90,Gekkengraaf,Gkgf,Goederen Emplacement,055,,55,055__,Blerick - Eindhoven,Vl-Ehv,Venlo - Eindhoven ,8.930557,"8,930557",0.186746,"0,186746",0,202411,380724,51.413652785652,6.0687100176815
001,91,Best,Bet,Halte,054,a,54,054_a,Boxtel - Eindhoven,Bd-Ehv,Breda - Eindhoven ,48.825284,"48,825284",0.469502,"0,469502",0,155142,391173,51.5095676830707,5.38924661510136
001,92,Oisterwijk,Ot,Halte,125,,125,125__,Tilburg - Boxtel,Bd-Ehv,Breda - Eindhoven ,30.186673,"30,186673",-0.36433,"-0,364330",0,141558,399254,51.5820440693964,5.19326464815762
001,93,Vierlingsbeek,Vlb,Station,052,,52,052__,Beugen - Blerick,Ah-Vl,Arnhem - Venlo ,48.540002,"48,540002",0.374139,"0,374139",0,197261,400527,51.5920558430032,5.99706828865396
001,94,Beugen kruispunt,Bgk,Overloop,756,,756,756__,Beugen,Ah-Vl,Arnhem - Venlo ,35.869801,"35,869801",0.381889,"0,381889",0,190563,411275,51.6891257801865,5.9015097137775
001,95,Helmond,Hm,Station,055,,55,055__,Blerick - Eindhoven,Vl-Ehv,Venlo - Eindhoven ,38.444974,"38,444974",0.502227,"0,502227",0,173990,387380,51.4751533441103,5.66053912777237
001,96,Tilburg Universiteit,Tbu,Station,123,,123,123__,Breda - Tilburg,Bd-Ehv,Breda - Eindhoven ,19.799921,"19,799921",-0.405867,"-0,405867",0,131653,397411,51.5651541422548,5.05048326180837
001,97,Tilburg Reeshof,Tbr,Halte,123,,123,123__,Breda - Tilburg,Bd-Ehv,Breda - Eindhoven ,15.800293,"15,800293",0.249242,"0,249242",0,127757,398365,51.5735537995905,4.99422084489874
001,98,Singelgracht aansl.,Sgra,Aansluiting,525,b,525,525_b,Amsterdam Singelgracht Aansl.,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,79.180014,"79,180014",-0.401558,"-0,401558",0,120510,488892,52.3867995667791,4.88058198644985
001,99,Apeldoorn,Apd,Station,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,88.263997,"88,263997",-0.443753,"-0,443753",0,194955,469175,52.2092245065995,5.97176191381528
001,100,Loenen,Lnn,Goederen Emplacement,209,,209,209__,Dieren - Apeldoorn,Dr-Apd,Dieren - Apeldoorn ,11.399706,"11,399706",-0.310183,"-0,310183",0,198891,460401,52.1300694072128,6.0282094633565
001,101,Almelo,Aml,Station,606,a,606,606_a,Almelo,Aml-Hgl,Almelo - Hengelo ,0.629599,"0,629599",-0.166895,"-0,166895",0,241292,486320,52.357985159631,6.65395894604358
001,102,Harderwijk,Hd,Station,017,,17,017__,Amersfoort Aansl. - Hattemerbroek,Ama-Htba,Amersfoort Aansluiting - Hattemerbroek Aansluiting ,49.13024,"49,130240",-0.075341,"-0,075341",0,170887,483325,52.3376189554059,5.62030811287735
001,103,Meppel,Mp,Station,502,b,502,502_b,Meppel,Zl-Lw,Zwolle - Leeuwarden ,100.674225,"100,674225",-0.439378,"-0,439378",0,209786,522914,52.6908858227458,6.19752753123155
001,104,Hengelo,Hgl,Station,543,c,543,543_c,Hengelo,Zp-Esg,Zutphen - Enschede Grens ,45.116545,"45,116545",9.603456,"9,603456",0,251027,475789,52.2617432063154,6.79382796975516
001,105,VAM aansl. - bij Wijster,Vama,Aansluiting,012,,12,012__,Meppel - Assen,Mp-Gn,Meppel - Groningen ,24.182752,"24,182752",-0.429795,"-0,429795",0,229477,532062,52.770744662896,6.49079190208431
001,106,Glanerbrug,Gbr,Halte,028,,28,028__,Hengelo - Enschede Grens,Zp-Esg,Zutphen - Enschede Grens ,59.400139,"59,400139",0.02352,"0,023520",0,263512,471240,52.2185520328436,6.97518831237763
001,107,Kampen Zuid Overloopw. Oost,Kpnzoo,Aansluiting,161,,161,161__,Lelystad Industrieterrein - Hattemerbroek,Llsoa-Zl,Lelystad Opstelterrein Aansl. - Zwolle ,35.406236,"35,406236",0.092767,"0,092767",0,191452,504165,52.5239310471837,5.92430992329322
001,108,Holten,Hon,Halte,024,,24,024__,Deventer - Wierden,Dv-Aml,Deventer - Almelo ,18.720009,"18,720009",0.107287,"0,107287",0,225563,477849,52.2841073568213,6.42132501331368
001,109,Zwolle Stadshagen,Zlsh,Halte,015,,15,015__,Zwolle - Kampen,Zl-Kpn,Zwolle - Kampen ,91.299529,"91,299529",0.152282,"0,152282",0,200078,504650,52.5276460775807,6.05146862526638
001,110,Rijssen,Rsn,Station,024,,24,024__,Deventer - Wierden,Dv-Aml,Deventer - Almelo ,26.118032,"26,118032",-0.149618,"-0,149618",0,232198,481022,52.3117300331448,6.51927173164461
001,111,Vroomshoop,Vhp,Station,205,,205,205__,Mariënberg - Almelo,Mrb-Aml,Mariënberg - Almelo ,5.971697,"5,971697",0.233673,"0,233673",0,235370,497248,52.457082214483,6.56966219627251
001,112,Wezep,Wz,Halte,017,,17,017__,Amersfoort Aansl. - Hattemerbroek,Ama-Htba,Amersfoort Aansluiting - Hattemerbroek Aansluiting ,78.779874,"78,779874",0.23236,"0,232360",0,196828,496430,52.4540321268394,6.00254990822938
001,113,Wolvega,Wv,Station,009,,9,009__,Meppel - Leeuwarden,Zl-Lw,Zwolle - Leeuwarden ,127.252086,"127,252086",-0.142196,"-0,142196",0,196523,543918,52.8808079547255,6.00402442090173
001,114,Swifterbant,Stb,Aansluiting,161,,161,161__,Lelystad Industrieterrein - Hattemerbroek,Llsoa-Zl,Lelystad Opstelterrein Aansl. - Zwolle ,9.150362,"9,150362",-0.107528,"-0,107528",0,166475,506705,52.5478542348404,5.55637502117369
001,115,Coevorder Stadsgracht,Cosb,Brug,203,,203,203__,Mariënberg - Emmen,Hea-Emn,Herfte Aansl. - Emmen ,54.854872,"54,854872",-0.286098,"-0,286098",0,246279,519905,52.6589496460339,6.73633801039819
001,116,Emmen Zuid,Emnz,Halte,203,,203,203__,Mariënberg - Emmen,Hea-Emn,Herfte Aansl. - Emmen ,69.999799,"69,999799",0.21009,"0,210090",0,255395,530055,52.748536676742,6.87411953093246
001,117,Coevorden aansl.,Coa,Aansluiting,203,,203,203__,Mariënberg - Emmen,Hea-Emn,Herfte Aansl. - Emmen ,54.795476,"54,795476",0.181016,"0,181016",0,246282,519846,52.6584190305522,6.7363660688348
