OBJECTID,SIGMA_ID,REF_FUNC_SPOORTAK_NAAM_LANG,KANTCODE,M_SIGMATRAJECT_BEGIN,M_SIGMATRAJECT_EIND,PUBLICATIEDATUM,DATUM_GOEDGEKEURD,ELEMENT_TYPE,ELEMENT_LENGTE,VERKANTING_BEGIN,VERKANTING_EIND,HELLING,VOLGNUMMER,LENGTE_TOTAAL_SIGMATRAJECT,BEIDE_EINDEN_GELIJK,POSITIONELE_NAUWKEURIGHEID_MM,REF_FUNCTIONELE_SPOORTAK_PUIC,SIGMATRAJECT_GUID,REF_WISSEL_KRUISING_PUIC,Shape__Length
17,349801,003_2335L_84.4,L,0,36.57,2021/10/29 14:28:23+00,2017/05/16 10:20:53+00,Constant,36.57,0,0,0,0,43.46589,Ja,10,d99fdc2a-5a50-40a9-9e51-ef5c53a2d572,28368508-5f5a-43cc-bc47-9a593e574f71,7e945fa8-c6f1-43e8-b758-b2219acd29b3,36.569995068372
18,349802,003_2335L_84.4,,36.57,39.66589,2021/10/29 14:28:23+00,2017/05/16 10:20:53+00,Constant,3.09589,0,0,0,1,43.46589,Ja,10,d99fdc2a-5a50-40a9-9e51-ef5c53a2d572,28368508-5f5a-43cc-bc47-9a593e574f71,,3.09594400789162
19,349803,003_2335L_84.4,V,39.66589,43.46589,2021/10/29 14:28:23+00,2017/05/16 10:20:53+00,Constant,3.8,0,0,0,2,43.46589,Ja,10,d99fdc2a-5a50-40a9-9e51-ef5c53a2d572,28368508-5f5a-43cc-bc47-9a593e574f71,36ccaed9-0bcc-48e3-ada5-561e1709db5d,3.79999682382451
20,349804,003_2327L_84.4,L,0,32.25369349,2021/10/29 14:28:23+00,2017/05/16 10:20:05+00,Constant,32.25369349,0,0,0,0,53.97325,Ja,10,cbafc01e-5f20-4562-bd8a-cd2c5292250d,2bab877d-a756-4c11-a90e-8428b823daa4,e17030cf-80a6-47da-bf15-1497affec6ad,32.2537384884591
21,349805,003_2327L_84.4,Q,32.25369349,53.97325,2021/10/29 14:28:23+00,2017/05/16 10:20:05+00,Constant,21.71955651,0,0,0,1,53.97325,Ja,10,cbafc01e-5f20-4562-bd8a-cd2c5292250d,2bab877d-a756-4c11-a90e-8428b823daa4,fed2c116-6d20-4d81-bf84-2f6fe4076f63,21.7195002521715
22,349806,003_2331/2333_S_T_84,S_T,0,20.12712,2021/10/29 14:28:24+00,2017/05/16 10:20:05+00,Constant,20.12712,0,0,0,0,20.12712,Nee,10,,306ba9b8-91b4-438b-a6c0-957e2ce40514,fed2c116-6d20-4d81-bf84-2f6fe4076f63,20.127100859071
23,349807,003_2323/2325_S_T_84,S_T,0,20.12712,2021/10/29 14:28:25+00,2017/05/16 10:19:23+00,Constant,20.12712,0,0,0,0,20.12712,Nee,10,,334bcafa-123f-482b-84f7-0fae854316dc,fd956ccd-6929-4458-b552-75542b1b8076,20.1270949330437
24,349823,003_2313V_84.1,V,0,3.8,2021/10/29 14:28:28+00,2017/05/16 10:02:23+00,Constant,3.8,0,0,0,0,196.36905,Ja,10,776366d4-f718-460d-9593-87b87cba2a66,4d58242c-b143-4b4c-a9ea-90ce23bdf94b,56e2ad71-f000-4983-885d-0dbdf055486d,3.8000195405229
25,349824,003_2313V_84.1,,3.8,170.37905,2021/10/29 14:28:28+00,2017/05/16 10:19:23+00,Constant,166.57905,0,0,0,1,196.36905,Ja,10,776366d4-f718-460d-9593-87b87cba2a66,4d58242c-b143-4b4c-a9ea-90ce23bdf94b,,166.579049654149
26,349825,003_2313V_84.1,Q,170.37905,196.36905,2021/10/29 14:28:28+00,2017/05/16 10:19:23+00,Constant,25.99,0,0,0,2,196.36905,Ja,10,776366d4-f718-460d-9593-87b87cba2a66,4d58242c-b143-4b4c-a9ea-90ce23bdf94b,fd956ccd-6929-4458-b552-75542b1b8076,25.9900201340931
27,349826,003_2325P_84.3,P,0,25.99,2021/10/29 14:28:29+00,2017/05/16 10:19:23+00,Constant,25.99,0,0,0,0,49.23558,Ja,10,7f2a6a8c-9951-4892-9418-129f6e0d29fc,4ee6b466-d6d0-4939-819f-af8112057de3,fd956ccd-6929-4458-b552-75542b1b8076,25.9900045298063
28,349827,003_2325P_84.3,,25.99,45.43558,2021/10/29 14:28:29+00,2017/05/16 10:20:35+00,Constant,19.44558,0,0,0,1,49.23558,Ja,10,7f2a6a8c-9951-4892-9418-129f6e0d29fc,4ee6b466-d6d0-4939-819f-af8112057de3,,19.4455598803429
29,349828,003_2325P_84.3,V,45.43558,49.23558,2021/10/29 14:28:29+00,2017/05/16 10:20:35+00,Constant,3.8,0,0,0,2,49.23558,Ja,10,7f2a6a8c-9951-4892-9418-129f6e0d29fc,4ee6b466-d6d0-4939-819f-af8112057de3,9a281323-d741-4401-b985-f770ea9b22d4,3.80000623875943
30,349829,003_2331/2333_P_Q_84,P_Q,0,20.12712,2021/10/29 14:28:30+00,2017/05/16 10:20:05+00,Constant,20.12712,0,0,0,0,20.12712,Nee,10,,51f0df69-943d-4354-984e-15cf01e3fd38,fed2c116-6d20-4d81-bf84-2f6fe4076f63,20.1270996365677
31,349830,003_2215V_84.0,V,0,3.8,2021/10/29 14:28:34+00,2017/05/16 10:25:33+00,Constant,3.8,0,0,0,0,132.06941,Ja,10,0d409d73-9f82-47aa-b848-ac9ab32e6bdb,5c5d5fbc-ec19-42a4-b03a-8de299c48d7b,d21a9817-c7b0-42d9-b75e-4a0cf50ca376,3.80001438556443
32,349831,003_2215V_84.0,,3.8,128.26941,2021/10/29 14:28:34+00,2017/05/16 09:57:28+00,Constant,124.46941,0,0,0,1,132.06941,Ja,10,0d409d73-9f82-47aa-b848-ac9ab32e6bdb,5c5d5fbc-ec19-42a4-b03a-8de299c48d7b,,124.469388691557
33,349832,003_2215V_84.0,V,128.26941,132.06941,2021/10/29 14:28:34+00,2017/05/16 09:57:28+00,Constant,3.8,0,0,0,2,132.06941,Ja,10,0d409d73-9f82-47aa-b848-ac9ab32e6bdb,5c5d5fbc-ec19-42a4-b03a-8de299c48d7b,1e6f6892-7e5c-459b-a956-1429f9e57509,3.80001438638468
34,349833,003_2333T_84.4,T,0,25.99,2021/10/29 14:28:35+00,2017/05/16 10:20:05+00,Constant,25.99,0,0,0,0,452.59124111,Nee,10,bfe0b2d8-791e-4774-8bf4-c4835e91ad75,5ee29f07-95f6-469b-9584-9b39419d1137,fed2c116-6d20-4d81-bf84-2f6fe4076f63,25.990038911191
35,349834,003_2333T_84.4,,25.99,452.59124111,2021/10/29 14:28:35+00,2017/05/16 10:20:05+00,Constant,426.60124111,0,0,0,1,452.59124111,Nee,10,bfe0b2d8-791e-4774-8bf4-c4835e91ad75,5ee29f07-95f6-469b-9584-9b39419d1137,,426.601203904069
36,349835,003_2323/2325_P_Q_84,P_Q,0,20.12712,2021/10/29 14:28:36+00,2017/05/16 10:19:23+00,Constant,20.12712,0,0,0,0,20.12712,Nee,10,,635f0d11-db1c-467b-b21e-b36ac90d4f1c,fd956ccd-6929-4458-b552-75542b1b8076,20.1270576803343
37,349836,003_2229P_84.2,P,0,25.99,2021/10/29 14:28:40+00,2020/08/20 02:00:00+00,Constant,25.99,0,0,0,0,49.48703305,Ja,10,b3da63f5-d9eb-4e24-875a-fb10fefc6b61,69361d3d-903e-4a5a-ad72-6cf189112cd3,0c5853ff-18ee-4223-b4e4-c55b28fa4494,25.9900256577679
38,349837,003_2229P_84.2,,25.99,45.68703305,2021/10/29 14:28:40+00,2017/05/16 09:58:46+00,Constant,19.69703305,0,0,0,1,49.48703305,Ja,10,b3da63f5-d9eb-4e24-875a-fb10fefc6b61,69361d3d-903e-4a5a-ad72-6cf189112cd3,,19.6969983979793
39,349838,003_2229P_84.2,V,45.68703305,49.48703305,2021/10/29 14:28:40+00,2017/05/16 09:58:46+00,Constant,3.8,0,0,0,2,49.48703305,Ja,10,b3da63f5-d9eb-4e24-875a-fb10fefc6b61,69361d3d-903e-4a5a-ad72-6cf189112cd3,e2ac2a95-11fb-42fa-9b34-3b6e75c5f0ad,3.80003915549605
40,349839,003_2221R_84.1,R,0,36.54746,2021/10/29 14:28:41+00,2017/05/16 09:57:28+00,Constant,36.54746,0,0,0,0,45.535,Ja,10,bbd53fef-c9ff-40e3-b477-aba77b0a43b2,6f7e40bb-7e2d-490c-8c37-f8994438162d,1e6f6892-7e5c-459b-a956-1429f9e57509,36.5472691368529
41,349840,003_2221R_84.1,,36.54746,41.735,2021/10/29 14:28:41+00,2017/05/16 09:58:46+00,Constant,5.18754,0,0,0,1,45.535,Ja,10,bbd53fef-c9ff-40e3-b477-aba77b0a43b2,6f7e40bb-7e2d-490c-8c37-f8994438162d,,5.18752300814175
42,349841,003_2221R_84.1,V,41.735,45.535,2021/10/29 14:28:41+00,2017/05/16 09:58:46+00,Constant,3.8,0,0,0,2,45.535,Ja,10,bbd53fef-c9ff-40e3-b477-aba77b0a43b2,6f7e40bb-7e2d-490c-8c37-f8994438162d,55558d33-5fdd-4c25-b65c-8ff4bdd327c1,3.80007295943318
43,349842,003_2321L_84.3,L,0,36.57,2021/10/29 14:28:42+00,2017/05/16 10:18:57+00,Constant,36.57,0,0,0,0,137.51997,Ja,10,f36ebc2d-b786-46ba-8f38-dd0385f2ea7b,747cf4d3-c464-4772-b666-c153ec36fd95,a9d63cd1-6a3a-4303-883f-6024cddbecfb,36.5699500362639
44,349843,003_2321L_84.3,,36.57,111.52997,2021/10/29 14:28:42+00,2017/05/16 10:18:57+00,Constant,74.95997,0,0,0,1,137.51997,Ja,10,f36ebc2d-b786-46ba-8f38-dd0385f2ea7b,747cf4d3-c464-4772-b666-c153ec36fd95,,74.9599808864036
45,349844,003_2321L_84.3,S,111.52997,137.51997,2021/10/29 14:28:42+00,2017/05/16 10:18:57+00,Constant,25.99,0,0,0,2,137.51997,Ja,10,f36ebc2d-b786-46ba-8f38-dd0385f2ea7b,747cf4d3-c464-4772-b666-c153ec36fd95,fed2c116-6d20-4d81-bf84-2f6fe4076f63,25.9899751023528
46,349848,003_2239V_84.3,V,0,3.8,2021/10/29 14:28:43+00,2017/05/16 09:57:03+00,Constant,3.8,0,0,0,0,477.25027463,Nee,10,0f830c53-8c45-43b2-9c25-36a80bdde2f0,75c5a9b2-37b9-4c71-a230-fa2602a6d647,f75597b3-352f-42e7-8940-dd0b7c8e4ac4,3.79990183188627
47,349849,003_2239V_84.3,,3.8,477.25027463,2021/10/29 14:28:43+00,2017/05/16 09:57:28+00,Constant,473.45027463,0,0,0,1,477.25027463,Nee,10,0f830c53-8c45-43b2-9c25-36a80bdde2f0,75c5a9b2-37b9-4c71-a230-fa2602a6d647,,473.4502828806
48,349850,003_2229T_84.2,T,0,25.99,2021/10/29 14:28:44+00,2020/08/20 02:00:00+00,Constant,25.99,0,0,0,0,70.26964981,Ja,10,69aa35df-ac10-4792-b020-245253d19287,7860e849-6196-4fcf-aea7-5d2c82d32a05,0c5853ff-18ee-4223-b4e4-c55b28fa4494,25.9900561310948
49,349851,003_2229T_84.2,,25.99,33.72218981,2021/10/29 14:28:44+00,2020/08/20 18:23:49+00,Constant,7.73218981,0,0,0,1,70.26964981,Ja,10,69aa35df-ac10-4792-b020-245253d19287,7860e849-6196-4fcf-aea7-5d2c82d32a05,,7.73219967150358
50,349852,003_2229T_84.2,L,33.72218981,70.26964981,2021/10/29 14:28:44+00,2020/08/20 18:23:49+00,Constant,36.54746,0,0,0,2,70.26964981,Ja,10,69aa35df-ac10-4792-b020-245253d19287,7860e849-6196-4fcf-aea7-5d2c82d32a05,f75597b3-352f-42e7-8940-dd0b7c8e4ac4,36.5473995001119
51,349853,552_2207L_73.8,L,0,36.54746,2021/10/29 14:28:45+00,2017/05/16 09:55:57+00,Constant,36.54746,0,0,0,0,513.844888,Ja,10,d9f205c7-c337-44e2-a31d-a881e06ab68c,790c5e92-e8a2-49c7-9823-d34d8b7549b8,286ca6d7-d1cf-45dd-9c9a-2603ec6582f2,36.5474677520852
52,349854,552_2207L_73.8,,36.54746,477.274888,2021/10/29 14:28:45+00,2017/05/16 09:57:28+00,Constant,440.727428,0,0,0,1,513.844888,Ja,10,d9f205c7-c337-44e2-a31d-a881e06ab68c,790c5e92-e8a2-49c7-9823-d34d8b7549b8,,440.727393566867
53,349855,552_2207L_73.8,R,477.274888,513.844888,2021/10/29 14:28:45+00,2017/05/16 09:57:28+00,Constant,36.57,0,0,0,2,513.844888,Ja,10,d9f205c7-c337-44e2-a31d-a881e06ab68c,790c5e92-e8a2-49c7-9823-d34d8b7549b8,d21a9817-c7b0-42d9-b75e-4a0cf50ca376,36.5700718475498
54,349859,003_2221L_84.1,L,0,36.57,2021/10/29 14:28:46+00,2017/05/16 09:57:28+00,Constant,36.57,0,0,0,0,171.323145,Ja,10,e4fbc501-3d4c-471e-9b44-c1df688de7ee,86aee4f2-4d6b-4df5-8c1a-fae0db3ee965,1e6f6892-7e5c-459b-a956-1429f9e57509,36.5699390981359
55,349860,003_2221L_84.1,,36.57,134.753145,2021/10/29 14:28:46+00,2017/05/16 09:57:28+00,Constant,98.183145,0,0,0,1,171.323145,Ja,10,e4fbc501-3d4c-471e-9b44-c1df688de7ee,86aee4f2-4d6b-4df5-8c1a-fae0db3ee965,,98.1831436063886
56,349861,003_2221L_84.1,R,134.753145,171.323145,2021/10/29 14:28:46+00,2017/05/16 09:57:28+00,Constant,36.57,0,0,0,2,171.323145,Ja,10,e4fbc501-3d4c-471e-9b44-c1df688de7ee,86aee4f2-4d6b-4df5-8c1a-fae0db3ee965,f75597b3-352f-42e7-8940-dd0b7c8e4ac4,36.5700652592834
57,349862,552_2209R_73.8,R,0,36.54746,2021/10/29 14:28:47+00,2017/05/16 09:55:57+00,Constant,36.54746,0,0,0,0,517.702623,Ja,10,bcb3dd54-8de9-4f44-bcd3-53dbd03ac934,8a85b432-58fa-4fb8-a0e8-f01e47533ef3,8eaa4db3-7897-4597-ad5d-9c4f3ceea565,36.5474205242432
58,349863,552_2209R_73.8,,36.54746,481.132623,2021/10/29 14:28:47+00,2017/05/16 09:57:03+00,Constant,444.585163,0,0,0,1,517.702623,Ja,10,bcb3dd54-8de9-4f44-bcd3-53dbd03ac934,8a85b432-58fa-4fb8-a0e8-f01e47533ef3,,444.585053617423
59,349864,552_2209R_73.8,L,481.132623,517.702623,2021/10/29 14:28:47+00,2017/05/16 09:57:03+00,Constant,36.57,0,0,0,2,517.702623,Ja,10,bcb3dd54-8de9-4f44-bcd3-53dbd03ac934,8a85b432-58fa-4fb8-a0e8-f01e47533ef3,d89a34d2-2228-4911-a6ad-0073952711ab,36.5700718473326
60,349865,003_2337L_84.5,L,0,36.57,2021/10/29 14:28:48+00,2017/05/16 10:20:53+00,Constant,36.57,0,0,0,0,59.76554,Ja,10,8181a6fa-0499-4b1c-80a5-065a826a6a25,8caf3ed6-011a-46f8-a0ab-18870c3140af,36ccaed9-0bcc-48e3-ada5-561e1709db5d,36.569950036586
61,349866,003_2337L_84.5,,36.57,55.96554,2021/10/29 14:28:48+00,2017/05/16 10:20:53+00,Constant,19.39554,0,0,0,1,59.76554,Ja,10,8181a6fa-0499-4b1c-80a5-065a826a6a25,8caf3ed6-011a-46f8-a0ab-18870c3140af,,19.3955918427358
62,349867,003_2337L_84.5,V,55.96554,59.76554,2021/10/29 14:28:48+00,2017/05/16 10:20:53+00,Constant,3.8,0,0,0,2,59.76554,Ja,10,8181a6fa-0499-4b1c-80a5-065a826a6a25,8caf3ed6-011a-46f8-a0ab-18870c3140af,0a442a1b-5d35-4520-9c91-136fef35bfd8,3.79990753592721
63,349868,003_2223L_84.1,L,0,33.04542756,2021/10/29 14:28:48+00,2020/08/20 02:00:00+00,Constant,33.04542756,0,0,0,0,55.53,Ja,10,10dcc393-d674-460e-9405-1a1e2393d657,8d2696f8-4e42-473d-9fa9-98b542dedf07,55558d33-5fdd-4c25-b65c-8ff4bdd327c1,33.0454205785676
64,349869,003_2223L_84.1,S,33.04542756,55.53,2021/10/29 14:28:48+00,2020/08/20 02:00:00+00,Constant,22.48457244,0,0,0,1,55.53,Ja,10,10dcc393-d674-460e-9405-1a1e2393d657,8d2696f8-4e42-473d-9fa9-98b542dedf07,0c5853ff-18ee-4223-b4e4-c55b28fa4494,22.4845374293859
65,349873,003_2237L_84.2,L,0,36.57,2021/10/29 14:28:50+00,2017/05/16 09:58:46+00,Constant,36.57,0,0,0,0,484.63068715,Nee,10,0ad87c56-7f0c-4de5-8f03-36815ab0024f,92f758c7-7675-4067-b3a4-dda7aff71964,e2ac2a95-11fb-42fa-9b34-3b6e75c5f0ad,36.569979696367
66,349874,003_2237L_84.2,,36.57,484.63068715,2021/10/29 14:28:50+00,2017/05/16 09:58:46+00,Constant,448.06068715,0,0,0,1,484.63068715,Nee,10,0ad87c56-7f0c-4de5-8f03-36815ab0024f,92f758c7-7675-4067-b3a4-dda7aff71964,,448.060694497933
67,349875,552_2209L_73.8,L,0,36.57,2021/10/29 14:28:54+00,2017/05/16 09:55:57+00,Constant,36.57,0,0,0,0,407.851934,Ja,10,8cbce021-8bdc-4851-a00b-918edb370974,a8ec9a29-dfd8-4075-9a2e-c44876b63bd8,8eaa4db3-7897-4597-ad5d-9c4f3ceea565,36.5699603727541
68,349876,552_2209L_73.8,,36.57,404.051934,2021/10/29 14:28:54+00,2017/05/16 09:55:57+00,Constant,367.481934,0,0,0,1,407.851934,Ja,10,8cbce021-8bdc-4851-a00b-918edb370974,a8ec9a29-dfd8-4075-9a2e-c44876b63bd8,,367.481886634335
69,349877,552_2209L_73.8,V,404.051934,407.851934,2021/10/29 14:28:54+00,2017/05/16 09:55:57+00,Constant,3.8,0,0,0,2,407.851934,Ja,10,8cbce021-8bdc-4851-a00b-918edb370974,a8ec9a29-dfd8-4075-9a2e-c44876b63bd8,2193bf3a-f886-4f2e-8abd-8357062dd800,3.80001438556443
70,349878,003_2339R_84.6,R,0,36.54746,2021/10/29 14:28:59+00,2017/05/16 10:20:53+00,Constant,36.54746,0,0,0,0,324.599615,Nee,10,833f2ad9-5cc4-4b2e-abca-170e0807c93e,ae7537ef-918e-4278-8538-7e04128e17cd,0a442a1b-5d35-4520-9c91-136fef35bfd8,36.5475235719259
71,349879,003_2339R_84.6,,36.54746,324.599615,2021/10/29 14:28:59+00,2017/05/16 10:21:04+00,Constant,288.052155,0,0,0,1,324.599615,Nee,10,833f2ad9-5cc4-4b2e-abca-170e0807c93e,ae7537ef-918e-4278-8538-7e04128e17cd,,288.052133761124
72,349880,003_2237R_84.2,R,0,36.54746,2021/10/29 14:28:59+00,2017/05/16 09:58:46+00,Constant,36.54746,0,0,0,0,484.84960105,Nee,10,57496f80-f50c-48ea-8409-a2af1e3f5274,b8e15c65-725f-4ffa-b029-a61fb1fb78de,e2ac2a95-11fb-42fa-9b34-3b6e75c5f0ad,36.5475045702651
73,349881,003_2237R_84.2,,36.54746,484.84960105,2021/10/29 14:28:59+00,2020/08/20 18:34:24+00,Constant,448.30214105,0,0,0,1,484.84960105,Nee,10,57496f80-f50c-48ea-8409-a2af1e3f5274,b8e15c65-725f-4ffa-b029-a61fb1fb78de,,448.302099735354
74,349882,003_2337R_84.5,R,0,36.54746,2021/10/29 14:29:00+00,2017/05/16 10:20:53+00,Constant,36.54746,0,0,0,0,384.42456227,Nee,10,d36d9740-5f31-4f4f-9a03-74c51ebb2443,be21bd41-3833-431d-ad35-60e4dbf40749,36ccaed9-0bcc-48e3-ada5-561e1709db5d,36.5474363237386
75,349883,003_2337R_84.5,,36.54746,384.42456227,2021/10/29 14:29:00+00,2017/05/16 10:21:11+00,Constant,347.87710227,0,0,0,1,384.42456227,Nee,10,d36d9740-5f31-4f4f-9a03-74c51ebb2443,be21bd41-3833-431d-ad35-60e4dbf40749,,347.877053765852
76,349884,003_2339L_84.6,L,0,36.57,2021/10/29 14:29:01+00,2017/05/16 10:20:53+00,Constant,36.57,0,0,0,0,324.4845627,Nee,10,7a0cb4a7-bc61-494f-8a18-99cb7573b58c,be36f193-68b3-4c02-9f16-35ad3fa75952,0a442a1b-5d35-4520-9c91-136fef35bfd8,36.5700393231125
77,349885,003_2339L_84.6,,36.57,324.4845627,2021/10/29 14:29:01+00,2017/05/16 10:20:53+00,Constant,287.9145627,0,0,0,1,324.4845627,Nee,10,7a0cb4a7-bc61-494f-8a18-99cb7573b58c,be36f193-68b3-4c02-9f16-35ad3fa75952,,287.914587601844
78,349888,003_2325T_84.3,T,0,25.99,2021/10/29 14:29:02+00,2017/05/16 10:19:23+00,Constant,25.99,0,0,0,0,30.06,Ja,10,712098a4-02b0-4f70-85bf-8498cf933a90,c7793e03-e936-40ce-b27f-1a70892fc074,fd956ccd-6929-4458-b552-75542b1b8076,25.9899751023528
79,349889,003_2325T_84.3,,25.99,26.26,2021/10/29 14:29:02+00,2017/05/16 10:19:23+00,Constant,0.27,0,0,0,1,30.06,Ja,10,712098a4-02b0-4f70-85bf-8498cf933a90,c7793e03-e936-40ce-b27f-1a70892fc074,,0.270029202124511
80,349890,003_2325T_84.3,V,26.26,30.06,2021/10/29 14:29:02+00,2017/05/16 10:19:23+00,Constant,3.8,0,0,0,2,30.06,Ja,10,712098a4-02b0-4f70-85bf-8498cf933a90,c7793e03-e936-40ce-b27f-1a70892fc074,e17030cf-80a6-47da-bf15-1497affec6ad,3.79999682382451
81,349891,003_2321R_84.3,R,0,32.2537336,2021/10/29 14:29:03+00,2017/05/16 10:18:57+00,Constant,32.2537336,0,0,0,0,53.97333,Ja,10,3d5b098e-d11a-4a69-a1f0-4fd9cc38f861,cda58b2c-8b19-481d-82b2-2c2dd1ff9518,a9d63cd1-6a3a-4303-883f-6024cddbecfb,32.2537480368978
82,349892,003_2321R_84.3,S,32.2537336,53.97333,2021/10/29 14:29:03+00,2017/05/16 10:20:35+00,Constant,21.7195964,0,0,0,1,53.97333,Ja,10,3d5b098e-d11a-4a69-a1f0-4fd9cc38f861,cda58b2c-8b19-481d-82b2-2c2dd1ff9518,fd956ccd-6929-4458-b552-75542b1b8076,21.7195889061405
