"fiscal_year","county","region","children_in_dfps_responsibility"
"2021","Anderson","4-Tyler","185"
"2021","Andrews","9-Midland","44"
"2021","Angelina","5-Beaumont","203"
"2021","Aransas","11-Edinburg","98"
"2021","Archer","2-Abilene","12"
"2021","Atascosa","8-San Antonio","230"
"2021","Austin","6-Houston","27"
"2021","Bailey","1-Lubbock","36"
"2021","Bandera","8-San Antonio","53"
"2021","Bastrop","7-Austin","219"
"2021","Baylor","2-Abilene","24"
"2021","Bee","11-Edinburg","120"
"2021","Bell","7-Austin","1802"
"2021","Bexar","8-San Antonio","4858"
"2021","Blanco","7-Austin","20"
"2021","Bosque","7-Austin","78"
"2021","Bowie","4-Tyler","148"
"2021","Brazoria","6-Houston","301"
"2021","Brazos","7-Austin","308"
"2021","Brewster","10-El Paso","5"
"2021","Briscoe","1-Lubbock","4"
"2021","Brooks","11-Edinburg","40"
"2021","Brown","2-Abilene","288"
"2021","Burleson","7-Austin","76"
"2021","Burnet","7-Austin","190"
"2021","Caldwell","7-Austin","140"
"2021","Calhoun","8-San Antonio","45"
"2021","Callahan","2-Abilene","47"
"2021","Cameron","11-Edinburg","600"
"2021","Camp","4-Tyler","41"
"2021","Carson","1-Lubbock","14"
"2021","Cass","4-Tyler","74"
"2021","Castro","1-Lubbock","16"
"2021","Chambers","6-Houston","33"
"2021","Cherokee","4-Tyler","212"
"2021","Childress","1-Lubbock","26"
"2021","Clay","2-Abilene","25"
"2021","Cochran","1-Lubbock","9"
"2021","Coke","9-Midland","6"
"2021","Coleman","2-Abilene","41"
"2021","Collin","3-Arlington","458"
"2021","Collingsworth","1-Lubbock","14"
"2021","Colorado","6-Houston","19"
"2021","Comal","8-San Antonio","306"
"2021","Comanche","2-Abilene","36"
"2021","Concho","9-Midland","8"
"2021","Cooke","3-Arlington","120"
"2021","Coryell","7-Austin","346"
"2021","Cottle","2-Abilene","7"
"2021","Crane","9-Midland","8"
"2021","Crockett","9-Midland","13"
"2021","Crosby","1-Lubbock","24"
"2021","Culberson","10-El Paso","5"
"2021","Dallam","1-Lubbock","50"
"2021","Dallas","3-Arlington","3329"
"2021","Dawson","9-Midland","35"
"2021","DeWitt","8-San Antonio","42"
"2021","Deaf Smith","1-Lubbock","40"
"2021","Delta","4-Tyler","7"
"2021","Denton","3-Arlington","934"
"2021","Dickens","1-Lubbock","6"
"2021","Dimmit","8-San Antonio","45"
"2021","Donley","1-Lubbock","13"
"2021","Duval","11-Edinburg","59"
"2021","Eastland","2-Abilene","74"
"2021","Ector","9-Midland","435"
"2021","El Paso","10-El Paso","598"
"2021","Ellis","3-Arlington","79"
"2021","Erath","3-Arlington","58"
"2021","Falls","7-Austin","78"
"2021","Fannin","3-Arlington","105"
"2021","Fayette","7-Austin","68"
"2021","Fisher","2-Abilene","15"
"2021","Floyd","1-Lubbock","7"
"2021","Foard","2-Abilene","7"
"2021","Fort Bend","6-Houston","179"
"2021","Franklin","4-Tyler","28"
"2021","Freestone","7-Austin","51"
"2021","Frio","8-San Antonio","99"
"2021","Gaines","9-Midland","27"
"2021","Galveston","6-Houston","517"
"2021","Garza","1-Lubbock","17"
"2021","Gillespie","8-San Antonio","27"
"2021","Goliad","8-San Antonio","15"
"2021","Gonzales","8-San Antonio","26"
"2021","Gray","1-Lubbock","129"
