"stationnam","leg","direction","dist_nb","dist_sb","dist_eb","dist_wb","route","status","the_geom"
"45 Street SW Station","West","West/East",,,,,"202","Current","POINT (-114.1541947 51.0379605)"
"Sirocco Station","West","West/East",,,,,"202","Current","POINT (-114.1690442 51.0383797)"
"Rundle Station","NE","North/South","1276.0","1845.0","0.0","0.0","202","Current","POINT (-113.9817251 51.0758603)"
"Anderson Station","SW","North/South","1064.0","2041.0","0.0","0.0","201","Current","POINT (-114.0745188 50.9543165)"
"Southland Station","SW","North/South","1654.0","1064.0","0.0","0.0","201","Current","POINT (-114.0765605 50.963571)"
"Downtown West - Kerby Station","DTWestbnd","West/East","0.0","0.0",,,"202","Current","POINT (-114.0872486 51.0472333)"
"Brentwood Station","NW","North/South","2372.0","1013.0","0.0","0.0","201","Current","POINT (-114.1318034 51.0870474)"
"7th Street SW Station","DTWestbnd","West","1376.0","0.0","265.0","334.0","201/202","Current","POINT (-114.0774251 51.0469879)"
"City Hall Station","DTWestbnd","West",,,"200.0",,"201/202","Current","POINT (-114.0570028 51.0463789)"
"SAIT/ACAD/Jubilee Station","NW","North/South","923.0","1026.0","0.0","0.0","201","Current","POINT (-114.091313 51.0631335)"
"Dalhousie Station","NW","North/South","3966.0","2732.0","0.0","0.0","201","Current","POINT (-114.1605254 51.1032838)"
"69 Street SW Station","West","West/East",,,,,"202","Current","POINT (-114.1876094 51.0376451)"
"Sunalta Station","West","West/East",,,,,"202","Current","POINT (-114.0991346 51.0448181)"
"8th Street SW Station","DTEastbnd","East","1199.0","0.0","205.0","287.0","201/202","Current","POINT (-114.0799562 51.0469197)"
"Victoria Park/Stampede Station","SW","North/South","1027.0","725.0","0.0","0.0","201","Current","POINT (-114.0583081 51.0385801)"
"Bridgeland Station","NE","East/West","0.0","0.0","1100.0","1236.0","202","Current","POINT (-114.0403776 51.0490497)"
"Chinook Station","SW","North/South","2299.0","2200.0","0.0","0.0","201","Current","POINT (-114.0658085 50.9968079)"
"6th Street SW Station","DTEastbnd","East","0.0","0.0","414.0","410.0","201/202","Current","POINT (-114.0750848 51.0467732)"
"Franklin Station","NE","East/West","0.0","0.0","1723.0","934.0","202","Current","POINT (-113.9938962 51.0475332)"
"Zoo Station","NE","East/West","0.0","0.0","1379.0","1100.0","202","Current","POINT (-114.0248561 51.0473692)"
"Martindale Station","NE","North/South",,,,,"202","Current","POINT (-113.9679024 51.1177053)"
"39 Avenue Station","SW","North/South","1669.0","2299.0","0.0","0.0","201","Current","POINT (-114.0613831 51.017567)"
"Heritage Station","SW","North/South","2200.0","1654.0","0.0","0.0","201","Current","POINT (-114.0742715 50.9779871)"
"City Hall Station","DTEastbnd","East","1392.0","1027.0","0.0","319.0","201/202","Current","POINT (-114.0569992 51.0462137)"
"Fish Creek - Lacombe Station","SW","North/South","1505.0","1464.0","0.0","0.0","201","Current","POINT (-114.0730564 50.9231615)"
"Whitehorn Station","NE","North/South","2640.0","1276.0","0.0","0.0","202","Current","POINT (-113.9817427 51.0859557)"
"1st Street SW Station","DTWestbnd","West","0.0","0.0","467.0","439.0","201/202","Current","POINT (-114.0640924 51.0465842)"
"Erlton/Stampede Station","SW","North/South","725.0","1669.0","0.0","0.0","201","Current","POINT (-114.0589003 51.0320601)"
"Banff Trail Station","NW","North/South","1130.0","1220.0","0.0","0.0","201","Current","POINT (-114.1155563 51.0709541)"
"Tuscany Station","NW","North/South",,,,,"201","Current","POINT (-114.2355599 51.1344705)"
"Crowfoot Station","NW","North/South","0.0","3966.0","0.0","0.0","201","Current","POINT (-114.2065522 51.1224264)"
"Saddletowne Station","NE","North/South",,,,,"202","Current","POINT (-113.9481535 51.1257147)"
"Shawnessy Station","SW","North/South","1464.0","1239.0","0.0","0.0","201","Current","POINT (-114.0705658 50.910573)"
"Canyon Meadows Station","SW","North/South","2041.0","1505.0","0.0","0.0","201","Current","POINT (-114.0697921 50.9359154)"
"Centre Street Station","DTEastbnd","East","0.0","0.0","319.0","544.0","201/202","Current","POINT (-114.0616682 51.0463708)"
"Sunnyside Station","NW","North/South","1026.0","1147.0","0.0","0.0","201","Current","POINT (-114.0843925 51.0562604)"
"University Station","NW","North/South","1013.0","1130.0","0.0","0.0","201","Current","POINT (-114.1229092 51.0800023)"
"4th Street SW Station","DTWestbnd","West","0.0","0.0","439.0","1.0","201/202","Current","POINT (-114.0726676 51.0468366)"
"Somerset-Bridlewood Station","SW","North/South","1239.0","0.0","0.0","0.0","201","Current","POINT (-114.0690009 50.8990881)"
"Marlborough Station","NE","North/South","1845.0","1722.0","0.0","0.0","202","Current","POINT (-113.9817163 51.058426)"
"Barlow/Max Bell Station","NE","East/West","0.0","0.0","934.0","1379.0","202","Current","POINT (-114.0066132 51.0454958)"
"Westbrook Station","West","West/East",,,,,"202","Current","POINT (-114.1363619 51.0401971)"
"Lions Park Station","NW","North/South","1220.0","923.0","0.0","0.0","201","Current","POINT (-114.1035911 51.0650408)"
"Downtown West - Kerby Station","DTEastbnd","East","0.0","0.0",,,"202","Current","POINT (-114.0872437 51.0471263)"
"McKnight Westwinds Station","NE","North/South","0.0","2640.0","0.0","0.0","202","Current","POINT (-113.9756529 51.109224)"
"Shaganappi Point Station","West","West/East",,,,,"202","Current","POINT (-114.1250072 51.0416835)"
"3rd Street SW Station","DTEastbnd","East","0.0","0.0","544.0","414.0","201/202","Current","POINT (-114.0692625 51.046613)"
