"respnum","ccgid","term","strata","atype","airline","dest","gatenum","intdate","q1","q2_1","q2_2","q2_3","q2_4","q2_5","q2_6","q3_1","q3_2","q3_3","q3_4","q3_5","q3_6","q3a","q4a","q4b","q4c","q5","q5avg","saq","q6a","q6b","q6c","q6d","q6e","q6f","q6g","q6h","q6i","q6j","q6k","q6l","q6m","q6n","q7com1","q7com2","q7com3","q7a1","q7a2","q7a3","q8a","q8b","q8c","q8d","q8e","q8f","q8com1","q8com2","q8com3","q9","q9apos1","q9apos2","q9apos3","q9aneg1","q9aneg2","q9aneg3","q9antr1","q9antr2","q9antr3","q10","q11","q11a1","q11a2","q11a3","q12","q13a","q13b","q13_com","q13com1","q13com2","q13com3","q14","q14a","q14a1","q14a2","q14a3","q15","sfflag","country","q17","age","q18","q19","inc","mail","lang","destmark","destination","destgeo","weight","location_1"
"15","164","1","2","2","5","2","32","2","2","2","8",,,,,"9","11",,,,,"9","1","1","1","3","4.5","1","6","3","4","5","5","5","6","6","2","6","4","6","3","4","51","9","90","50",,,"4","6","4","3","4","3",,,,"5",,,,,,,,,,"2",,,,,"4","4","3",,,,,"2",,,,,"2","4","62","4","39.5","2","4","175000","1","1","4","ATLANTA","2","1.013018",
"16","165","1","2","2","5","2","32","2","2","1","8",,,,,"2","11",,,,,"9","2","1","2","6","36","1","6","3","3","4","3","4","6","6","5","4","3","6","3","3","90",,,,,,"4","6","5","6","4","3",,,,"5",,,,,,,,,,"2",,,,,"7","5","4",,,,,"1",,"1",,,"2","4","62","3","29.5","1","4","175000","1","1","4","ATLANTA","2","1.013018",
"17","166","1","2","2","5","2","32","2","2","2","8",,,,,"9","11",,,,,"9","1","2","1","1","1","1","6","3","6","4","5","6","6","6","1","6","4","6","4","0","56",,,"51",,,"4","6","4","3","6","3",,,,"4",,,,,,,,,,"3",,,,,"6","4","1",,,,,"2",,,,,"2","4","62","5","49.5","1","3","125000","1","1","4","ATLANTA","2","1.013018",
"36","276","3","1","1","28","2","84","2","2","1","8",,,,,"2","11",,,,,"9","1","2","2","3","4.5","2","3","3","3","3","4","4","3","3","3","6","4","6","6","3",,,,,,,"5","6","4","6","3","3",,,,"5",,,,,,,,,,"2",,,,,"5","5","5",,,,,"0",,,,,"0","5","0","0",,"0","0",,"1","1","4","CHICAGO","3","1.592296",
"18","167","1","2","2","5","2","32","2","2","1","8",,,,,"2","11",,,,,"9","2","2","2","3","4.5","1","6","3","3","2","0","3","6","6","3","3","4","6","3","3","5",,,"51",,,"5","4","4","4","4","5",,,,"4",,,,,,,,,,"2",,,,,"5","2","3",,,,,"2",,,,,"1","12","62","4","39.5","1","2","75000","1","1","4","ATLANTA","2","1.013018",
"19","168","1","2","2","5","2","32","2","2","1","8",,,,,"2","11",,,,,"9","2","2","2","3","4.5","1","4","4","3","4","4","5","5","5","5","4","5","4","5","5",,,,,,,"4","4","5","4","4","4",,,,"5",,,,,,,,,,"1","4","1","2",,"6","5","5",,,,,"2",,,,,"1","12","62","4","39.5","1","2","75000","1","1","4","ATLANTA","2","1.013018",
"20","169","1","2","1","25","1","23","2","2","2","8",,,,,"7","11",,,,,"9","2","1","2","1","1","1","6","6","3","4","6","3","6","6","6","6","6","6","6","4",,,,,,,"2","6","6","6","6","4",,,,"4",,,,,,,,,,"2",,,,,"6","5","4",,,,,"2",,,,,"2","3","62","5","49.5","2","0",,"1","1","4","LOS ANGELES","1","1.013018",
"21","170","1","2","1","25","1","23","2","2","1","8",,,,,"7","11",,,,,"9","2","1","2","5","18.5","1","4","4","3","3","2","3","2","2","3","6","3","6","1","1","38","34","9",,,,"4","6","3","2","3","3",,,,"4",,,,,,,,,,"2",,,,,"6","3","2",,,,,"2",,,,,"2","3","62","6","59.5","1","4","175000","1","1","4","LOS ANGELES","1","1.013018",
"22","171","1","2","1","25","1","23","2","2","2","8",,,,,"4","11",,,,,"9","1","1","2","1","1","1","6","6","1","5","5","5","6","6","6","6","6","6","6","3","5",,,,,,"4","6","6","6","6","4",,,,"5",,,,,,,,,,"2",,,,,"5","5","5",,,,,"2",,,,,"2","4","2","3","29.5","2","2","75000","1","1","4","LOS ANGELES","1","1.013018",
"23","172","1","2","1","25","1","23","2","2","3","8",,,,,"2","11",,,,,"9","2","2","2","3","4.5","1","6","3","3","5","4","4","6","6","5","6","4","6","6","4",,,,,,,"5","6","4","6","4","3",,,,"5",,,,,,,,,,"2",,,,,"9","5","3",,,,,"2",,,,,"2","3","62","2","21","1","2","75000","1","1","4","LOS ANGELES","1","1.013018",
