"zipcode","client_category","zip"
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98001","Local",
"98001","Local",
"98001","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98001","Local",
"98001","Local",
"98001","Local",
"98001","Local",
"98001","Local",
"98001","Local",
"98001","Local",
"98001","Local",
"98001","Local",
"98001","Local",
"98001","Local",
"98001","Local",
"98001","Local",
"98001","Local",
"98001","Local",
"98002","Local",
"98002","Local",
"98001","Local",
"98001","Local",
"98001","Local",
"98001","Local",
"98001","Local",
"98001","Local",
"98001","Local",
"98001","Local",
"98001","Local",
"98001","Local",
"98001","Local",
"98047","Local",
"98047","Local",
"98047","Local",
"98047","Local",
"98047","Local",
"98047","Local",
"98002","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98002","Local",
"98001","Local",
"98001","Local",
"98001","Local",
"98001","Local",
"98047","Local",
"98047","Local",
"98047","Local",
"98047","Local",
"98047","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98030","Local",
"98030","Out of Area",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98047","Local",
"98047","Local",
"98047","Local",
"98047","Local",
"98047","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98030","Out of Area",
"98030","Out of Area",
"98002","Local",
"98002","Local",
"98002","Local",
"98092","Local",
"98092","Local",
"98002","Local",
"98002","Out of Area",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98047","Local",
"98047","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98092","Local",
"98092","Local",
"98002","Transient",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98092","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Out of Area",
"98002","Out of Area",
"98002","Out of Area",
"98002","Out of Area",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98047","Local",
"98047","Local",
"98001","Local",
"98001","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98047","Local",
"98047","Local",
"98047","Local",
"98047","Local",
"98047","Local",
"98047","Local",
"98047","Local",
"98047","Local",
"98047","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98047","Local",
"98047","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98047","Local",
"98047","Local",
"98047","Local",
"98047","Local",
"98047","Local",
"98047","Local",
"98030","Out of Area",
"98030","Out of Area",
"98092","Local",
"98092","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98092","Local",
"98092","Local",
"98047","Local",
"98047","Local",
"98047","Local",
"98001","Local",
"98001","Local",
"98001","Local",
"98001","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98047","Local",
"98047","Local",
"98047","Local",
"98002","Local",
"98002","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98092","Local",
"98092","Local",
"98030","Out of Area",
"98001","Local",
"98001","Local",
"98001","Local",
"98001","Local",
"98001","Local",
"98001","Local",
"98001","Local",
"98001","Local",
"98001","Local",
"98001","Local",
"98001","Local",
"98047","Local",
"98047","Local",
"98047","Local",
"98047","Local",
"98047","Local",
"98047","Local",
"98047","Local",
"98047","Local",
"98047","Local",
"98047","Local",
"98047","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98002","Local",
"98002","Local",
"98031","Local",
"98031","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98002","Local",
"98002","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98001","Local",
"98001","Local",
"98047","Local",
"98047","Local",
"98001","Transient",
"98001","Local",
"98047","Local",
"98047","Local",
"98002","Local",
"98002","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98047","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98001","Local",
"98001","Local",
"98001","Local",
"98001","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98001","Local",
"98001","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98001","Local",
"98001","Local",
"98002","Local",
"98001","Local",
"98002","Local",
"98047","Local",
"98047","Local",
"98047","Local",
"98047","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Transient",
"98002","Local",
"98002","Local",
"98002","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98092","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98092","Local",
"98092","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98001","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98092","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98092","Local",
"98092","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98001","Local",
"98001","Local",
"98001","Local",
"98001","Local",
"98047","Local",
"98047","Local",
"98047","Local",
"98047","Local",
"98002","Local",
"98002","Local",
"98002","Local",
"98092","Local",
"98092","Local",
"98092","Local",
