"sex","name","number"
"GIRL","A'A NAYHIA","1"
"GIRL","AADHYA","2"
"GIRL","AADITRI","1"
"GIRL","AAHANA","2"
"GIRL","AALEYAH","1"
"GIRL","AALIYAH","17"
"GIRL","AAMBAL KANNAMA","1"
"GIRL","AANAYA","1"
"GIRL","AANIYAH","1"
"GIRL","AANYA","2"
"GIRL","AARADHYA","1"
"GIRL","AARIA","1"
"GIRL","AARIYA","1"
"GIRL","AARNA","3"
"GIRL","AAROHI","1"
"GIRL","AARVI","1"
"GIRL","AARYA","6"
"GIRL","AARYN","1"
"GIRL","AASHI","1"
"GIRL","AASHVI","2"
"GIRL","AAVYA","3"
"GIRL","AAYATI","1"
"GIRL","ABBY","2"
"GIRL","ABEERA","1"
"GIRL","ABHAYA","1"
"GIRL","ABIGAEL","1"
"GIRL","ABIGAIL","59"
"GIRL","ABIGAIL HEAVEN","1"
"GIRL","ABIGALE","1"
"GIRL","ABREE","1"
"GIRL","A'BRIELLA","1"
"GIRL","ABRIL","4"
"GIRL","ABY","1"
"GIRL","ABYGAIL","1"
"GIRL","ABYNA","1"
"GIRL","ACURA","1"
"GIRL","ADA","9"
"GIRL","ADAEZE","1"
"GIRL","ADAIR","1"
"GIRL","ADALEE","1"
"GIRL","ADALIA","1"
"GIRL","ADALIE","3"
"GIRL","ADALINA","3"
"GIRL","ADALINE","5"
"GIRL","ADALY","1"
"GIRL","ADALYN","10"
"GIRL","ADALYNN","9"
"GIRL","ADAMA","1"
"GIRL","ADAMARI","1"
"GIRL","ADAMARIS","1"
"GIRL","ADAMAURI","1"
"GIRL","ADAN","1"
"GIRL","ADARA","2"
"GIRL","ADDALYN","1"
"GIRL","ADDALYNN","1"
"GIRL","ADDELAIDE","1"
"GIRL","ADDELYN","1"
"GIRL","ADDIE","1"
"GIRL","ADDILYN","2"
"GIRL","ADDILYNN","2"
"GIRL","ADDISON","21"
"GIRL","ADDISONLOU","1"
"GIRL","ADDISYN","1"
"GIRL","ADDYSON","3"
"GIRL","ADELA","1"
"GIRL","ADELAIDA","1"
"GIRL","ADELAIDE","8"
"GIRL","ADELANY","1"
"GIRL","ADELAYDA","1"
"GIRL","ADELAYZA","1"
"GIRL","ADELE","1"
"GIRL","ADELEIGH","1"
"GIRL","ADELEYNA","1"
"GIRL","ADELHEID","1"
"GIRL","ADELIE","2"
"GIRL","ADELINA","4"
"GIRL","ADELINE","23"
"GIRL","ADELINE COSETTE","1"
"GIRL","ADELYN","7"
"GIRL","ADELYNE","2"
"GIRL","ADELYNN","1"
"GIRL","ADIA","1"
"GIRL","ADIELINE","1"
"GIRL","ADILEIGH","1"
"GIRL","ADILENE","2"
"GIRL","ADILYNN","1"
"GIRL","ADINA","1"
"GIRL","ADIRA","1"
"GIRL","ADITHI","2"
"GIRL","ADITI","3"
"GIRL","ADLEY","1"
"GIRL","ADRIANA","12"
"GIRL","ADRIANNA","1"
"GIRL","ADRIENE","1"
"GIRL","ADRIENNE","1"
"GIRL","ADRITI","1"
"GIRL","ADVIKA","1"
"GIRL","ADYRA","1"
"GIRL","AEDRA","1"
"GIRL","AELA","2"
"GIRL","AELICIA","1"
"GIRL","AEMILIA","1"
"GIRL","AERALYN","1"
"GIRL","AFRAH","1"
"GIRL","AFTON","1"
"GIRL","AGER","1"
"GIRL","AGNES","1"
"GIRL","AGUSTINA","1"
"GIRL","AHD","1"
"GIRL","AHILYN","1"
"GIRL","AHLAYLA","1"
"GIRL","AHNA","1"
"GIRL","AHRI","1"
"GIRL","AHSOKA","1"
"GIRL","AIDA","1"
"GIRL","AIDALYN","1"
"GIRL","AIDELY","1"
"GIRL","AIDEYAMILET","1"
"GIRL","AIDRIENNE","1"
"GIRL","AIHNOA","1"
"GIRL","AIJA","1"
"GIRL","AILANI","1"
"GIRL","AILANY","1"
"GIRL","AILEE","1"
"GIRL","AILEEN","3"
"GIRL","AILEMA","1"
