"job_title","department","earnings","meta_row_index","meta_row_id"
"CITY MANAGER","CITY MANAGER'S OFFICE","264077.56","0","9187640afc440b04a98ca1ca0d9f9d49c41e097a"
"CITY ATTORNEY","CITY ATTORNEY'S OFFICE","191141.34","1","a335bfc0f15bb592a8dbb98e73a5587d433a7eb6"
"DEPUTY CITY MANAGER","CITY MANAGER'S OFFICE","177600.92","2","4928d82f016c38e719ea62f32c17a93dd9e060fc"
"CHIEF OF POLICE","OFFICE OF THE CHIEF","173473.09","3","18733cfe8b15b341d7b8ea513827cd8f5740a028"
"ASSISTANT CITY MANAGER","CITY MANAGER'S OFFICE","169134.27","4","f77d4ac7af77329f3c2c925348a1881137229f97"
"CHIEF FINANCIAL OFFICER","FINANCE ADMINISTRATION","166563.61","5","6d328544a6a6b79559b166716959e597d006182b"
"ADMINISTRATIVE FIRE CHIEF","POUDRE FIRE AUTHORITY","165041.42","6","f0de9e02be51f99706cb484388163c75aedda093"
"UTILITIES EXECUTIVE DIRECTOR","UTILITIES MANAGEMENT","163905.09","7","563449ec355387daac088ee7ecb74ac3ae425e25"
"ASSISTANT CITY MANAGER","CITY MANAGER'S OFFICE","162739.03","8","1bba6d2946ec30f0a229ad2f8078b068747b5bab"
"POLICE ASSISTANT CHIEF","OFFICE OF THE CHIEF","144158.95","9","10e21ff30518cba158b4f8539e289ce2f014cc6d"
"SPECIAL SERVICES SUPERVISOR","ELECTRIC FIELD SERVICES","142339.72","10","5d8a732f2d1f870098f5334e4269f1702771d8eb"
"DIRECTOR OF PDT","PDT ADMINISTRATION","140668.69","11","ce4402d2a93f74fee128abc9a081947c0a03dba8"
"POLICE DEPUTY CHIEF","PATROL","139974.75","12","2db2b953d1a6c0fac0660106d2a8683b5d365f3a"
"POLICE DEPUTY CHIEF","POLICE INFORMATION SERVICES","139974.75","13","d81c4cedd81013a3a5488cc829cdfa83cc31f169"
"DEPUTY CITY ATTORNEY","CITY ATTORNEY'S OFFICE","137403.45","14","5e46ac0ac2186d674a2a12281e5d3822582228df"
"POLICE DEPUTY CHIEF","INVESTIGATIONS","136255.81","15","4c12ed243e54db186d19dd329ac313d872af27af"
"SR ASSISTANT CITY ATTORNEY","CITY ATTORNEY'S OFFICE","135015.0","16","b35207161c78a1ada5b5095f7c8b311ccd8124be"
"CHIEF SUSTAINABILITY OFFICER","SUSTAINABILITY SERVICES ADMIN","134514.0","17","0bb3cbc572fc3d307544a265e993c4da09171b57"
"CHIEF INFORMATION OFFICER","INFORMATION TECHNOLOGY","133581.12","18","892e0e0f0257714fe2940125641f73552e777507"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","133543.25","19","5baf88cd3a84dabbaf223f3b1a2fb85ead312876"
"DIVISION CHIEF","POUDRE FIRE AUTHORITY","130685.0","20","f0b24aa492eda6db4011ca0595642ca99c283d44"
"DIVISION CHIEF","POUDRE FIRE AUTHORITY","130557.0","21","7384adc5cb0daaa74b85250bd8fdc0f57aba7e59"
"LIGHT AND POWER OPERATIONS MGR","L&P OPERATIONS SERVICE UNIT","130015.0","22","66adae7f09ad7ee7efecc846ae7349737ac62f8c"
"POLICE LIEUTENANT","PATROL","129678.28","23","d16fc3f54d33d71036d7b2b077d11ddd1da65227"
"SPECIAL PROJECTS MGR-INACTIVE","UT WATER UTL ENGINEERING DIV","129636.99","24","e2ab65c070ccb453814e75f132c90d9c1d4878f0"
"PFA DIR OF ADMINISTRATIVE SERV","POUDRE FIRE AUTHORITY","129394.49","25","e0a9b8b7de0791583abb9dccfa6a8732ba9d94bb"
"DIVISION CHIEF","POUDRE FIRE AUTHORITY","128861.0","26","f38a1467ae26eb6031c2f3d76b25bc6c42267c00"
"BATTALION CHIEF I - 56 HR/WK","POUDRE FIRE AUTHORITY","128216.56","27","3df32784cb877fd0187c19aecfa87fc0ed3a8fc4"
"POLICE SERGEANT","PATROL","128179.89","28","3197a6da457e123cb9589396aab5da00534ed8e1"
"WATER ENG FIELD OPERATIONS MGR","UT WATER SYSTEMS ENGR DIV","128051.41","29","aee2bec301635ce73c091d24a3ff756a95de7b3c"
"BATTALION CHIEF II - 40 HR/WK","POUDRE FIRE AUTHORITY","127099.25","30","086819aba6d1a15621068b4d90a68f057ca96e79"
"BATTALION CHIEF I - 56 HR/WK","POUDRE FIRE AUTHORITY","126904.31","31","32869717eaff5f1d6b75f0ef590a45743d61e93a"
"DIR OF INFRASTRUCTURE SERVICES","ENGINEERING","126861.46","32","d199929e5900d419beb4051af5ac121f6535a877"
"BATTALION CHIEF I - 56 HR/WK","POUDRE FIRE AUTHORITY","126515.94","33","26317228823a53117664168fdb4443225744ed78"
"POLICE SERGEANT","PATROL","126408.29","34","56cf87182598c244567dc3233716f1b5024d5e57"
"BATTALION CHIEF I - 56 HR/WK","POUDRE FIRE AUTHORITY","125920.03","35","ed47dd02540c2fdc0d36e1394b8eba9c11575250"
"POLICE LIEUTENANT","PATROL","124778.91","36","8501d721e7862438ac38395113b9f3e41922b7ac"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","124083.22","37","eb2615d259eaccbe31e985e2ca945c0792804fcf"
"PROCESS/SYSTEMS SUPERVISOR","UT PROCESS & SUPERVIS CNTR DIV","123971.56","38","99462482df7a3728178ebfd910ac768cf5611a67"
"BATTALION CHIEF I - 56 HR/WK","POUDRE FIRE AUTHORITY","123726.06","39","d2a73d1bd6d51de65e09d113c99d5b2655b3b26a"
"POLICE LIEUTENANT","PATROL","123455.34","40","9f85a801833993f47aa43ffce3d7d220eb6a85a7"
"CAPTAIN II - 40 HR/WK","POUDRE FIRE AUTHORITY","123359.18","41","e590716e9bd32c0634905c6d3f4404d7546edb97"
"POLICE LIEUTENANT","INVESTIGATIONS","122435.88","42","30653236102c780bd46dd298688d86e9c4d63ba0"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","121976.43","43","97f090004689a4822b81c25eb88411d531064803"
"SUPERVISORY CREW CHIEF","ELECTRIC FIELD SERVICES","121820.6","44","8901658663021148eec58827400db608d7ae8f2f"
"BATTALION CHIEF I - 56 HR/WK","POUDRE FIRE AUTHORITY","121708.81","45","02fcb838cbbb6475abbf47ebd626455d07c8e019"
"SUPERVISORY CREW CHIEF","ELECTRIC FIELD SERVICES","121146.37","46","ef42641d5d9e1ea42242763e3e7fe33f9ea5a095"
"OPERATIONS SERVICES DIRECTOR","OPERATION SERVICES","121088.65","47","3757beb5f9a37bc4ab8c2c1ef68272e7cd71b68a"
"POLICE LIEUTENANT","PATROL","121017.97","48","f047216e9c8df5ec31cca4daca37e8340e2c8975"
"POLICE LIEUTENANT","OFFICE OF THE CHIEF","120095.23","49","460c5bd643ac3bbcafdb933109c5d9cf8f0bbf90"
"BATTALION CHIEF II - 40 HR/WK","POUDRE FIRE AUTHORITY","120029.88","50","8d794ef0a3d7204c2e7240fdd41c42c437e397cd"
"ELECTRIC SYS DESIGN AND IT MGR","UT ELEC SYSTEM DESIGN & IT DIV","119926.04","51","6da425f56fbe4aa19bab5ef977dfefd5762c70dc"
"POLICE SERGEANT","INVESTIGATIONS","119631.57","52","662ca5afeb1f3617f939254b5ee747d68200b3ad"
"POLICE SERGEANT","INVESTIGATIONS","119561.88","53","e8356ce6734cc82e9cd286ceee9e774b0c808d8c"
"CAPTAIN I - 40 HR/WK","POUDRE FIRE AUTHORITY","119413.88","54","d7efae579bb2f42b010141f1084f931b24636ae7"
"POLICE LIEUTENANT","PATROL","119326.94","55","e68a6e65108660f80f877dd2423ce19ac5b19cb0"
"POLICE LIEUTENANT","INVESTIGATIONS","119167.94","56","b4691f7fcf960e795a8b5abfd5237e07fe6555ec"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","119154.72","57","242de238bf67e294aefe19b2812d36df7258a96e"
"SR ASSISTANT CITY ATTORNEY","CITY ATTORNEY'S OFFICE","118590.58","58","1ba5f682b1d77f2b49d9d7f74522f07cf7d1d990"
"POLICE SERGEANT","PATROL","118471.88","59","bf2ca5178b07756e36cc1e66c91323b7f00fdf6a"
"UTIL CUST CONNECTIONS MGR","UTILITIES CUSTOMER CONNECTIONS","118414.72","60","52f4b363eb940570c2c113600a9355feef4adb9d"
"DIR SAFTY, SECURTY & RISK MGMT","SAFETY, SECURITY, & RISK MGMT.","118317.33","61","2181a9cb31a4e04ee6b9ec45ae6130915f86d745"
"BATTALION CHIEF II - 40 HR/WK","POUDRE FIRE AUTHORITY","117993.0","62","d2a617a5e4c4f447d231eba9fe4dd1ecc78f033c"
"PDT DEPUTY DIRECTOR","PDT ADMINISTRATION","117947.37","63","7a659d6e7a64e90ab096e8c26d43795ca9de1d4d"
