"job_title","department","earnings","meta_row_index","meta_row_id"
"CITY MANAGER","CITY MANAGER'S OFFICE","201565.42","0","711f228be21707baa1826045b60ea89f5b044a78"
"CITY ATTORNEY","CITY ATTORNEY'S OFFICE","170975.95","1","0f2ca004debbf3ac3d94578a1159b8f228bda56a"
"DEPUTY CITY MANAGER","CITY MANAGER'S OFFICE","154732.77","2","b253f96229ff88d0cd7ec9c6f18b0de59193c0c5"
"UTILITIES EXECUTIVE DIRECTOR","UTILITIES MANAGEMENT","151162.44","3","f3a6e335184ddda90eec18261856cfb0356c7385"
"ADMINISTRATIVE FIRE CHIEF","POUDRE FIRE AUTHORITY","142637.81","4","2788304bf31ebc487791b44a3d6c11d15f24fc4d"
"CHIEF OF POLICE","OFFICE OF THE CHIEF","139608.81","5","7c98245d5e89c02f56b6cba14c330997ec18d379"
"CHIEF FINANCIAL OFFICER","ECONOMIC DEVELOPMENT","131676.73","6","53d4295b59b5995e0fa57277da0773a26348c558"
"TRAINING CAPTAIN - 40 HR/WK","POUDRE FIRE AUTHORITY","131348.27","7","6df59a3747ba979bf434c5a50b637ee85610bc8d"
"DIRECTOR OF POLICE INFO SERV","POLICE INFORMATION SERVICES","130466.52","8","09a7af3771149bff50d338b44aab44532ad0d005"
"ASSISTANT CITY MANAGER","CITY MANAGER'S OFFICE","128662.82","9","0508bb88d2c5c76dfccb131e019b6ee778d4c47c"
"LIGHT AND POWER OPERATIONS MGR","L&P OPERATIONS SERVICE UNIT","127088.22","10","51402445468d387bd03f6f467140381ace4d32a4"
"DIRECTOR OF CPRE","CPRE ADMINISTRATION","124168.72","11","87ba67dd140551e5e5444e1bdeecec9127691966"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","123331.36","12","e3f0f1f08d090741974df2f271f7b099754dce89"
"DIVISION CHIEF","POUDRE FIRE AUTHORITY","120886.0","13","f8ad7ba89b7b5f23ac3a8b4286248f8034d39bab"
"POLICE CAPTAIN","INVESTIGATIONS","120559.7","14","ec316e7399629e35b247f9f2501470e68a3f9b02"
"CHIEF INFORMATION OFFICER","MANAGEMENT INFORMATION SERVICE","119434.81","15","4971c3420cd1feb2eba68775c9e2300f716b5d43"
"INTERIM PDT DIRECTOR","PDT ADMINISTRATION","119020.03","16","6df7d69302c2a0b2a3b1ca6b0d9e49f496c66d38"
"DIVISION CHIEF","POUDRE FIRE AUTHORITY","118658.0","17","ef0d68d6968cb9c22b1e0e69958834e6cb73dd6a"
"PFA DIR OF ADMINISTRATIVE SERV","POUDRE FIRE AUTHORITY","117078.0","18","68b5b2d649d298c4e9674ee9cafe5b760d97738d"
"SR. ELECTRIC SYSTEMS OPERATOR","UT ELEC SYSTEM DESIGN & IT DIV","115990.95","19","fb323bb507015ad70808cc36735d30ceba4e98a9"
"LIBRARY DIRECTOR","LIBRARY DISTRICT","115000.08","20","d8f8a7a40652aa85bb8cabe46efb42321abe4dda"
"WATER ENG FIELD OPERATIONS MGR","UT MSTR PLAN & FLDPL ADMIN DIV","115000.08","21","f60c25aeeb6437f5966024106e6bb0061c374cf3"
"DEPUTY CITY ATTORNEY","CITY ATTORNEY'S OFFICE","114941.84","22","294a00aee6aa459ee682067ce8e0ea3094898956"
"POLICE SERGEANT","PATROL","114585.76","23","f370cd61037a329b5e18d021807753cba289b982"
"SR. ELECTRIC SYSTEMS OPERATOR","UT ELEC SYSTEM DESIGN & IT DIV","113803.97","24","d6114958a1cb7ebf45dd8c1750bb831a734c82f8"
"POLICE SERGEANT","INVESTIGATIONS","112818.43","25","c8a94d0add4efcefa6b76b14eda0c5793964edc1"
"BATTALION CHIEF I - 56 HR/WK","POUDRE FIRE AUTHORITY","112614.88","26","471cc497e650f0e6fb8dfe83324714ee7f5d932b"
"BATTALION CHIEF II - 40 HR/WK","POUDRE FIRE AUTHORITY","112547.5","27","1d705ac57dbc84c654ec38d2f05a9410d6344443"
"POLICE CAPTAIN","INVESTIGATIONS","112434.92","28","fa29cdb90aeec8353fecd6e6a92ee50e4946ed76"
"BATTALION CHIEF I - 56 HR/WK","POUDRE FIRE AUTHORITY","112298.38","29","8ceee92fe2bce7a2ea9e7e196af084226d0d73e5"
"POLICE SERGEANT","PATROL","111486.67","30","45d77152882bf8630960fc1f24ed03964f093a04"
"SUPERVISORY CREW CHIEF","ELECTRIC FIELD SERVICES","111022.69","31","e8e4ad4b3856bef7b4c19d18efb0953f1cfb00b5"
"OPERATIONS SERVICES DIRECTOR","OPERATION SERVICES","110844.24","32","f8514161d98cb06dd23d3d9529280393d0b08696"
"POLICE CAPTAIN","OFFICE OF THE CHIEF","110374.42","33","a07e1ea18600d02f57e24bb5589bb402d7170397"
"POLICE SERGEANT","PATROL","110105.68","34","28afd72214f4824936cfde0294c587e486c66f0a"
"POLICE SERGEANT","PATROL","110088.89","35","c61ce3078f2556c5aa7e15c8cff4cac8263d4564"
"BATTALION CHIEF I - 56 HR/WK","POUDRE FIRE AUTHORITY","110012.88","36","82aa8a52310116964a9dd98d6dc39425f4b28acd"
"BATTALION CHIEF II - 40 HR/WK","POUDRE FIRE AUTHORITY","109902.0","37","664e390ca060141efa74256791f6e0b708a4971e"
"BATTALION CHIEF II - 40 HR/WK","POUDRE FIRE AUTHORITY","109834.0","38","8b57745079bee7dd01b6d4323b0b8517ca363be4"
"ELECTRIC SYS DESIGN AND IT MGR","UT ELEC SYSTEM DESIGN & IT DIV","109785.22","39","c4e67e3c311754635f48e996d3e66cfc71e060bd"
"CAPTAIN II - 40 HR/WK","POUDRE FIRE AUTHORITY","109559.39","40","87580e77b520501cf3c064d3582d7a73970df113"
"ENVIRONMENTAL SERVICES MANAGER","UT ENVIRONMENTAL SERVICES DIV","109528.64","41","bd6de4d3b32e17834be5a4d49dc3994b7f9fbd94"
"DEPUTY CITY ATTORNEY","CITY ATTORNEY'S OFFICE","108981.6","42","23f2e76dc0b9082dea9981e58d9dcab430d3bffe"
"WTR RESOURCS/TREATMNT OPNS MGR","UT WATER PRODUCTION DIV","108658.94","43","82b86b4c72e615cdea95007c102acfa044e11676"
"FLEET MAINTENANCE TECHNICIAN","POUDRE FIRE AUTHORITY","108234.8","44","0195b51f6999407598b9878c612e057c6567c986"
"POLICE SERGEANT","PATROL","108163.39","45","0b56f19ad091940e3f5329d16b671dd74847cd4e"
"ELECTRIC FIELD SERVICE MANAGER","ELECTRIC FIELD SERVICES","108053.7","46","dbf6caa308514922477c54c61c50c1194865282c"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","107366.49","47","c5cb894bd89387098b811638698e8f9282607bfc"
"POLICE SERGEANT","PATROL","106146.25","48","760db6f657e60fbe78145cd5671df9a13ce525a7"
"POLICE SERGEANT","OFFICE OF THE CHIEF","105928.41","49","89473ebe4057f06acad58bb4275abb8b706c0baf"
"POLICE LIEUTENANT","PATROL","105606.11","50","9fe9181ba4f2f38ae7686e02340a9917bd90c0b4"
"CITY ENGINEER","ENGINEERING","105167.4","51","d161ec874ea34efddb9f5db7dba772582a24db8d"
"STANDARDS ENGINEERING MGR","UT STANDARDS ENGINEERING DIV","105081.86","52","9b6d8c358017b5ccb602b0c16f30e32b1a0a1aec"
"POLICE LIEUTENANT","INVESTIGATIONS","104831.83","53","a09bdb211d046e16b14ea1c5fbb302dddb6f8311"
"POLICE SERGEANT","INVESTIGATIONS","104551.77","54","05bc953bef23b800afcc2bcf9d12e0a00b90cc08"
"COMM DEV & NEIGH SVCS DIRECTOR","COMM DEV & NEIGHBORHOOD SVCS","103972.96","55","c4e2726051b2b7c4a996e8db2c4c0afc714a24f6"
"PDT BUDGET POLICY & COMM MGR","PDT ADMINISTRATION","103709.24","56","f320c5d97cfcdaa10c339fcb6f9dc91565cfc5af"
"POLICE OFFICER","INVESTIGATIONS","103691.98","57","0bc974b60810a0aec44fff2104b4f004da896f27"
"TRAINING CAPTAIN - 40 HR/WK","POUDRE FIRE AUTHORITY","103464.1","58","47c6d0c35a9a8e1eacab39c509167b79d2cc2227"
"CAPTAIN II - 40 HR/WK","POUDRE FIRE AUTHORITY","103075.13","59","892d80ce8fba2989dafeaaa14032a8bdd195d4fd"
"IT DIRECTOR - APPLICATION SVCS","MANAGEMENT INFORMATION SERVICE","102872.9","60","20f6fe9e3fe7be8b3105bf5f99b6b63d41ddc480"
