"job_title","department","service_area","earnings","meta_row_index","meta_row_id"
"CITY MANAGER","City Manager's Office","Executive Services","277386.39","0","656bc204ca70085140f8e7f98c4b78011e35675c"
"CITY ATTORNEY","City Attorney's Office","Legal Services","205299.05","1","f48fd9e67d1dbb354f0b0785b6021881bbffab81"
"DEPUTY CITY MANAGER","City Manager's Office","Executive Services","193452.33000000002","2","5577352b04c2a04db966be6b3fc3788e2b527789"
"SR ASSISTANT CITY MANAGER","City Manager's Office","Executive Services","188797.03999999998","3","118141587de99cccb79c057a8346393793575977"
"ADMINISTRATIVE FIRE CHIEF","Poudre Fire Authority","Poudre Fire Authority","177591.659999999","4","f91076d5898e06007153c0ad99937d4f2dd9b61b"
"CHIEF FINANCIAL OFFICER","Finance Administration","Financial Services","175769.3200000001","5","4437cbb9b0e25854d409d0ba54237ba4a1ece104"
"UTILITIES EXECUTIVE DIRECTOR","Utilities Management","Utility Services","172171.02","6","b4293e3cb688516e1ed29b0ff13a6df3b38c485c"
"CAPTAIN II - 40 HR/WK","Poudre Fire Authority","Poudre Fire Authority","171433.87","7","aca2dc586fe5a64050abc1d6b50b39b3dbc6cf5f"
"ASSISTANT CITY MANAGER","City Manager's Office","Executive Services","171005.4199999999","8","cc9b5836629359a934afd48861297b5cdfab4a6e"
"POLICE DEPUTY CHIEF","Police Administration","Police Services","159008.74","9","4af5db3ee008e75bef874120f9d18e56d1718ee7"
"DEPUTY CITY ATTORNEY","City Attorney's Office","Legal Services","150965.97","10","2f5e9465d5daddc457093b5d409cfff689cc21fb"
"BATTALION CHIEF II - 40 HR/WK","Poudre Fire Authority","Poudre Fire Authority","150770.59","11","9722e846835190fca3405de51218672ca82adca8"
"BATTALION CHIEF I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","150327.5","12","3b6756aa2aac22a8553641dc268f4ccbfaad2f56"
"CAPTAIN I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","150196.13","13","c018f0b4151959b38f86d8e5f240193bedef11b4"
"POLICE ASSISTANT CHIEF","Patrol","Police Services","148730.65","14","042561b209f0b6810555c3de12d502cf944b26de"
"SR ASSISTANT CITY ATTORNEY","City Attorney's Office","Legal Services","148356.4999999999","15","ca975328b8c9fb03348f76db22e22b322dfed513"
"DIRECTOR OF PDT","PDT Administration","Planning, Dev & Transportation","146776.0799999997","16","4cc2765624419b6d3afb22b7461c52935adc05dc"
"POLICE LIEUTENANT","Patrol","Police Services","146201.18","17","fc6f067b7a577261d9e1bcd20704473160b877c0"
"CAPTAIN I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","145466.71","18","5bc365c259be1a6caefae080366de8a537bab7f3"
"DIVISION CHIEF","Poudre Fire Authority","Poudre Fire Authority","144457.0","19","2d9b65693f8140945a5ffcf12fc32cbc60c7d6d8"
"POLICE LIEUTENANT","Investigations","Police Services","143159.6400000001","20","462bca27abd9d5d8d8344d795e85eebd1959cf3b"
"PFA DIR OF ADMINISTRATIVE SERV","Poudre Fire Authority","Poudre Fire Authority","143134.0","21","98e1aa92e6d012fce3e032462530be15117c22f3"
"DIVISION CHIEF","Poudre Fire Authority","Poudre Fire Authority","142989.0","22","a56d76d072b6adbe29564a51b718e6ecef6e2fe7"
"DIVISION CHIEF","Poudre Fire Authority","Poudre Fire Authority","142809.0","23","92931f88d996ddd1b575caec9adaa26c25d06cfb"
"CAPTAIN I - 40 HR/WK","Poudre Fire Authority","Poudre Fire Authority","142678.09","24","c1ea9936ddd27c4c221cb8d55ad30e5d5d27c258"
"CHIEF HUMAN RESOURCES OFFICER","Human Resources","Information & Employee Svcs","142381.61999999988","25","1a474a928a36899ce522fef33d3ea2c38eed4533"
"BATTALION CHIEF I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","142116.84","26","54be1849a12f8218b9169a81ab61b43a31f667a6"
"CHIEF SUSTAINABILITY OFFICER","Sustainability Services Admin","Sustainability Services","141961.2099999999","27","f676a15790c48ad8485bdf828942ae492252e47d"
"POLICE SERGEANT","Patrol","Police Services","141735.19","28","edb0e5acde41a7d12720be8f58cbfbbea82e2c47"
"POLICE LIEUTENANT","Patrol","Police Services","140789.2","29","89aefc3aba36510644e529c031a3cbb09a845402"
"CHIEF INFORMATION OFFICER","Information Technology","Information & Employee Svcs","140315.05","30","9b9c9823d11168971f81653d67d837cedc85708e"
"BATTALION CHIEF I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","138641.72","31","689be1319c617220866d8af910da2922958dc711"
"BATTALION CHIEF I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","137725.61","32","65ac139944031a5096ddef44c02da1a0ef613b49"
"POLICE SERGEANT","Patrol","Police Services","137129.6","33","a8d3f9c8e7f03a847fc11ff5b3b36fee7be3b4f4"
"DEPUTY DIRECTOR, UTILITIES","L&P Operations Service Unit","Utility Services","137108.74999999988","34","d145308a05468bc65ebca3841f4513707f6d928b"
"POLICE SERGEANT","Patrol","Police Services","136916.19","35","1b0215486622079e0fd8decc4ab44d04eaf0b5ad"
"CAPTAIN II - 40 HR/WK","Poudre Fire Authority","Poudre Fire Authority","136747.89","36","f64fdc06c7864f1fc544a873997a1be33042eca1"
"BATTALION CHIEF II - 40 HR/WK","Poudre Fire Authority","Poudre Fire Authority","136589.04","37","94120dd3a7991be10907aa1292a0376ed4a2f569"
"POLICE LIEUTENANT","Patrol","Police Services","136058.88999999998","38","d9b577dc73e9b0f76d4186b1b2b80ec1b4968006"
