"schoolyear","organizationlevel","county","esdname","esdorganizationid","districtcode","districtname","districtorganizationid","schoolcode","schoolname","schoolorganizationid","currentschooltype","gradelevel","all_students","female","gender_x","male","american_indian_alaskan_native","asian","black_african_american","hispanic_latino_of_any_race","native_hawaiian_other_pacific","two_or_more_races","white","english_language_learners","foster_care","highly_capable","homeless","low_income","migrant","military_parent","mobile","section_504","students_with_disabilities","non_english_language_learners","non_foster_care","non_highly_capable","non_homeless","non_low_income","non_migrant","non_military_parent","non_mobile","non_section_504","students_without_disabilities","dataasof"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","5082","Arthur Jacobsen Elementary","104336","P","Pre-Kindergarten","52","18","0","34","0","11","1","5","1","12","22","0","0","0","0","16","0","0","1","0","26","52","52","52","52","36","52","52","51","52","26","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","5037","Auburn Mountainview High School","104154","P","10th Grade","403","211","0","192","2","50","60","105","9","26","151","76","0","9","2","222","1","2","21","10","41","327","403","394","401","181","402","401","382","393","362","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","5037","Auburn Mountainview High School","104154","P","11th Grade","407","220","0","187","2","69","46","84","10","27","169","72","0","13","3","226","0","3","30","11","31","335","406","394","404","181","407","404","377","396","376","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","5037","Auburn Mountainview High School","104154","P","12th Grade","385","197","0","188","0","66","41","76","10","29","163","44","0","16","6","176","0","1","19","17","33","341","385","369","379","209","385","384","366","368","352","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","5037","Auburn Mountainview High School","104154","P","9th Grade","397","205","0","192","2","58","33","101","12","44","147","68","0","16","1","245","0","5","18","7","39","329","397","381","396","152","397","392","379","390","358","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","5037","Auburn Mountainview High School","104154","P","AllGrades","1592","833","0","759","6","243","180","366","41","126","630","260","0","54","12","869","1","11","88","45","144","1332","1591","1538","1580","723","1591","1581","1504","1547","1448","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","5664","Auburn Online","106737","P","10th Grade","48","21","0","27","0","5","11","19","1","6","6","9","0","0","0","32","0","0","7","0","5","39","48","48","48","16","48","48","41","48","43","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","5664","Auburn Online","106737","P","11th Grade","39","20","0","19","1","2","3","16","0","5","12","8","0","0","0","24","0","0","5","0","4","31","39","39","39","15","39","39","34","39","35","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","5664","Auburn Online","106737","P","12th Grade","34","16","0","18","0","4","4","12","4","0","10","12","0","0","0","23","0","0","3","0","2","22","34","34","34","11","34","34","31","34","32","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","5664","Auburn Online","106737","P","1st Grade","62","27","0","35","1","12","5","24","3","8","9","20","0","2","0","31","0","1","7","0","11","42","62","60","62","31","62","61","55","62","51","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","5664","Auburn Online","106737","P","2nd Grade","62","27","0","35","1","9","7","20","2","15","8","19","0","1","0","36","0","0","14","1","6","43","62","61","62","26","62","62","48","61","56","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","5664","Auburn Online","106737","P","3rd Grade","75","35","0","40","1","14","10","24","5","12","9","17","0","3","0","43","0","1","11","1","8","58","75","72","75","32","75","74","64","74","67","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","5664","Auburn Online","106737","P","4th Grade","58","23","0","35","2","8","7","19","3","12","7","14","0","4","0","31","0","0","7","0","8","44","58","54","58","27","58","58","51","58","50","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","5664","Auburn Online","106737","P","5th Grade","68","26","0","42","2","12","5","20","5","7","17","13","0","3","0","38","1","1","7","2","7","55","68","65","68","30","67","67","61","66","61","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","5664","Auburn Online","106737","P","6th Grade","57","28","0","29","0","6","11","15","3","10","12","9","0","5","0","34","0","0","5","2","6","48","57","52","57","23","57","57","52","55","51","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","5664","Auburn Online","106737","P","7th Grade","57","34","0","23","0","11","3","24","2","6","11","11","0","3","0","32","0","0","12","1","6","46","57","54","57","25","57","57","45","56","51","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","5664","Auburn Online","106737","P","8th Grade","58","26","0","32","0","8","7","17","3","7","16","4","0","2","0","33","0","0","8","0","8","54","58","56","58","25","58","58","50","58","50","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","5664","Auburn Online","106737","P","9th Grade","39","14","0","25","0","4","5","14","1","3","12","3","0","1","0","19","0","0","6","0","7","36","39","38","39","20","39","39","33","39","32","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","5664","Auburn Online","106737","P","AllGrades","657","297","0","360","8","95","78","224","32","91","129","139","0","24","0","376","1","3","92","7","78","518","657","633","657","281","656","654","565","650","579","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","5522","Auburn Opportunity Project","106153","R","11th Grade","2","1","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","2","2","2","2","2","2","2","2","2","1","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","5522","Auburn Opportunity Project","106153","R","12th Grade","58","33","0","25","0","3","7","15","3","6","24","2","0","0","0","31","1","1","26","2","1","56","58","58","58","27","57","57","32","56","57","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","5522","Auburn Opportunity Project","106153","R","AllGrades","60","34","0","26","0","3","7","16","3","6","25","2","0","0","0","31","1","1","26","2","2","58","60","60","60","29","59","59","34","58","58","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","4474","Auburn Riverside High School","101432","P","10th Grade","473","232","0","241","1","52","21","151","28","45","175","66","0","20","1","220","0","7","21","17","23","407","473","453","472","253","473","466","452","456","450","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","4474","Auburn Riverside High School","101432","P","11th Grade","467","226","0","241","2","69","33","148","16","30","169","67","0","13","1","207","0","3","16","18","29","400","467","454","466","260","467","464","451","449","438","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","4474","Auburn Riverside High School","101432","P","12th Grade","434","215","0","219","3","53","24","118","18","38","180","50","0","27","1","158","0","5","15","14","21","384","434","407","433","276","434","429","419","420","413","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","4474","Auburn Riverside High School","101432","P","9th Grade","502","261","0","241","5","62","23","175","14","40","183","70","0","27","2","248","0","9","21","21","41","432","502","475","500","254","502","493","481","481","461","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","4474","Auburn Riverside High School","101432","P","AllGrades","1876","934","0","942","11","236","101","592","76","153","707","253","0","87","5","833","0","24","73","70","114","1623","1876","1789","1871","1043","1876","1852","1803","1806","1762","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","2795","Auburn Senior High School","101417","P","10th Grade","439","203","0","236","6","42","40","168","31","37","115","91","0","12","4","279","0","2","23","13","39","348","439","427","435","160","439","437","416","426","400","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","2795","Auburn Senior High School","101417","P","11th Grade","430","211","0","219","12","38","34","143","27","47","129","98","0","9","2","242","2","4","47","13","60","332","427","421","428","188","428","426","383","417","370","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","2795","Auburn Senior High School","101417","P","12th Grade","458","238","0","220","7","43","39","168","29","42","130","90","0","10","3","282","3","4","51","12","92","368","457","448","455","176","455","454","407","446","366","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","2795","Auburn Senior High School","101417","P","9th Grade","431","217","0","214","9","24","37","159","32","38","132","91","0","16","3","286","5","5","33","8","50","340","430","415","428","145","426","426","398","423","381","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","2795","Auburn Senior High School","101417","P","AllGrades","1758","869","0","889","34","147","150","638","119","164","506","370","0","47","12","1089","10","15","154","46","241","1388","1753","1711","1746","669","1748","1743","1604","1712","1517","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","5610","Bowman Creek Elementary","106392","P","1st Grade","67","36","0","31","1","16","4","9","2","7","28","14","0","1","0","13","0","0","1","1","10","53","67","66","67","54","67","67","66","66","57","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","5610","Bowman Creek Elementary","106392","P","2nd Grade","65","31","0","34","1","13","3","10","9","5","24","17","0","4","0","27","0","0","3","1","8","48","65","61","65","38","65","65","62","64","57","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","5610","Bowman Creek Elementary","106392","P","3rd Grade","59","24","0","35","2","8","1","13","6","9","20","12","0","4","0","24","0","2","0","0","6","47","59","55","59","35","59","57","59","59","53","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","5610","Bowman Creek Elementary","106392","P","4th Grade","67","37","0","30","0","12","3","9","8","10","25","13","0","1","1","24","0","0","2","0","4","54","67","66","66","43","67","67","65","67","63","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","5610","Bowman Creek Elementary","106392","P","5th Grade","57","29","0","28","0","6","6","13","6","7","19","12","0","3","0","23","0","2","2","1","3","45","57","54","57","34","57","55","55","56","54","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","5610","Bowman Creek Elementary","106392","P","AllGrades","415","202","0","213","4","67","33","69","36","49","157","85","0","13","1","143","0","5","12","3","55","330","415","402","414","272","415","410","403","412","360","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","5610","Bowman Creek Elementary","106392","P","Kindergarten","76","34","0","42","0","10","9","9","5","10","33","17","0","0","0","30","0","0","3","0","14","59","76","76","76","46","76","76","73","76","62","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","5610","Bowman Creek Elementary","106392","P","Pre-Kindergarten","24","11","0","13","0","2","7","6","0","1","8","0","0","0","0","2","0","1","1","0","10","24","24","24","24","22","24","23","23","24","14","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","2394","Cascade Middle School","101414","P","6th Grade","280","131","0","149","0","35","19","76","18","29","103","60","0","15","2","170","0","1","16","2","31","220","280","265","278","110","280","279","264","278","249","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","2394","Cascade Middle School","101414","P","7th Grade","302","141","0","161","2","24","31","94","23","28","100","64","0","21","0","212","1","2","15","2","34","238","301","281","302","90","301","300","287","300","268","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","2394","Cascade Middle School","101414","P","8th Grade","300","160","0","140","3","34","20","85","29","34","95","49","0","14","1","190","0","0","15","3","40","251","299","286","299","110","300","300","285","297","260","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","2394","Cascade Middle School","101414","P","AllGrades","882","432","0","450","5","93","70","255","70","91","298","173","0","50","3","572","1","3","46","7","105","709","880","832","879","310","881","879","836","875","777","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","3439","Chinook Elementary School","101421","P","1st Grade","80","42","0","38","4","8","2","41","5","9","11","36","0","0","0","55","1","0","5","0","17","44","80","80","80","25","79","80","75","80","63","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","3439","Chinook Elementary School","101421","P","2nd Grade","75","39","0","36","8","3","4","33","8","8","11","32","0","1","0","52","0","1","8","0","18","43","75","74","75","23","75","74","67","75","57","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","3439","Chinook Elementary School","101421","P","3rd Grade","71","35","0","36","4","4","4","39","4","7","9","29","0","1","1","59","3","0","2","0","17","42","71","70","70","12","68","71","69","71","54","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","3439","Chinook Elementary School","101421","P","4th Grade","75","40","0","35","8","3","4","30","12","6","12","21","0","0","2","54","1","0","7","1","7","54","75","75","73","21","74","75","68","74","68","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","3439","Chinook Elementary School","101421","P","5th Grade","63","30","0","33","11","4","3","24","5","6","10","20","0","0","2","52","0","0","5","1","12","43","62","63","61","11","63","63","58","62","51","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","3439","Chinook Elementary School","101421","P","AllGrades","464","244","0","220","44","29","25","210","43","44","69","163","0","2","7","340","5","2","39","2","90","301","463","462","457","124","459","462","425","462","374","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","3439","Chinook Elementary School","101421","P","Kindergarten","65","42","0","23","8","3","5","27","6","5","11","25","0","0","2","44","0","1","7","0","9","40","65","65","63","21","65","64","58","65","56","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","3439","Chinook Elementary School","101421","P","Pre-Kindergarten","35","16","0","19","1","4","3","16","3","3","5","0","0","0","0","24","0","0","5","0","10","35","35","35","35","11","35","35","30","35","25","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","2932","Dick Scobee Elementary School","101418","P","1st Grade","96","43","0","53","0","17","16","23","11","8","21","41","0","0","1","79","0","0","4","1","15","55","95","96","95","17","96","96","92","95","81","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","2932","Dick Scobee Elementary School","101418","P","2nd Grade","114","50","0","64","0","17","17","23","8","10","39","37","0","1","3","88","0","0","1","0","17","77","114","113","111","26","114","114","113","114","97","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","2932","Dick Scobee Elementary School","101418","P","3rd Grade","103","52","0","51","0","12","14","22","10","14","31","45","0","2","4","93","0","2","4","1","14","58","102","101","99","10","103","101","99","102","89","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","2932","Dick Scobee Elementary School","101418","P","4th Grade","101","50","0","51","0","9","14","35","8","10","25","34","0","0","0","85","0","0","6","1","13","67","101","101","101","16","101","101","95","100","88","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","2932","Dick Scobee Elementary School","101418","P","5th Grade","84","46","0","38","1","5","13","24","12","11","18","21","0","1","1","70","0","0","1","2","14","63","84","83","83","14","84","84","83","82","70","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","2932","Dick Scobee Elementary School","101418","P","AllGrades","729","349","0","380","1","105","100","201","63","74","185","242","0","4","9","590","0","3","33","5","111","487","725","725","720","139","729","726","696","724","618","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","2932","Dick Scobee Elementary School","101418","P","Kindergarten","150","75","0","75","0","32","21","39","12","14","32","64","0","0","0","119","0","1","8","0","8","86","148","150","150","31","150","149","142","150","142","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","2932","Dick Scobee Elementary School","101418","P","Pre-Kindergarten","81","33","0","48","0","13","5","35","2","7","19","0","0","0","0","56","0","0","9","0","30","81","81","81","81","25","81","81","72","81","51","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","3745","Evergreen Heights Elementary","101424","P","1st Grade","84","43","0","41","0","28","7","22","5","8","14","30","0","1","0","38","0","2","1","0","5","54","84","83","84","46","84","82","83","84","79","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","3745","Evergreen Heights Elementary","101424","P","2nd Grade","92","45","0","47","0","25","9","19","5","14","20","34","0","6","1","46","0","1","3","1","6","58","92","86","91","46","92","91","89","91","86","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","3745","Evergreen Heights Elementary","101424","P","3rd Grade","83","40","0","43","0","14","8","26","2","11","22","26","0","3","0","44","0","1","1","2","6","57","83","80","83","39","83","82","82","81","77","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","3745","Evergreen Heights Elementary","101424","P","4th Grade","76","34","0","42","0","22","7","17","4","6","20","31","0","2","0","44","0","1","4","1","9","45","76","74","76","32","76","75","72","75","67","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","3745","Evergreen Heights Elementary","101424","P","5th Grade","84","43","0","41","0","11","10","30","5","5","23","28","0","0","0","43","0","1","3","0","9","56","84","84","84","41","84","83","81","84","75","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","3745","Evergreen Heights Elementary","101424","P","AllGrades","497","242","0","255","0","125","48","132","26","50","116","177","0","12","1","246","0","7","15","4","44","320","497","485","496","251","497","490","482","493","453","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","3745","Evergreen Heights Elementary","101424","P","Kindergarten","78","37","0","41","0","25","7","18","5","6","17","28","0","0","0","31","0","1","3","0","9","50","78","78","78","47","78","77","75","78","69","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","3669","Gildo Rey Elementary School","101423","P","1st Grade","62","36","0","26","1","3","6","40","1","2","9","36","0","0","0","49","0","0","3","0","8","26","61","62","62","13","62","62","59","62","54","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","3669","Gildo Rey Elementary School","101423","P","2nd Grade","52","25","0","27","0","4","1","37","2","1","7","35","0","0","0","47","0","0","3","0","7","17","52","52","52","5","52","52","49","52","45","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","3669","Gildo Rey Elementary School","101423","P","3rd Grade","58","28","0","30","0","1","1","40","1","4","11","31","0","0","0","49","0","0","2","0","9","27","58","58","58","9","58","58","56","58","49","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","3669","Gildo Rey Elementary School","101423","P","4th Grade","50","22","0","28","0","1","5","35","1","2","6","23","0","1","0","41","0","0","2","0","8","27","50","49","50","9","50","50","48","50","42","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","3669","Gildo Rey Elementary School","101423","P","5th Grade","78","36","0","42","0","3","6","58","0","2","9","40","0","0","0","63","0","0","6","0","9","38","78","78","78","15","78","78","72","78","69","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","3669","Gildo Rey Elementary School","101423","P","AllGrades","391","188","0","203","1","15","32","259","10","15","59","200","0","1","0","310","0","2","20","0","53","191","390","390","391","81","391","389","371","391","338","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","3669","Gildo Rey Elementary School","101423","P","Kindergarten","58","25","0","33","0","2","5","35","4","3","9","35","0","0","0","36","0","1","2","0","2","23","58","58","58","22","58","57","56","58","56","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","3669","Gildo Rey Elementary School","101423","P","Pre-Kindergarten","33","16","0","17","0","1","8","14","1","1","8","0","0","0","0","25","0","1","2","0","10","33","33","33","33","8","33","32","31","33","23","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","4347","Hazelwood Elementary School","101428","P","1st Grade","74","31","0","43","1","14","4","24","0","5","26","28","0","0","0","33","0","0","4","1","9","46","74","74","74","41","74","74","70","73","65","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","4347","Hazelwood Elementary School","101428","P","2nd Grade","93","55","0","38","0","12","7","27","1","9","37","33","0","4","0","41","0","1","1","0","12","60","93","89","93","52","93","92","92","93","81","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","4347","Hazelwood Elementary School","101428","P","3rd Grade","102","44","0","58","2","19","8","28","0","10","35","28","0","3","0","51","0","0","4","0","14","74","102","99","102","51","102","102","98","102","88","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","4347","Hazelwood Elementary School","101428","P","4th Grade","83","32","0","51","0","12","7","17","3","11","33","9","0","6","0","46","1","1","5","0","11","74","83","77","83","37","82","82","78","83","72","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","4347","Hazelwood Elementary School","101428","P","5th Grade","68","40","0","28","1","10","9","12","2","7","27","7","0","3","0","39","0","0","3","1","9","61","68","65","68","29","68","68","65","67","59","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","4347","Hazelwood Elementary School","101428","P","AllGrades","503","247","0","256","4","80","43","123","6","49","198","126","0","16","0","247","1","3","20","2","63","377","503","487","503","256","502","500","483","501","440","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","4347","Hazelwood Elementary School","101428","P","Kindergarten","83","45","0","38","0","13","8","15","0","7","40","21","0","0","0","37","0","1","3","0","8","62","83","83","83","46","83","82","80","83","75","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","4417","Ilalko Elementary School","101430","P","1st Grade","63","34","0","29","1","7","5","21","5","7","17","18","0","2","1","37","0","0","2","2","5","45","63","61","62","26","63","63","61","61","58","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","4417","Ilalko Elementary School","101430","P","2nd Grade","76","36","0","40","2","6","6","20","6","8","28","23","0","2","0","42","0","0","5","0","7","53","76","74","76","34","76","76","71","76","69","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","4417","Ilalko Elementary School","101430","P","3rd Grade","80","34","0","46","0","7","1","30","6","10","26","26","0","1","0","53","0","2","4","2","6","54","80","79","80","27","80","78","76","78","74","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","4417","Ilalko Elementary School","101430","P","4th Grade","66","23","0","43","0","9","5","19","7","2","24","22","0","0","0","43","0","1","2","3","8","44","66","66","66","23","66","65","64","63","58","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","4417","Ilalko Elementary School","101430","P","5th Grade","85","44","0","41","2","11","3","29","2","13","25","16","0","3","0","54","0","0","3","1","11","69","84","82","85","31","85","85","82","84","74","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","4417","Ilalko Elementary School","101430","P","AllGrades","466","214","0","252","6","50","29","152","31","48","150","132","0","8","1","275","0","5","21","8","55","334","464","458","465","191","466","461","445","458","411","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","4417","Ilalko Elementary School","101430","P","Kindergarten","72","34","0","38","1","4","7","28","5","7","20","27","0","0","0","38","0","1","0","0","9","45","71","72","72","34","72","71","72","72","63","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","4417","Ilalko Elementary School","101430","P","Pre-Kindergarten","24","9","0","15","0","6","2","5","0","1","10","0","0","0","0","8","0","1","5","0","9","24","24","24","24","16","24","23","19","24","15","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","4120","Lake View Elementary School","101427","P","1st Grade","66","25","0","41","0","4","2","21","1","5","33","15","0","1","0","29","0","0","0","2","10","51","66","65","66","37","66","66","66","64","56","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","4120","Lake View Elementary School","101427","P","2nd Grade","57","23","0","34","2","2","0","13","0","4","36","13","0","1","0","23","0","1","4","1","10","44","57","56","57","34","57","56","53","56","47","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","4120","Lake View Elementary School","101427","P","3rd Grade","97","49","0","48","0","6","1","24","2","5","59","18","0","6","0","39","0","2","1","1","18","79","97","91","97","58","97","95","96","96","79","2022-04-22T00:00:00.000"
"2021-22","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","4120","Lake View Elementary School","101427","P","4th Grade","64","32","0","32","0","5","2","23","0","3","31","11","0","1","1","31","0","1","1","0","10","53","64","63","63","33","64","63","63","64","54","2022-04-22T00:00:00.000"
