"schoolyear","organizationlevel","county","esdname","esdorganizationid","districtcode","districtname","districtorganizationid","schoolcode","schoolname","schoolorganizationid","currentschooltype","gradelevel","all_students","female","gender_x","male","american_indian_alaskan_native","asian","black_african_american","hispanic_latino_of_any_race","native_hawaiian_other_pacific","two_or_more_races","white","english_language_learners","foster_care","homeless","low_income","migrant","military_parent","mobile","section_504","students_with_disabilities","non_english_language_learners","non_foster_care","non_homeless","non_low_income","non_migrant","non_military_parent","non_mobile","non_section_504","students_without_disabilities","dataasof"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2834","A J West Elementary","100863","P","1st Grade","73","38","0","35","1","1","0","22","0","11","38","14","3","5","61","2","0","4","0","14","59","70","68","12","71","73","69","73","59","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2834","A J West Elementary","100863","P","2nd Grade","69","31","0","38","5","1","0","31","0","2","30","12","1","0","61","2","0","1","0","12","57","68","69","8","67","69","68","69","57","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2834","A J West Elementary","100863","P","3rd Grade","51","27","0","24","1","0","0","16","0","6","28","7","3","1","42","2","0","6","0","12","44","48","50","9","49","51","45","51","39","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2834","A J West Elementary","100863","P","4th Grade","56","26","0","30","0","0","2","27","0","4","23","9","0","5","46","2","0","3","0","7","47","56","51","10","54","56","53","56","49","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2834","A J West Elementary","100863","P","5th Grade","47","22","0","25","1","0","0","17","0","8","21","5","1","2","38","4","0","4","1","13","42","46","45","9","43","47","43","46","34","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2834","A J West Elementary","100863","P","6th Grade","64","27","0","37","3","1","0","23","0","4","33","9","2","3","50","6","0","4","0","9","55","62","61","14","58","64","60","64","55","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2834","A J West Elementary","100863","P","AllGrades","442","205","0","237","14","3","2","169","0","38","216","70","13","23","365","21","0","24","1","83","372","429","419","77","421","442","418","441","359","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2834","A J West Elementary","100863","P","Kindergarten","55","21","0","34","2","0","0","25","0","2","26","14","3","6","48","3","0","2","0","12","41","52","49","7","52","55","53","55","43","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2834","A J West Elementary","100863","P","Pre-Kindergarten","27","13","0","14","1","0","0","8","0","1","17","0","0","1","19","0","0","0","0","4","27","27","26","8","27","27","27","27","23","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","3216","Central Park Elementary","100867","P","1st Grade","24","13","0","11","1","0","0","5","0","1","17","2","1","2","13","1","0","3","0","4","22","23","22","11","23","24","21","24","20","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","3216","Central Park Elementary","100867","P","2nd Grade","36","19","0","17","1","0","0","7","0","6","22","2","1","1","17","0","0","3","0","4","34","35","35","19","36","36","33","36","32","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","3216","Central Park Elementary","100867","P","3rd Grade","22","10","0","12","0","0","0","3","0","2","17","1","0","0","6","0","0","1","0","6","21","22","22","16","22","22","21","22","16","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","3216","Central Park Elementary","100867","P","4th Grade","21","13","0","8","0","0","0","0","0","3","18","0","0","1","13","0","0","0","0","1","21","21","20","8","21","21","21","21","20","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","3216","Central Park Elementary","100867","P","5th Grade","19","8","0","11","0","1","0","2","0","3","13","1","0","1","6","0","0","1","0","3","18","19","18","13","19","19","18","19","16","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","3216","Central Park Elementary","100867","P","6th Grade","19","7","0","12","0","1","0","4","0","1","13","3","1","1","10","1","0","0","0","2","16","18","18","9","18","19","19","19","17","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","3216","Central Park Elementary","100867","P","AllGrades","190","92","0","98","2","2","0","29","0","20","137","11","3","6","90","3","0","10","0","27","179","187","184","100","187","190","180","190","163","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","3216","Central Park Elementary","100867","P","Kindergarten","31","17","0","14","0","0","0","6","0","0","25","2","0","0","16","1","0","0","0","1","29","31","31","15","30","31","31","31","30","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","3216","Central Park Elementary","100867","P","Pre-Kindergarten","18","5","0","13","0","0","0","2","0","4","12","0","0","0","9","0","0","2","0","6","18","18","18","9","18","18","16","18","12","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","4267","Grays Harbor Juvenile Detention","100871","J","10th Grade","9","0","0","9","1","0","0","2","0","1","5","0","0","0","8","0","0","9","0","1","9","9","9","1","9","9","0","9","8","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","4267","Grays Harbor Juvenile Detention","100871","J","11th Grade","4","2","0","2","1","0","0","1","0","0","2","0","1","0","4","0","0","4","0","0","4","3","4","0","4","4","0","4","4","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","4267","Grays Harbor Juvenile Detention","100871","J","12th Grade","4","1","0","3","2","0","0","0","0","0","2","0","1","0","4","0","0","4","0","1","4","3","4","0","4","4","0","4","3","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","4267","Grays Harbor Juvenile Detention","100871","J","7th Grade","1","0","0","1","0","0","0","0","0","0","1","0","1","0","1","0","0","1","0","0","1","0","1","0","1","1","0","1","1","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","4267","Grays Harbor Juvenile Detention","100871","J","9th Grade","4","0","0","4","0","0","0","2","0","1","1","0","0","1","4","0","0","4","0","0","4","4","3","0","4","4","0","4","4","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","4267","Grays Harbor Juvenile Detention","100871","J","AllGrades","22","3","0","19","4","0","0","5","0","2","11","0","3","1","21","0","0","22","0","2","22","19","21","1","22","22","0","22","20","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","3857","Harbor High School","100869","P","10th Grade","17","6","0","11","0","0","0","2","0","2","13","0","1","3","15","1","0","6","0","3","17","16","14","2","16","17","11","17","14","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","3857","Harbor High School","100869","P","11th Grade","55","24","0","31","2","0","0","11","0","5","37","0","1","15","42","1","0","14","0","8","55","54","40","13","54","55","41","55","47","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","3857","Harbor High School","100869","P","12th Grade","49","25","0","24","1","0","0","8","0","6","34","0","1","19","39","0","0","15","1","7","49","48","30","10","49","49","34","48","42","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","3857","Harbor High School","100869","P","9th Grade","9","2","0","7","0","0","0","4","0","0","5","0","0","5","9","0","0","5","0","1","9","9","4","0","9","9","4","9","8","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","3857","Harbor High School","100869","P","AllGrades","130","57","0","73","3","0","0","25","0","13","89","0","3","42","105","2","0","40","1","19","130","127","88","25","128","130","90","129","111","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","3154","Hopkins Elementary","100866","P","AllGrades","69","30","0","39","3","1","0","21","1","7","36","0","0","3","47","0","0","3","0","41","69","69","66","22","69","69","66","69","28","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","3154","Hopkins Elementary","100866","P","Pre-Kindergarten","69","30","0","39","3","1","0","21","1","7","36","0","0","3","47","0","0","3","0","41","69","69","66","22","69","69","66","69","28","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","3476","J M Weatherwax High School","100868","P","10th Grade","253","114","0","139","3","3","1","68","1","19","158","10","4","18","142","3","0","22","4","22","243","249","235","111","250","253","231","249","231","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","3476","J M Weatherwax High School","100868","P","11th Grade","227","123","0","104","0","8","1","38","2","27","151","10","0","22","105","5","0","24","7","21","217","227","205","122","222","227","203","220","206","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","3476","J M Weatherwax High School","100868","P","12th Grade","181","95","0","86","2","3","1","36","1","18","120","7","0","17","92","3","0","11","2","23","174","181","164","89","178","181","170","179","158","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","3476","J M Weatherwax High School","100868","P","9th Grade","283","139","0","144","2","6","3","62","2","33","175","11","1","9","153","7","0","35","8","29","272","282","274","130","276","283","248","275","254","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","3476","J M Weatherwax High School","100868","P","AllGrades","944","471","0","473","7","20","6","204","6","97","604","38","5","66","492","18","0","92","21","95","906","939","878","452","926","944","852","923","849","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2449","McDermoth Elementary","100861","P","1st Grade","48","26","0","22","3","2","2","8","0","3","30","5","2","3","32","3","0","4","1","2","43","46","45","16","45","48","44","47","46","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2449","McDermoth Elementary","100861","P","2nd Grade","60","29","0","31","1","0","1","11","0","9","38","4","0","7","31","0","0","5","0","8","56","60","53","29","60","60","55","60","52","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2449","McDermoth Elementary","100861","P","3rd Grade","61","25","0","36","1","3","1","7","0","9","40","4","0","2","38","2","0","4","1","15","57","61","59","23","59","61","57","60","46","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2449","McDermoth Elementary","100861","P","4th Grade","57","31","0","26","1","1","1","11","0","5","38","2","1","1","29","3","0","3","1","7","55","56","56","28","54","57","54","56","50","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2449","McDermoth Elementary","100861","P","5th Grade","57","30","0","27","1","1","0","21","0","7","27","9","1","2","35","5","0","2","0","19","48","56","55","22","52","57","55","57","38","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2449","McDermoth Elementary","100861","P","6th Grade","61","31","0","30","2","2","2","12","1","4","38","3","0","6","36","2","0","2","0","11","58","61","55","25","59","61","59","61","50","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2449","McDermoth Elementary","100861","P","AllGrades","400","200","0","200","12","10","7","85","1","40","245","37","4","25","232","17","0","23","4","66","363","396","375","168","383","400","377","396","334","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2449","McDermoth Elementary","100861","P","Kindergarten","56","28","0","28","3","1","0","15","0","3","34","10","0","4","31","2","0","3","1","4","46","56","52","25","54","56","53","55","52","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2305","Miller Junior High","100860","P","7th Grade","246","113","0","133","2","4","0","61","2","13","164","14","2","15","153","6","0","12","1","39","232","244","231","93","240","246","234","245","207","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2305","Miller Junior High","100860","P","8th Grade","253","119","0","134","7","5","0","48","0","17","176","15","4","12","162","7","0","28","7","32","238","249","241","91","246","253","225","246","221","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2305","Miller Junior High","100860","P","AllGrades","499","232","0","267","9","9","0","109","2","30","340","29","6","27","315","13","0","40","8","71","470","493","472","184","486","499","459","491","428","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2763","Robert Gray Elementary","100862","P","1st Grade","37","19","0","18","2","0","0","7","0","1","27","5","2","1","26","1","0","7","0","8","32","35","36","11","36","37","30","37","29","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2763","Robert Gray Elementary","100862","P","2nd Grade","36","15","0","21","3","0","0","7","0","4","22","2","0","1","32","0","0","4","0","9","34","36","35","4","36","36","32","36","27","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2763","Robert Gray Elementary","100862","P","3rd Grade","33","18","0","15","0","1","0","3","1","0","28","2","1","1","23","0","0","3","0","5","31","32","32","10","33","33","30","33","28","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2763","Robert Gray Elementary","100862","P","4th Grade","38","16","0","22","0","0","0","12","0","1","25","3","1","2","24","1","0","2","0","9","35","37","36","14","37","38","36","38","29","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2763","Robert Gray Elementary","100862","P","5th Grade","42","18","0","24","1","0","0","8","0","0","33","2","1","1","32","0","0","2","0","7","40","41","41","10","42","42","40","42","35","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2763","Robert Gray Elementary","100862","P","6th Grade","33","18","0","15","1","0","1","7","0","0","24","2","1","0","25","1","0","0","0","9","31","32","33","8","32","33","33","33","24","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2763","Robert Gray Elementary","100862","P","AllGrades","286","140","0","146","10","1","1","65","1","11","197","23","7","9","212","4","0","21","0","56","263","279","277","74","282","286","265","286","230","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2763","Robert Gray Elementary","100862","P","Kindergarten","40","17","0","23","2","0","0","14","0","3","21","7","1","2","29","1","0","2","0","6","33","39","38","11","39","40","38","40","34","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2763","Robert Gray Elementary","100862","P","Pre-Kindergarten","27","19","0","8","1","0","0","7","0","2","17","0","0","1","21","0","0","1","0","3","27","27","26","6","27","27","26","27","24","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2971","Stevens Elementary School","100864","P","1st Grade","75","39","0","36","1","0","0","24","0","11","39","16","2","8","64","2","0","6","0","11","59","73","67","11","73","75","69","75","64","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2971","Stevens Elementary School","100864","P","2nd Grade","50","31","0","19","0","0","0","16","0","13","21","4","2","4","44","0","0","2","0","8","46","48","46","6","50","50","48","50","42","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2971","Stevens Elementary School","100864","P","3rd Grade","63","31","0","32","3","0","0","15","0","6","39","9","2","10","52","2","0","5","0","14","54","61","53","11","61","63","58","63","49","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2971","Stevens Elementary School","100864","P","4th Grade","53","21","0","32","1","3","0","18","0","7","24","9","2","8","46","2","0","5","0","7","44","51","45","7","51","53","48","53","46","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2971","Stevens Elementary School","100864","P","5th Grade","61","28","0","33","2","2","1","14","0","6","36","6","3","9","53","2","0","4","2","10","55","58","52","8","59","61","57","59","51","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2971","Stevens Elementary School","100864","P","6th Grade","67","31","0","36","0","0","1","20","0","10","36","8","1","8","54","3","0","3","0","16","59","66","59","13","64","67","64","67","51","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2971","Stevens Elementary School","100864","P","AllGrades","495","232","0","263","8","7","2","150","0","70","258","70","14","55","421","13","0","33","2","88","425","481","440","74","482","495","462","493","407","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2971","Stevens Elementary School","100864","P","Kindergarten","78","30","0","48","1","1","0","29","0","6","41","18","2","6","68","2","0","7","0","12","60","76","72","10","76","78","71","78","66","2020-05-22T00:00:00.000"
"2010-11","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2971","Stevens Elementary School","100864","P","Pre-Kindergarten","48","21","0","27","0","1","0","14","0","11","22","0","0","2","40","0","0","1","0","10","48","48","46","8","48","48","47","48","38","2020-05-22T00:00:00.000"
"2010-11","School","Lewis","Capital Region ESD 113","100004","21226","Adna School District","100011","2227","Adna Elementary School","101834","P","1st Grade","44","20","0","24","1","0","1","3","0","2","37","0","1","0","14","0","0","3","0","3","44","43","44","30","44","44","41","44","41","2020-05-22T00:00:00.000"
"2010-11","School","Lewis","Capital Region ESD 113","100004","21226","Adna School District","100011","2227","Adna Elementary School","101834","P","2nd Grade","40","21","0","19","0","0","0","0","0","2","38","0","0","0","10","0","0","0","0","3","40","40","40","30","40","40","40","40","37","2020-05-22T00:00:00.000"
"2010-11","School","Lewis","Capital Region ESD 113","100004","21226","Adna School District","100011","2227","Adna Elementary School","101834","P","3rd Grade","47","24","0","23","0","1","0","3","0","2","41","0","0","1","24","0","0","3","0","7","47","47","46","23","47","47","44","47","40","2020-05-22T00:00:00.000"
"2010-11","School","Lewis","Capital Region ESD 113","100004","21226","Adna School District","100011","2227","Adna Elementary School","101834","P","4th Grade","53","27","0","26","0","0","0","4","0","3","46","0","0","2","20","0","0","2","0","6","53","53","51","33","53","53","51","53","47","2020-05-22T00:00:00.000"
"2010-11","School","Lewis","Capital Region ESD 113","100004","21226","Adna School District","100011","2227","Adna Elementary School","101834","P","5th Grade","41","15","0","26","1","0","0","0","0","2","38","0","0","0","10","0","0","0","0","4","41","41","41","31","41","41","41","41","37","2020-05-22T00:00:00.000"
"2010-11","School","Lewis","Capital Region ESD 113","100004","21226","Adna School District","100011","2227","Adna Elementary School","101834","P","AllGrades","259","117","0","142","2","1","1","12","0","14","229","0","1","3","89","0","0","10","0","30","259","258","256","170","259","259","249","259","229","2020-05-22T00:00:00.000"
"2010-11","School","Lewis","Capital Region ESD 113","100004","21226","Adna School District","100011","2227","Adna Elementary School","101834","P","Half-day Kindergarten","29","9","0","20","0","0","0","1","0","2","26","0","0","0","9","0","0","1","0","4","29","29","29","20","29","29","28","29","25","2020-05-22T00:00:00.000"
"2010-11","School","Lewis","Capital Region ESD 113","100004","21226","Adna School District","100011","2227","Adna Elementary School","101834","P","Kindergarten","2","1","0","1","0","0","0","1","0","0","1","0","0","0","2","0","0","1","0","0","2","2","2","0","2","2","1","2","2","2020-05-22T00:00:00.000"
"2010-11","School","Lewis","Capital Region ESD 113","100004","21226","Adna School District","100011","2227","Adna Elementary School","101834","P","Pre-Kindergarten","3","0","0","3","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","3","3","3","3","3","3","3","3","3","0","2020-05-22T00:00:00.000"
"2010-11","School","Lewis","Capital Region ESD 113","100004","21226","Adna School District","100011","2441","Adna Middle/High School","101835","P","10th Grade","41","18","0","23","0","2","0","1","0","2","36","0","0","1","13","0","0","0","0","4","41","41","40","28","41","41","41","41","37","2020-05-22T00:00:00.000"
"2010-11","School","Lewis","Capital Region ESD 113","100004","21226","Adna School District","100011","2441","Adna Middle/High School","101835","P","11th Grade","57","22","0","35","0","0","0","1","0","3","53","0","0","1","14","0","0","1","0","3","57","57","56","43","57","57","56","57","54","2020-05-22T00:00:00.000"
"2010-11","School","Lewis","Capital Region ESD 113","100004","21226","Adna School District","100011","2441","Adna Middle/High School","101835","P","12th Grade","40","16","0","24","0","0","0","1","0","1","38","0","0","0","12","0","0","5","1","1","40","40","40","28","40","40","35","39","39","2020-05-22T00:00:00.000"
"2010-11","School","Lewis","Capital Region ESD 113","100004","21226","Adna School District","100011","2441","Adna Middle/High School","101835","P","6th Grade","57","26","0","31","0","1","0","2","0","2","52","0","0","0","18","0","0","3","0","6","57","57","57","39","57","57","54","57","51","2020-05-22T00:00:00.000"
