"idnum","pais","estratopri","upm","braprov","prov","bramunicipio","municipio","bradistrito","bradistrito_cod","brasegmento","brasec","cluster","ur","tamano","idiomaq","hora_inicio","data","q1","ls3","a4","soct1","soct2","soct3","resp6","idio1","idio2","idio3","cp2","cp4a","cp4","cp5bra","np1","np2","muni10","sgl1","cp5","cp6","cp7","cp8","cp9","cp13","cp20","bracp21","ls6","ls6a","it1","l1","prot3","prot4","y4","jc1","jc10","jc13","jc15a","jc16a","vic1ext","vic1exta","vic2","vic2aa","vic1hogar","aoj8","aoj11","aoj11a","aoj12","aoj17","b1","b2","b3","b4","b6","b10a","b11","b12","b13","b14","b18","b20","b20a","b21","b21a","b31","b32","b43","b37","b47","b48","brab49","brab50","resp0","resp1","resp2","resp3","resp4","resp5","n1","n3","n9","n11","n12","n15","braec3","braec4","wt1","wt2","m1","m2","m10","m11","pop101","pop102","pop103","pop107","pop113","eff1","eff2","ing4","dem23","ros1","ros2","ros3","ros4","ros5","ros6","rac3a","rac3b","rac3c","pn4","pn5","e5","e8","e11","e15","e14","e3","e16","d1","d2","d3","d4","d5","d6","dem2","dem11","aut1","pp1","pp2","exc2","exc6","exc11","exc13","exc14","exc15","exc16","exc18","exc7","per1","per2","per3","per4","per5","per6","per7","per8","per9","per10","rac2","crisis1","crisis2","vb1","vb2","vb3","vb60","vb10","vb11","pol1","vb20","vb61","clien1","clien2","rac1c","econ1a","econ1b","econ1c","econ1d","econ2","rac4","dis11","dis13","dis12","rac1a","rac1d","rac1e","cct1","edyear","ed","ed_","q2","y1","y2","y3","haicr1","q3c","q3cstring","q3ccode","q5a","q5b","q10","q10a","q10b","q10a3","q10c","q16","q14","q10d","q10e","q10f","q11","q12","q12a","q12abra","etid","leng1","www1","gl0","gl1","gl3","gl4","gl6","vb20bra","vb20brastring","vb20bracode","cct1bra","cct2bra","cct3bra","cct4bra","brait1","vb6a","vb6b","vb6c","vb6d","vb6e","vb6f","vb6g","vb6h","vb7a","vb7b","vb7c","vb7d","vb7h","vb7k","q13bra","r1","r3","r4","r4a","r5","r6","r7","r8","r12","r14","r15","r16","r18","r20","r21","r22","r23","r24","r25","ocup4a","ocup1a","ocup1","ocup1b1","ocup1b2","ocup1anc","pen1","pen3","pen4","sal1","sal2","sal4","colorr","hora_fim","ti","intid","sexi","colori","entrevistador","comentario","fidade","pesocorr","wt"
"575","15","1505","44","RS","1543","Pelotas","154314407","Tres Vendas","104","431400000000000.0","55","15","1","2","1","16:00:00","2010-04-08","2","1.0","11.0","3.0","2.0","2.0","3.0","3.0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","2.0",,"3.0","3.0","2.0","4.0","4.0","4.0","4.0","4.0","4.0",,"5.0","3.0",,"2.0",,,,"1.0",,"1.0","1.0","1.0",,"3.0","3.0","1.0","1.0","2.0","1.0","1.0","1.0","5.0","5.0","5.0","5.0","4.0","5.0","4.0","5.0","4.0","6.0","4.0","4.0","4.0","4.0","6.0","4.0","6.0","6.0","5.0","4.0","5.0","4.0","4.0","6.0","6.0","5.0","5.0","5.0","5.0","6.0","5.0","5.0","4.0","4.0","5.0","5.0","4.0","3.0","5.0","2.0","3.0","3.0","3.0","5.0","4.0","5.0","5.0","4.0","5.0","4.0","6.0","4.0","4.0","5.0","5.0","6.0","5.0","6.0","5.0","5.0","4.0","2.0","1.0","5.0","5.0","4.0","4.0","6.0","4.0","4.0","7.0","6.0","6.0","4.0","5.0","4.0","2.0","2.0","2.0","4.0","2.0","0.0","0.0",,,,"0.0",,"0.0","3.0","6.0","4.0","5.0","4.0","6.0","5.0","5.0","3.0","3.0","2.0","6.0","1.0","2.0","1.0","1.0","1501.0","2.0","2.0",,"4.0","3.0","2.0","3.0",,"5.0","1.0","3.0","4.0",,"3.0","3.0","4.0","4.0","4.0","4.0","4.0","4.0","2.0","5.0","16.0","universidade","23.0","4.0","1.0",,"11.0","5.0","nao informou",,"4.0","2.0","4.0","2.0",,,"4.0",,,"2.0","2.0",,"1.0","0.0",,,"1.0","1501.0","1.0","4.0","1.0","1.0","1.0",,"2.0",,,"2.0","2.0","1.0","2.0","2.0","5.0","6.0","4.0","5.0","2.0","1.0","4.0","2.0","1.0","2.0","2.0","1.0","2.0","3.0","4.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","4.0",,,"4.0","2.0","7.0","2.0",,,"2.0",,,"3","16:55:00","00:55:00","3055083555","1","3","Wagner Pedrotti",,"1","1.065711","1.0069350000000001"
"576","15","1505","44","RS","1543","Pelotas","154314407","Tres Vendas","104","431400000000000.0","55","15","1","2","1","10:10:00","2010-04-08","2","1.0","22.0","3.0","2.0","2.0","3.0","3.0","3.0",,"2.0","1.0","2.0","2.0","1.0","1.0","1.0","2.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0",,"5.0","2.0",,"2.0",,,,,,,,"2.0",,,,"1.0","2.0","2.0","2.0","3.0","1.0",,"4.0","5.0","5.0","4.0","5.0","5.0","4.0","4.0","6.0","4.0","4.0","5.0","4.0","6.0","4.0","5.0","5.0","5.0","5.0",,"4.0","4.0","6.0","6.0","5.0",,,"5.0","6.0","5.0","5.0","5.0","5.0","6.0","5.0","5.0","4.0","4.0","2.0","3.0","3.0","3.0",,,,,,"5.0","3.0","5.0","5.0","4.0","4.0","5.0","5.0","5.0","5.0","4.0","4.0","3.0","2.0","2.0","5.0","5.0","4.0","3.0","3.0","3.0","3.0","6.0","5.0","5.0","3.0","5.0","3.0","2.0","2.0","2.0","4.0","2.0","0.0","0.0",,,,"0.0","0.0","0.0","2.0","5.0","5.0","4.0","5.0","4.0","4.0","5.0","4.0","5.0","4.0","2.0","2.0","1.0","1.0","1.0","1501.0","2.0","2.0",,"4.0","2.0","2.0","3.0",,"1.0","1.0","2.0","3.0","4.0","2.0","2.0","4.0","4.0","4.0","4.0","4.0","4.0","2.0","3.0","3.0","primario","51.0",,,,,"2.0","nao informou",,"3.0","1.0","3.0","2.0",,,"4.0",,"2.0","2.0","2.0",,"2.0","3.0","2.0","1.0","1.0","1501.0","5.0","1.0",,,"1.0",,"1.0",,,"2.0","2.0","1.0","2.0","1.0","6.0","4.0","3.0","5.0","1.0","2.0","4.0","3.0","1.0","2.0","2.0","1.0","1.0","2.0","4.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","5.0",,,"4.0","1.0","10.0","1.0","2.0","1.0","2.0",,,"3","11:20:00","01:10:00","3055083555","1","3","Wagner Pedrotti",,"3","0.8648439","0.8171458"
"577","15","1505","44","RS","1543","Pelotas","154314407","Tres Vendas","104","431400000000000.0","55","15","1","2","1","13:30:00","2010-04-08","2","1.0","1.0","3.0","3.0","2.0","2.0","2.0","2.0","1.0","2.0","2.0","2.0","2.0","1.0","2.0",,"4.0","3.0","4.0","1.0","4.0","4.0","3.0","4.0","4.0","9.0","9.0","1.0","2.0","2.0",,,"2.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","1.0","2.0","1.0","4.0","1.0","2.0","1.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","1.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","5.0","5.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","3.0","3.0","3.0","1.0","2.0","3.0","3.0","1.0","1.0","1.0","1.0","1.0","3.0","3.0","1.0","1.0","1.0","2.0","2.0","2.0","2.0","1.0","5.0","5.0","1.0","1.0","1.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","2.0","2.0","2.0","2.0","1.0","0.0","0.0",,"0.0",,,"0.0","0.0","1.0",,,,,,"5.0",,,"5.0","2.0","3.0","2.0","6.0","1.0","1.0","1501.0","2.0","1.0","1501.0","1.0","2.0","2.0","3.0",,"3.0","4.0","3.0","1.0","2.0","1.0","5.0","4.0","4.0","4.0","2.0","2.0","2.0","2.0","6.0","17.0","universidade","39.0",,,,,"4.0",,,"4.0","3.0","4.0","2.0",,,"4.0",,,"2.0","1.0",,"2.0","3.0","3.0","1.0","1.0","1501.0","1.0","1.0","1.0","1.0","1.0","3.0","1.0",,,"2.0","2.0","1.0","1.0","1.0","10.0","5.0","5.0","5.0","1.0","2.0","2.0","2.0","1.0","1.0","1.0","2.0","2.0","3.0","5.0","1.0","1.0","1.0","1.0","2.0","1.0","1.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","3.0","3.0","2.0",,"1.0","2.0","1.0","1.0","3.0","1.0","3","14:30:00","01:00:00","3055083555","1","3","Wagner Pedrotti",,"2","1.0222870000000002","0.9659052"
"578","15","1505","44","RS","1543","Pelotas","154314407","Tres Vendas","104","431400000000000.0","55","15","1","2","1","17:50:00","2010-04-08","1","1.0","11.0","3.0","3.0","3.0","3.0","3.0","3.0","1.0","2.0","1.0","2.0","2.0","2.0","1.0","1.0","1.0","4.0","2.0","4.0","4.0","4.0","4.0",,"4.0","10.0","9.0","1.0","5.0","2.0",,,"2.0","2.0","2.0","2.0","2.0","1.0","1.0","2.0","2.0","1.0","2.0","2.0","1.0","1.0","1.0",,"5.0","4.0","6.0","3.0","4.0","4.0","4.0","5.0","5.0","6.0","5.0","6.0","7.0","6.0","5.0","6.0","6.0","5.0","6.0","5.0","6.0","6.0","5.0","5.0","5.0","4.0","4.0","3.0","6.0","6.0","6.0","6.0","6.0","6.0","5.0","5.0","5.0","5.0","2.0","2.0","2.0","2.0","3.0","3.0","3.0","3.0","3.0","2.0","2.0","4.0","4.0","5.0","5.0","5.0","5.0","5.0","5.0","1.0","2.0","1.0","2.0","2.0","8.0","8.0","8.0","7.0","6.0","3.0","3.0","8.0","8.0","8.0","8.0","8.0","8.0","1.0",,,"4.0","2.0","0.0","0.0",,"0.0","0.0",,,"0.0","2.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","1.0","8.0","1.0","1.0",,,"2.0",,"3.0","1.0","3.0","3.0",,"4.0","1.0","3.0","2.0","4.0","4.0","3.0","4.0","4.0","4.0","4.0","4.0","4.0","2.0","3.0","11.0","secundario","36.0",,,,,"2.0","Luterano","34.0","2.0","1.0","4.0","2.0",,,"4.0",,"2.0","3.0","2.0",,"5.0","1.0","0.0","2.0","1.0","1501.0","2.0","1.0","1.0",,"1.0",,,,,"2.0","2.0","1.0","2.0","1.0","8.0","8.0","8.0",,"1.0","3.0","3.0","3.0",,,,"1.0",,,,"1.0","1.0","1.0","1.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","2.0","2.0","1.0","2.0","10.0","1.0",,,"1.0","3.0","1.0","3","18:45:00","00:55:00","3055083555","1","3","Wagner Pedrotti",,"2","1.031081","0.9742141"
"579","15","1505","44","RS","1543","Pelotas","154314407","Tres Vendas","104","431400000000000.0","55","15","1","2","1","15:15:00","2010-04-09","2","2.0","22.0","4.0","1.0","3.0","2.0","4.0","3.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0",,"3.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0",,"5.0","2.0",,"2.0",,,"2.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","3.0","2.0","1.0","2.0","2.0","2.0","3.0","1.0","7.0","1.0","7.0","1.0","1.0","7.0","7.0","7.0","1.0","1.0","1.0","1.0","7.0","1.0","1.0","7.0","7.0","7.0","1.0","7.0","1.0","7.0","1.0","1.0","1.0","1.0","7.0","1.0","1.0","1.0","1.0","1.0","1.0","7.0","1.0","1.0","3.0","3.0","3.0","3.0","3.0","3.0","7.0","1.0","7.0","7.0","1.0","1.0","1.0","1.0","7.0","1.0","1.0","1.0","1.0","7.0","7.0","1.0","1.0","1.0","3.0","2.0","1.0","10.0","1.0","1.0","1.0","10.0","1.0",,,,,"1.0","1.0",,,"2.0","4.0","2.0","0.0","0.0",,,,"1.0","1.0","0.0","4.0","7.0","4.0","7.0","7.0","1.0","1.0","7.0","1.0","7.0","1.0","1.0","2.0",,"1.0",,,,"2.0",,"4.0","3.0","2.0",,,"5.0",,,,,"1.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","2.0","8.0","8.0","primario","41.0",,,,,"4.0",,,"5.0","2.0","3.0","2.0",,,"4.0",,"2.0","3.0","1.0",,"2.0","2.0","2.0","1.0","1.0","1501.0","2.0","1.0","2.0",,"1.0",,"2.0",,,"2.0","2.0","1.0","2.0","2.0","6.0","8.0","4.0","5.0","2.0","1.0","4.0","3.0","2.0","3.0","3.0","1.0","2.0","3.0","4.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","1.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","5.0",,,"2.0","2.0","4.0","1.0","2.0","2.0","2.0",,,"2","16:00:00","00:45:00","3055083555","1","3","Wagner Pedrotti",,"3","0.8648439","0.8171458"
"580","15","1505","44","RS","1543","Pelotas","154314407","Tres Vendas","104","431400000000000.0","55","15","1","2","1","16:10:00","2010-04-06","2","1.0","13.0","3.0","2.0","2.0","3.0","2.0","2.0","1.0","2.0","1.0","2.0","2.0","1.0","1.0","1.0","2.0","4.0","3.0","4.0","4.0","4.0","4.0","3.0","4.0",,"6.0","1.0",,"2.0",,,"1.0","1.0","1.0","1.0","1.0","2.0",,,,"1.0","2.0","2.0","3.0","2.0","1.0","5.0","5.0","4.0","5.0","4.0","5.0","4.0","5.0","5.0","5.0","5.0","5.0","4.0","4.0","4.0","4.0","5.0","6.0","4.0","6.0","5.0","4.0","4.0","6.0","5.0","5.0","5.0","4.0","5.0","6.0","5.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","3.0","3.0","3.0","3.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","3.0","3.0","2.0","2.0","4.0","4.0","3.0","3.0","3.0","3.0","3.0","7.0","6.0","6.0","4.0","6.0","3.0",,"1.0","1.0","3.0","2.0","0.0","0.0","0.0",,,"0.0","0.0","0.0","1.0","5.0","3.0","5.0","5.0","3.0","5.0","5.0","5.0","5.0","3.0","4.0","2.0","1.0","1.0","1.0","1501.0","2.0","1.0","1501.0","3.0","2.0","2.0","3.0",,"5.0","1.0","3.0","4.0","2.0","2.0","2.0","3.0","4.0","4.0","3.0","4.0","4.0","2.0","3.0","3.0","primario","40.0",,,,,"5.0","nao informou",,"3.0","1.0","3.0","2.0",,,"4.0",,,"2.0","2.0",,"2.0","2.0","2.0","1.0","4.0","1501.0","4.0","1.0","2.0",,"2.0",,"1.0",,,"2.0","1.0","1.0","1.0","2.0","6.0","4.0","3.0","5.0","1.0","3.0","4.0","2.0","1.0","2.0","2.0","1.0","1.0","2.0","4.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","1.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","5.0",,,"4.0","2.0","10.0","2.0",,,"2.0",,,"5","17:15:00","01:05:00","3055083555","1","3","Wagner Pedrotti",,"3","0.8648439","0.8171458"
"581","15","1505","44","RS","1543","Pelotas","154314407","Tres Vendas","104","431400000000000.0","55","15","1","2","1","16:10:00","2010-04-09","2","1.0","27.0","3.0","3.0","3.0","3.0","3.0","3.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0",,"2.0","4.0","2.0","4.0","4.0","4.0","4.0","2.0","4.0",,"5.0","2.0",,"2.0",,,,,,,,"1.0",,"1.0","2.0","1.0","2.0","2.0","3.0","3.0","1.0",,"4.0","5.0","4.0","4.0","5.0","5.0","6.0","5.0","4.0","4.0","4.0","5.0","5.0","6.0","5.0","6.0","6.0","5.0","4.0","4.0","4.0","4.0","6.0","5.0","5.0","5.0","5.0","4.0","6.0","6.0","5.0","5.0","4.0","5.0","5.0","4.0","4.0","4.0","1.0","3.0","3.0","3.0",,,,,,"5.0","4.0","4.0","5.0",,"5.0","6.0","6.0","6.0","6.0","5.0","4.0","4.0","2.0","2.0","5.0","5.0","5.0","4.0","4.0","4.0","4.0","5.0","5.0","5.0","4.0","5.0","3.0","2.0","2.0","2.0","4.0","2.0","0.0","0.0",,,,,"0.0","0.0","2.0","5.0","5.0","5.0","5.0","4.0","5.0","5.0","4.0","5.0","4.0","3.0","1.0","2.0","1.0","1.0","77.0","1.0","2.0",,"4.0","3.0","2.0","3.0",,"5.0",,,,,"3.0","3.0","4.0","4.0","4.0","4.0","4.0","4.0","2.0","4.0","4.0","primario","42.0",,,,,"8.0",,,"4.0","1.0","3.0","2.0",,,"4.0",,"2.0","2.0","2.0",,"2.0","1.0","1.0","1.0","1.0","1501.0","4.0","2.0","2.0",,"1.0",,"2.0",,,"2.0","2.0","1.0","2.0","1.0","5.0","6.0","3.0","4.0","2.0","1.0","4.0","3.0","1.0","2.0","2.0","1.0","1.0","2.0",,"1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","5.0",,,"4.0","1.0","11.0","2.0",,,"2.0",,,"2","17:15:00","01:05:00","3055083555","1","3","Wagner Pedrotti",,"3","0.8648439","0.8171458"
"582","15","1505","44","RS","1543","Pelotas","154314407","Tres Vendas","104","431400000000000.0","55","15","1","2","1","15:15:00","2010-04-10","1","1.0","22.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","2.0","2.0","2.0","2.0","2.0","2.0",,"2.0","4.0","4.0","4.0","4.0","4.0","4.0",,"4.0","10.0","9.0","1.0",,"2.0",,,"2.0","2.0","2.0","2.0","2.0","2.0",,,,"2.0","1.0","3.0","2.0","2.0","1.0","5.0","4.0","5.0","5.0","4.0","4.0","5.0","5.0","4.0","6.0","6.0","4.0","5.0","4.0","6.0","5.0","7.0","6.0","6.0","5.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","6.0","3.0","3.0","2.0","3.0","3.0","3.0","5.0","6.0","5.0","3.0","6.0","5.0","5.0","7.0","6.0","6.0","6.0","7.0","6.0","6.0","6.0","4.0","5.0","4.0","2.0","1.0","7.0","6.0","5.0","4.0","4.0","4.0","4.0","7.0","6.0","6.0","4.0","9.0","8.0","2.0","2.0","2.0","4.0","2.0","0.0","0.0","0.0","0.0",,,"0.0",,"2.0","6.0","6.0","6.0","4.0","4.0","6.0","6.0","5.0","6.0","5.0","7.0","2.0","1.0","1.0","1.0","1501.0","2.0","2.0",,"3.0","3.0","2.0","2.0","3.0","5.0","1.0","3.0","4.0","2.0","2.0","3.0","4.0","4.0","4.0","4.0","4.0","4.0","2.0","6.0","6.0","primario","34.0",,,,,"4.0",,,"5.0","3.0","3.0","2.0",,,"4.0",,,"2.0",,,"2.0","2.0","2.0","4.0","3.0","1501.0","4.0","4.0",,,"2.0",,"2.0",,,"2.0","2.0","1.0","2.0","2.0","5.0","7.0","3.0","4.0","2.0","1.0","4.0","3.0","2.0","2.0","2.0","1.0","1.0","2.0","4.0","1.0","1.0","1.0","1.0","0.0","1.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","2.0","9.0","3.0","1.0","4.0","1.0","2.0","1.0","1.0","1.0",,"3","16:05:00","00:50:00","3055083555","1","3","Wagner Pedrotti",,"2","1.031081","0.9742141"
"583","15","1505","44","RS","1543","Pelotas","154314407","Tres Vendas","104","431400000000000.0","55","15","1","2","1","13:00:00","2010-04-07","2","1.0","10.0","4.0","3.0",,"3.0","2.0","3.0",,"2.0","2.0","2.0","2.0","2.0","2.0",,"3.0","2.0","2.0","4.0","4.0","4.0","4.0","3.0","4.0",,"6.0","2.0",,"2.0",,,"1.0","1.0","1.0","1.0",,"1.0","2.0","1.0","2.0","1.0","1.0","2.0","1.0","3.0","1.0","5.0","5.0","4.0","5.0","5.0","5.0","4.0","5.0","3.0","5.0","4.0","4.0","7.0","3.0","5.0","4.0","5.0","6.0","5.0","5.0","4.0","4.0","4.0","6.0","6.0","5.0","5.0","5.0","4.0","5.0","6.0","5.0","4.0","4.0","5.0","4.0","3.0","2.0","5.0","3.0","3.0","3.0","3.0","4.0","5.0","5.0","3.0","5.0","4.0","3.0","3.0","3.0","4.0","5.0","6.0","6.0","6.0","7.0","4.0","3.0","6.0","2.0","1.0","6.0","6.0","5.0","4.0","4.0","4.0","4.0","5.0","5.0","5.0","4.0","4.0","3.0","1.0","1.0","2.0","4.0","2.0","0.0","0.0","1.0","0.0",,,"0.0","0.0","1.0","5.0","3.0","5.0","3.0","3.0","5.0","5.0","3.0","5.0","3.0","5.0","1.0","2.0","1.0","1.0","1501.0","1.0","2.0",,"4.0","2.0","2.0","3.0",,"1.0","1.0","3.0","4.0","2.0","2.0","3.0","4.0","4.0","4.0","4.0","4.0","4.0","2.0","5.0","5.0","primario","39.0",,,,,"2.0","nao informou",,"2.0","1.0","4.0","2.0",,,"4.0",,"2.0","2.0","1.0",,"2.0","2.0",,"1.0","1.0","1501.0","4.0","2.0","2.0",,"1.0",,"2.0",,,"2.0","2.0","1.0","3.0","4.0","4.0","6.0","5.0","5.0",,,"4.0",,"2.0","2.0","2.0","1.0","2.0","3.0","4.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","1.0","1.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","5.0",,,"3.0","2.0","11.0","2.0",,,"1.0","4.0","2.0","3","14:00:00","01:00:00","3055083555","1","3","Wagner Pedrotti",,"2","1.0222870000000002","0.9659052"
"584","15","1505","44","RS","1543","Pelotas","154314407","Tres Vendas","104","431400000000000.0","55","15","1","2","1","10:25:00","2010-04-10","1","2.0","1.0","3.0","3.0","2.0","3.0","3.0","3.0","2.0","2.0","1.0","2.0","2.0","2.0","1.0","0.0","3.0","4.0","4.0","3.0","3.0","4.0","4.0",,"4.0",,"5.0","3.0",,"2.0",,,"1.0","1.0","1.0","1.0","1.0","1.0",,"1.0","3.0","1.0","2.0","2.0","2.0","1.0","1.0",,"3.0","3.0","4.0","3.0","4.0","5.0","6.0","4.0","5.0","4.0","4.0","4.0","3.0","5.0","4.0","6.0","6.0","5.0","4.0","4.0","4.0","3.0","6.0","6.0","5.0","5.0","5.0","5.0","5.0","5.0","4.0","3.0","3.0","5.0","4.0","4.0","2.0","5.0","3.0","4.0","4.0","3.0","5.0","6.0","6.0","4.0","6.0","3.0","3.0","4.0","5.0","5.0","5.0","6.0","6.0","6.0","6.0","5.0","4.0","3.0","2.0","2.0","5.0","6.0","5.0","7.0","7.0","4.0","4.0","7.0","6.0","5.0","4.0","4.0","3.0","3.0","1.0","2.0","4.0","2.0",,,,"0.0","0.0","0.0",,"0.0","3.0","4.0","3.0","5.0","4.0","3.0","5.0","4.0","5.0","5.0","3.0","6.0","1.0","2.0","1.0","1.0","77.0","1.0",,,"4.0","3.0","2.0","3.0",,"4.0","1.0","3.0",,,"3.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","2.0","8.0","8.0","primario","44.0",,,,,,,,,"2.0","4.0","2.0",,,"4.0",,"2.0",,"3.0","9.0","5.0","2.0","3.0","1.0","1.0","1501.0","5.0","2.0",,,"1.0",,"2.0",,,"2.0","2.0","1.0","2.0","2.0","4.0","7.0","3.0","5.0","2.0","1.0","4.0","2.0","2.0","2.0","2.0","1.0","1.0","3.0","3.0","1.0","1.0","0.0","1.0","1.0","1.0","1.0","0.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","4.0","4.0","3.0","2.0","7.0","1.0",,"1.0","1.0","4.0","1.0","2","11:20:00","00:55:00","3055083555","1","3","Wagner Pedrotti",,"3","0.9934879999999999","0.9386949"
"585","15","1505","44","RS","1543","Pelotas","154314407","Tres Vendas","104","431400000000000.0","55","15","1","2","1","14:30:00","2010-04-09","1","2.0","22.0","3.0","2.0",,"2.0","3.0","3.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0",,"3.0","4.0","4.0","3.0","4.0","4.0","4.0",,"4.0",,"6.0","2.0",,"2.0",,,,"1.0",,"2.0",,"1.0","1.0","1.0","2.0","1.0","2.0","2.0","2.0","3.0","1.0","5.0","4.0","4.0","4.0","4.0","5.0","5.0","6.0","4.0","4.0","5.0","3.0","4.0","4.0","3.0","4.0","6.0","6.0","5.0","5.0","5.0","4.0","4.0","6.0","6.0","6.0","5.0","5.0","5.0","5.0","4.0","5.0","4.0","4.0","5.0","4.0","4.0","4.0","5.0","3.0","3.0","3.0","3.0","5.0","6.0","5.0","4.0","5.0","5.0","4.0","6.0","6.0","6.0","5.0","6.0","6.0","6.0","6.0","5.0","5.0","3.0","2.0","1.0","7.0","7.0","5.0","4.0","4.0","4.0","4.0","7.0","6.0","5.0","4.0","4.0","3.0","2.0","2.0","2.0","3.0","2.0","0.0","0.0",,"1.0",,"0.0","0.0","0.0","2.0","5.0","5.0","5.0","4.0","3.0","5.0","5.0","4.0","5.0","5.0","2.0","1.0","2.0","1.0","1.0","77.0","2.0","2.0",,"4.0","3.0","2.0","3.0",,"4.0",,,,,"2.0","3.0","4.0","4.0","4.0","4.0","4.0","4.0","2.0","3.0","11.0","secundario","40.0",,,,,,,,,,"3.0","2.0",,,"4.0",,"2.0","2.0","2.0",,"1.0","0.0",,,"1.0","1501.0","2.0","2.0","2.0",,"1.0",,"2.0",,,"2.0","2.0","1.0","2.0","2.0","5.0","6.0","3.0","4.0","2.0","1.0","4.0","3.0","1.0","1.0","1.0","1.0","1.0","1.0","3.0","1.0","1.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","4.0","7.0","4.0","2.0","11.0","1.0","2.0","1.0","2.0",,,"3","15:10:00","00:40:00","3055083555","1","3","Wagner Pedrotti",,"3","0.9934879999999999","0.9386949"
