"idnum","pais","estratopri","upm","prov","municipio","parmunicipio","parsegmento","cluster","ur","tamano","idiomaq","horainicio","fecha","q1","ls3","a4","soct1","soct2","soct3","idio1","idio2","idio3","cp2","cp4a","cp4","np1","np2","muni10","sgl1","cp5","cp6","cp7","cp8","cp9","cp13","cp20","ls6","ls6a","it1","l1","prot3","prot4","y4","jc1","jc10","jc13","jc15a","jc16a","vic1ext","vic1exta","vic2","vic2aa","vic1hogar","aoj8","aoj11","aoj11a","aoj12","aoj17","b1","b2","b3","b4","b6","b10a","b11","b12","b13","b14","b18","b20","b20a","b21","b21a","b31","b32","b43","b16","b17","b37","b46","b47","b48","n1","n3","n9","n11","n12","n15","wt1","wt2","m1","m2","pop101","pop102","pop103","pop107","pop113","eff1","eff2","ing4","dem23","ros1","ros2","ros3","ros4","ros5","ros6","pn4","pn5","e5","e8","e11","e15","e14","e3","e16","d1","d2","d3","d4","d5","d6","dem2","dem11","aut1","pp1","pp2","exc2","exc6","exc11","exc13","exc14","exc15","exc16","exc18","exc7","per1","per2","per3","per4","per5","per6","per7","per8","per9","per10","crisis1","crisis2","vb1","vb2","vb3","vb10","vb11","pol1","vb20","clien1","clien2","ed","q2","y1","y2","y3","haicr1","q3c","q5a","q5b","q10","q10a","q10b","q10a3","q10c","q16","q14","q10d","q10e","q10f","q11","q12","q12a","etid","leng1","www1","gi0","gi1","gi3","gi4","r1","r3","r4","r4a","r5","r6","r7","r8","r12","r14","r15","r16","r18","ocup4a","ocup1a","ocup1b1","ocup1b2","pen1","pen3","pen4","sal1","sal2","sal4","colorr","horafin","ti4","intid","sexi","colori","paridioq","fecha2","dig","newnro","year","weight1500"
"919","12","1204","502","1205","1209","2","340","90340","2","5","1",,"2010-01-27T00:00:00.000","2","2.0","27.0","3.0","2.0","2.0","3.0","1.0","2.0","2.0","1.0","2.0","2.0","2.0",,"3.0","4.0","2.0","4.0","4.0","4.0","4.0","4.0","7.0","9.0","1.0","5.0","2.0",,,"2.0","2.0","2.0","2.0","2.0","2",,,,"2","1.0","1.0","1.0","3.0","3.0","6.0","5.0","4.0","3.0","5.0","6.0","7.0","7.0","6.0","6.0","5.0","7.0","6.0","5.0","5.0","7.0","6.0","7.0","6","6.0","7.0","6","5.0","6.0","7.0","6.0","5.0","6.0","6.0","5.0","3.0","3.0","2.0","3.0","6.0","1.0","3.0","1.0","2.0","7.0","5.0","6.0","2.0","3.0","2.0","5.0","6.0","7.0","7.0","2.0","2.0","6.0","8.0","7.0","6.0","4.0","3.0","2.0",,"7.0","8.0","9.0","6.0","9.0","2.0","1.0","2.0","4.0","2.0","0.0","0.0",,,,,,"0.0","3.0","5.0","6.0","6.0","6.0","7.0","6.0","5.0","3.0","7.0","6.0","1.0","2.0","1.0","2.0",,"2.0",,"3.0","4.0","3.0",,"12.0","23","4.0","5.0","2.0","1.0","1.0","3.0","1.0","2.0","1.0","2.0","2.0","4.0",,"2.0","2.0","2.0",,"1.0","0.0",,"1.0","1202.0","5.0","1.0","1.0","2.0","1.0","1.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","5.0",,"3.0","1.0","2.0",,,"2.0",,,"5","9.16","41","25","1","3","2","2010-01-27T00:00:00.000","11","919","2010","0.99866844"
"920","12","1204","502","1205","1209","2","340","90340","2","5","1",,"2010-01-27T00:00:00.000","2","2.0","4.0","4.0","3.0","3.0","4.0","3.0","3.0","2.0","2.0","2.0","2.0","2.0",,"4.0","3.0","4.0","4.0","4.0","4.0","4.0","4.0","5.0","6.0","2.0","3.0","2.0",,,"2.0","1.0","1.0","2.0","2.0","1","1.0","3.0","2.0","2","2.0","3.0","1.0","3.0","4.0","2.0","6.0","5.0","3.0","6.0","5.0","4.0","5.0","5.0","4.0","3.0","6.0","3.0","4.0","2.0","5.0","6.0","6.0","4","4.0","3.0","4","3.0","4.0","3.0","3.0","2.0","2.0","1.0","2.0","2.0","2.0","4.0","2.0","3.0","3.0","3.0","2.0","2.0","3.0","2.0","5.0","2.0","5.0","6.0","6.0","6.0","6.0","7.0","3.0","2.0","8.0","9.0","8.0","8.0","2.0","2.0","3.0","7.0","8.0","5.0","4.0","8.0","7.0","2.0","2.0","2.0","4.0","2.0","0.0","0.0",,,,"0.0",,"0.0","2.0","5.0","2.0","5.0","6.0","6.0","4.0","5.0","2.0","5.0","2.0","1.0","3.0","2.0","2.0",,"2.0",,"3.0","1.0","3.0",,"13.0","19","4.0","1.0","2.0","1.0","1.0","2.0","1.0","4.0","1.0","1.0","3.0","3.0","2.0","2.0","2.0","3.0","2.0","1.0","0.0",,"2.0","1202.0","5.0","1.0",,"1.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","1.0","1.0","0.0","0.0","0.0","5.0",,"3.0","1.0","2.0",,,"2.0",,,"6","9.31","41","26","1","6","2","2010-01-27T00:00:00.000","11","920","2010","0.99866844"
"921","12","1204","502","1205","1209","2","340","90340","2","5","1",,"2010-01-27T00:00:00.000","1","2.0","27.0","4.0","3.0","2.0","4.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0",,"2.0","4.0","4.0","4.0","4.0","4.0","4.0",,"4.0","4.0","2.0","5.0","2.0",,,,"1.0","1.0","2.0",,"2",,,,"1","2.0","2.0","1.0","2.0","4.0","3.0","3.0","3.0","3.0","3.0","3.0","5.0","5.0","5.0","4.0","4.0","6.0","3.0","3.0","3.0","4.0","4.0","6.0","5","4.0","5.0","4","4.0","5.0","3.0","3.0","3.0","3.0","3.0","3.0","1.0","3.0","3.0","2.0","3.0","3.0","3.0","3.0","4.0","4.0","4.0","4.0","3.0","7.0",,,"4.0","4.0","5.0","2.0","2.0","8.0","8.0","6.0","3.0","3.0","3.0","3.0","6.0","7.0","7.0","5.0","2.0","1.0","2.0","1.0","2.0","4.0","2.0","0.0","0.0",,"0.0",,,,"0.0","1.0","5.0","4.0","5.0","5.0","4.0","5.0","5.0","2.0","4.0","5.0","1.0","1.0","1.0","1.0","1202.0","2.0",,"2.0","3.0","3.0",,"10.0","21","4.0","9.0","2.0","1.0","1.0","2.0","1.0","2.0","2.0",,,"3.0","2.0","1.0","2.0","2.0",,"1.0","0.0",,"2.0","1202.0","5.0","1.0",,"2.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","1.0","4.0","3.0","2.0","2.0",,,"2.0",,,"5","8.41","39","26","1","6","2","2010-01-27T00:00:00.000","11","921","2010","0.99866844"
"922","12","1204","502","1205","1209","2","340","90340","2","5","1",,"2010-01-27T00:00:00.000","1","3.0","4.0","4.0","3.0",,"4.0","3.0","2.0","2.0","2.0","2.0","2.0","2.0",,"4.0","3.0","1.0","4.0","4.0","4.0","4.0",,"3.0","3.0","2.0","5.0","2.0",,,"2.0","1.0","1.0","2.0","2.0","2",,,,"2","2.0","2.0","1.0","3.0","3.0","2.0","3.0","2.0","2.0","5.0","3.0","2.0","3.0","3.0","3.0","2.0","3.0","3.0","2.0","3.0","2.0","3.0","3.0","2","4.0","4.0","3","2.0","2.0","4.0","3.0","3.0","3.0","2.0","3.0","2.0","2.0","2.0","4.0","3.0","4.0","4.0","4.0","5.0","6.0","4.0","4.0","4.0","4.0","5.0","6.0","6.0","6.0","7.0","3.0","2.0","6.0","6.0","6.0","6.0","4.0","3.0","4.0","3.0","4.0","2.0","2.0","3.0","1.0","2.0","1.0","2.0","4.0","2.0","0.0","0.0",,,,"0.0",,"1.0","1.0","4.0","2.0","3.0","2.0","3.0","2.0","3.0","3.0","3.0","3.0","1.0","1.0","1.0","1.0","1201.0","2.0",,"4.0","3.0","3.0",,"6.0","26",,,,,"1.0","1.0","1.0","0.0","2.0",,,"4.0",,"1.0","4.0","3.0","8.0","1.0","0.0",,"1.0","1202.0","5.0","2.0","1.0",,"1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","3.0",,"2.0","1.0","2.0",,,"2.0",,,"4","7.55","36","26","1","6","2","2010-01-27T00:00:00.000","11","922","2010","0.99866844"
"923","12","1204","502","1205","1209","2","340","90340","2","5","1",,"2010-01-27T00:00:00.000","1","2.0","61.0","5.0","1.0","1.0","3.0","1.0","1.0","2.0","2.0","2.0","2.0","1.0","0.0","5.0","2.0","2.0","3.0","2.0","2.0","1.0",,"5.0",,"2.0","7.0","2.0",,,"2.0","2.0","2.0","2.0","2.0","2",,,,"2","1.0","2.0","1.0","3.0","3.0","3.0","4.0","2.0","3.0","5.0","2.0","3.0","3.0","4.0","3.0","3.0","5.0","4.0","5.0","6.0","3.0","2.0","5.0","3","2.0","4.0","3","5.0","1.0","4.0","5.0","4.0","4.0","4.0","5.0","2.0","2.0","2.0","3.0","5.0","4.0","4.0","4.0","4.0","5.0","3.0","6.0","5.0","5.0","5.0",,"2.0","2.0","6.0","2.0","2.0","8.0","8.0","7.0","2.0","2.0","2.0","3.0","8.0","8.0","9.0","8.0","8.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","1.0",,"1.0",,,,"0.0","1.0","6.0","2.0","5.0","2.0","6.0","2.0","5.0","4.0","5.0","4.0","2.0","3.0","1.0","1.0","1201.0","1.0","1202.0","1.0","2.0","1.0","2.0","12.0","35",,,,,"1.0","3.0","2.0",,"2.0",,,"4.0",,"2.0","2.0","2.0",,"1.0","1.0",,"1.0","1202.0","5.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","1.0","1.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","4.0","3.0","2.0","2.0",,,"2.0",,,"7","9.59","59","23","1","6","3","2010-01-27T00:00:00.000","11","923","2010","0.99866844"
"924","12","1204","502","1205","1209","2","340","90340","2","5","1",,"2010-01-27T00:00:00.000","1","1.0","3.0","3.0","2.0","1.0","2.0",,,"2.0","2.0","2.0","2.0","2.0",,"3.0","4.0","1.0","2.0","4.0","2.0","4.0",,"7.0",,"2.0","6.0","2.0",,,"2.0","2.0","2.0","1.0","2.0","2",,,,"2","1.0","2.0","1.0","3.0","3.0","1.0","4.0","4.0","4.0","5.0","1.0","1.0","6.0","1.0","6.0","4.0","7.0","5.0","1.0","5.0","1.0","7.0","7.0","4","2.0","6.0","4","1.0","1.0","4.0","5.0","3.0","5.0","1.0","3.0","3.0","3.0","3.0","5.0","3.0","3.0","3.0","5.0","3.0","5.0","3.0","5.0","3.0","7.0","7.0","7.0","5.0","7.0","7.0","3.0","3.0","9.0","9.0","9.0","1.0","1.0","1.0","7.0","4.0","7.0","4.0","4.0","1.0","1.0","2.0","2.0","2.0","4.0","2.0","0.0","0.0",,"1.0",,,,"0.0","1.0","7.0","3.0","5.0","3.0","7.0","3.0","7.0","3.0","5.0","3.0","1.0","1.0","1.0","1.0","1202.0","1.0","1201.0","3.0","3.0","2.0","1.0","7.0","28",,,,,"1.0","1.0","1.0",,"2.0",,,"4.0",,"2.0","2.0","3.0","9.0","2.0","1.0","1.0","1.0","1202.0","5.0","2.0",,,,"1.0","1.0","0.0","1.0","1.0","1.0","0.0","1.0","1.0","1.0","0.0","0.0","0.0","1.0","4.0","3.0","2.0","2.0",,,"2.0",,,"4","7.59","59","23","1","6","2","2010-01-26T00:00:00.000","11","924","2010","0.99866844"
"925","12","1204","502","1205","1209","2","340","90340","2","5","1",,"2010-01-27T00:00:00.000","2","1.0","1.0","3.0","1.0","1.0","3.0","2.0","1.0","2.0","2.0","2.0",,"2.0",,"1.0","4.0","1.0","4.0","1.0","4.0","2.0","1.0","4.0",,"2.0","8.0","2.0",,,"2.0","2.0","2.0","2.0","2.0","1","3.0","8.0","1.0","2","1.0","3.0","1.0","3.0","3.0","4.0","3.0","2.0","4.0","5.0","1.0","1.0","6.0","2.0","3.0","1.0","7.0","2.0","1.0","5.0","1.0","6.0","7.0","2","2.0","6.0","2","2.0","2.0","2.0","3.0","3.0","4.0","2.0","4.0","2.0","2.0","1.0","3.0","4.0","5.0","5.0","4.0","5.0","4.0","2.0","4.0","4.0","5.0","5.0","5.0","7.0","5.0","5.0","3.0","3.0","7.0","7.0","5.0","4.0","2.0","2.0","5.0","7.0","7.0","6.0","6.0","1.0","1.0","2.0","2.0","2.0","4.0","2.0","0.0","0.0",,"1.0",,,,"0.0","2.0","7.0","3.0","7.0","3.0","6.0","3.0","3.0","2.0","7.0","2.0","2.0","1.0","1.0","1.0","1201.0","1.0",,"2.0","2.0","3.0",,"10.0","27",,,,,"1.0","2.0","1.0",,"2.0",,,"3.0","2.0","2.0","2.0","3.0","7.0","2.0","2.0","2.0","1.0","1202.0","5.0","1.0","1.0",,"1.0","1.0","1.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","4.0",,"3.0","2.0","2.0",,,"2.0",,,"4","8.53","53","23","1","6","3","2010-01-26T00:00:00.000","11","925","2010","0.99866844"
"926","12","1204","502","1205","1209","2","340","90340","2","5","1",,"2010-01-27T00:00:00.000","1","2.0","27.0","3.0","1.0","1.0","3.0","1.0","1.0","2.0","2.0","2.0","2.0","2.0",,"3.0","1.0","1.0","2.0","1.0","4.0","4.0",,"6.0","6.0","3.0","8.0","2.0",,,"2.0","1.0","1.0","2.0","2.0","2",,,,"2","1.0","1.0","1.0","3.0","3.0","2.0","3.0","4.0","4.0","3.0","2.0","2.0","4.0","4.0","5.0","3.0","7.0","1.0","6.0","7.0","7.0","7.0","7.0","3","2.0","2.0","2","6.0","4.0","1.0","1.0","1.0","1.0","1.0","4.0","1.0","1.0","2.0","2.0","2.0","1.0","1.0","1.0","3.0","1.0","3.0","6.0","6.0","7.0","6.0","7.0","7.0","7.0","7.0","2.0","1.0","10.0","10.0","10.0","1.0","1.0","1.0","1.0","3.0","3.0","3.0","3.0","1.0","1.0","2.0","2.0","2.0","4.0","1.0","0.0","0.0",,,,,,"1.0","3.0","7.0","1.0","7.0","7.0","7.0","3.0","7.0","1.0","7.0","3.0","2.0","1.0","1.0","1.0","1201.0","2.0",,"2.0","2.0","3.0",,"6.0","43",,,,,"1.0","2.0","1.0","3.0","2.0",,,"4.0",,"2.0","2.0","1.0",,"2.0","4.0","3.0","1.0","1202.0","5.0","1.0","1.0","1.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","4.0","3.0","2.0","2.0",,,"2.0",,,"5","9.56","46","29","1","4","2","2010-01-27T00:00:00.000","11","926","2010","0.99866844"
"927","12","1204","502","1205","1209","2","340","90340","2","5","1",,"2010-01-27T00:00:00.000","2","2.0","1.0","5.0","2.0","1.0","4.0","2.0","1.0","1.0","1.0","1.0","2.0","1.0","0.0","4.0","3.0","1.0","2.0",,"2.0","4.0","4.0","3.0","6.0","2.0","8.0","2.0",,,"2.0","1.0","1.0","1.0","1.0","1","2.0","1.0","4.0","2","2.0","4.0","1.0","1.0","1.0","6.0","6.0","6.0","6.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","1.0","6.0","5.0","4.0","6.0","7.0","6","7.0","7.0","7","7.0","7.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","3.0","5.0","4.0","2.0","2.0","1.0","3.0","1.0","7.0","6.0","6.0","7.0","7.0","7.0","7.0","7.0","7.0","2.0","2.0","10.0","10.0","10.0","1.0","1.0","1.0","1.0","3.0","3.0","3.0","3.0","1.0","1.0","2.0","1.0","1.0","4.0","2.0","0.0","0.0",,,,,,"0.0","1.0","7.0","1.0","7.0","1.0","7.0","4.0","7.0","1.0","6.0","1.0","1.0","1.0","1.0","1.0","1201.0","2.0",,"4.0","3.0","3.0",,"12.0","62",,,,,"1.0","2.0","1.0","2.0","1.0","3.0","2.0","3.0","2.0","2.0","3.0","3.0","9.0","6.0","1.0","0.0","1.0","1202.0","5.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","5.0",,"2.0","2.0","2.0",,,"2.0",,,"4","9.14","50","29","1","4","1","2010-01-27T00:00:00.000","11","927","2010","0.99866844"
"928","12","1204","502","1205","1209","2","340","90340","2","5","1",,"2010-01-27T00:00:00.000","2","1.0","27.0","4.0","1.0","1.0","3.0","2.0","1.0","1.0","1.0","1.0","2.0","1.0","0.0","4.0","4.0","2.0","2.0","2.0","3.0","4.0","4.0","7.0","7.0","1.0","7.0","1.0","5.0","8.0",,"1.0",,"1.0",,"2",,,,"2","1.0","4.0","1.0","4.0","3.0","1.0","4.0","4.0","4.0","3.0","1.0","1.0","5.0","4.0","4.0","1.0","6.0","5.0","4.0","5.0","1.0","6.0","7.0","4","4.0","4.0","4","5.0","2.0","1.0","1.0","1.0","1.0","1.0","4.0","2.0","2.0","2.0",,"2.0","2.0","2.0","2.0","4.0","2.0","2.0","5.0","2.0","4.0","6.0","6.0","7.0","7.0","7.0","2.0","2.0","10.0","10.0","10.0","1.0","1.0","1.0","1.0","2.0","2.0","2.0","2.0","1.0","1.0","2.0","2.0","2.0","4.0","2.0","0.0","0.0",,,,,,"0.0","1.0","7.0","1.0","7.0","1.0","2.0","4.0","5.0","1.0","6.0","4.0","2.0","1.0","1.0","1.0","1201.0","1.0","1201.0","2.0","1.0","3.0",,"3.0","57",,,,,"1.0","3.0","1.0","2.0","1.0","3.0","2.0","3.0","4.0","2.0","2.0","3.0","3.0","2.0","6.0","6.0","2.0","1202.0","5.0","2.0",,,,"1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","4.0","3.0","2.0","2.0",,,"2.0",,,"5","8.1","55","29","1","4","2","2010-01-27T00:00:00.000","11","928","2010","0.99866844"
"929","12","1204","502","1205","1209","2","340","90340","2","5","1",,"2010-01-27T00:00:00.000","2","2.0","27.0","3.0","1.0",,"3.0","2.0","1.0","2.0","2.0","2.0","2.0","2.0",,"3.0","4.0","1.0","2.0","4.0","4.0","4.0","4.0","5.0","6.0","2.0","5.0","2.0",,,"2.0","2.0","2.0","2.0","2.0","2",,,,"2","1.0","1.0","1.0","4.0","3.0","3.0","4.0","5.0","4.0","3.0","2.0","1.0","1.0","2.0","2.0","1.0","7.0","5.0","4.0","4.0","3.0","5.0","7.0","5","7.0","6.0","5","3.0","2.0","3.0","4.0","4.0",,"4.0","3.0","2.0","2.0","3.0","5.0","5.0","5.0","4.0","3.0","3.0","5.0","2.0","6.0","7.0",,"4.0","6.0",,"7.0","7.0","3.0",,"9.0","8.0","6.0","2.0","1.0","5.0","6.0","8.0","7.0","9.0","6.0","1.0","1.0","2.0","1.0","1.0","4.0",,"0.0","0.0",,,,"0.0",,"0.0","2.0","4.0","1.0","7.0","3.0","4.0","6.0","3.0","3.0","6.0","3.0","2.0","1.0","2.0","2.0",,"2.0",,"4.0","1.0","3.0",,"6.0","47",,,,,"1.0","2.0","2.0","2.0","1.0","2.0","3.0","3.0","4.0","2.0","4.0","2.0",,"2.0","12.0","7.0","2.0","1202.0","5.0","2.0",,"1.0","2.0","1.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","5.0",,"3.0","2.0","2.0",,,"2.0",,,"8","10.05","34","25","1","3","2","2010-01-27T00:00:00.000","11","929","2010","0.99866844"
"930","12","1204","507","1205","1254","7","270","540270","2","5","1",,"2010-01-26T00:00:00.000","1","2.0","3.0","4.0","2.0","2.0","3.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0",,"5.0","3.0","3.0","3.0","4.0","4.0","4.0",,"2.0","6.0","1.0","5.0","2.0",,,"2.0","2.0","2.0","2.0","2.0","2",,,,"2","1.0","2.0","1.0","4.0","4.0","2.0","4.0","3.0","3.0","4.0","3.0","2.0","5.0","2.0","6.0","2.0","4.0","3.0","1.0","6.0","3.0","2.0","7.0","3","2.0","5.0","88","4.0","3.0","6.0","3.0","3.0","5.0","5.0","4.0","2.0","3.0","2.0","3.0","5.0","6.0","3.0","2.0","7.0","2.0","4.0","6.0","3.0","2.0","6.0","6.0","6.0","5.0","7.0","3.0","2.0","9.0","8.0","7.0","3.0","2.0","2.0","6.0","7.0","6.0","3.0","4.0","2.0","1.0","2.0","1.0","2.0","4.0","2.0","0.0","0.0","0.0","0.0",,"0.0","0.0","0.0","1.0","7.0","2.0","6.0","6.0","5.0","5.0","6.0","2.0","7.0","3.0","2.0","1.0","1.0","1.0","1201.0","2.0",,"2.0",,"3.0",,"6.0","53",,,,,"1.0","2.0","1.0","1.0","2.0",,,"3.0","2.0","2.0","4.0","3.0","9.0","2.0","10.0","2.0","2.0","1202.0","5.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","1.0","0.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","4.0","3.0","2.0","2.0",,,"2.0",,,"5","15.25","39","26","1","6","3","2010-01-26T00:00:00.000","12","930","2010","0.99866844"
"931","12","1204","507","1205","1254","7","270","540270","2","5","1",,"2010-01-26T00:00:00.000","2","3.0","3.0","4.0","2.0","2.0","4.0","2.0",,"2.0","2.0","2.0","2.0","2.0",,"5.0","3.0","3.0","3.0","4.0","4.0","3.0","4.0","1.0",,"2.0",,"2.0",,,"2.0","2.0","2.0","2.0","2.0","1","1.0","7.0","1.0","2","2.0","4.0","1.0","4.0","1.0","1.0","3.0","3.0","2.0","2.0","1.0","1.0","3.0","1.0","3.0","5.0","2.0","3.0","1.0","3.0","3.0","4.0","6.0","88",,,"88",,,"1.0","1.0","1.0","1.0","1.0","1.0","2.0","2.0",,,"5.0","4.0","3.0","4.0",,"1.0","1.0","2.0",,"7.0","6.0","5.0","5.0","5.0","7.0","3.0","3.0","10.0","10.0","8.0","7.0","1.0","1.0","5.0","8.0","8.0","7.0","5.0","2.0","1.0","2.0","1.0","2.0","4.0","2.0","0.0","0.0",,"0.0",,"0.0","0.0","0.0",,"7.0","5.0","4.0","4.0","4.0","4.0","4.0","3.0","5.0","3.0","1.0","8.0","1.0","1.0",,"2.0",,"3.0",,"3.0",,"1.0","56",,,,,"5.0","2.0","1.0","0.0","2.0",,,"4.0",,"2.0","4.0","2.0",,"2.0","11.0","6.0","1.0","1202.0","5.0","5.0",,,"1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.0",,"3.0","2.0","2.0",,,"2.0",,,"5","16.18","36","26","1","6","2","2010-01-26T00:00:00.000","12","931","2010","0.99866844"
"932","12","1204","507","1205","1254","7","270","540270","2","5","1",,"2010-01-26T00:00:00.000","2","1.0","3.0","4.0","3.0","3.0","4.0","3.0","3.0","2.0","2.0","2.0","2.0","2.0",,"3.0","4.0","3.0","3.0","4.0","4.0","3.0","4.0","3.0","5.0","1.0","10.0","2.0",,,"2.0","1.0","1.0","2.0","2.0","1","1.0","8.0","1.0","2","1.0","2.0","1.0","4.0","1.0","3.0","5.0","1.0","2.0","3.0","3.0","3.0","6.0","3.0","3.0","1.0","2.0","1.0","5.0","3.0","3.0","5.0","7.0","4","3.0","6.0","3","2.0","3.0","1.0","1.0","1.0","2.0","1.0","1.0","1.0","1.0","4.0","4.0","1.0","2.0","6.0","2.0","2.0","2.0","6.0","4.0","1.0","4.0","5.0","5.0","5.0","4.0","6.0","3.0","2.0","7.0",,"7.0","3.0","1.0","3.0","9.0","8.0","9.0","9.0","9.0","6.0","6.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","0.0",,"0.0","0.0",,"1.0","2.0","7.0","6.0","6.0","1.0","7.0","1.0","7.0","1.0","6.0","1.0","1.0","4.0","2.0","2.0",,"1.0","1202.0","1.0","3.0","2.0","1.0","12.0","18","2.0","5.0",,"1.0","1.0","2.0","1.0","2.0","2.0",,,"4.0",,"1.0","3.0","3.0","9.0","1.0","0.0",,"1.0","1202.0","5.0","1.0",,"1.0","1.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","1.0","1.0","0.0","0.0","0.0","3.0",,"3.0","2.0","2.0",,,"2.0",,,"4","17.13","43","26","1","6","3","2010-01-26T00:00:00.000","12","932","2010","0.99866844"
"933","12","1204","507","1205","1254","7","270","540270","2","5","1",,"2010-01-26T00:00:00.000","2","2.0","1.0","3.0","3.0","3.0","3.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0",,"1.0","4.0","1.0","4.0","4.0","4.0","4.0","4.0","6.0","0.0","2.0","5.0","2.0",,,"1.0","1.0","1.0","2.0","2.0","2",,,,"2","1.0","3.0","1.0","3.0","3.0","4.0","4.0","7.0","7.0","7.0","4.0","2.0","7.0","2.0","2.0","1.0","7.0","2.0","1.0","4.0","2.0","7.0","7.0","4","2.0","7.0","4","2.0","2.0","5.0","5.0","5.0","6.0","5.0","5.0","2.0","2.0","3.0","4.0","1.0","1.0","1.0","4.0","7.0","1.0","1.0","7.0","1.0","5.0","7.0","7.0","5.0","7.0","7.0","2.0","4.0","10.0","10.0","8.0","1.0","1.0","1.0","5.0","5.0","5.0","1.0","1.0","1.0","1.0","3.0","1.0","1.0","4.0","2.0","0.0","0.0",,"1.0","0.0","1.0","1.0","0.0","3.0","7.0","2.0","5.0","2.0","7.0","4.0","6.0","2.0","6.0","2.0","2.0","6.0","1.0","1.0",,"2.0",,"3.0","1.0","2.0","2.0","18.0","28",,,,,"1.0","2.0","1.0",,"2.0",,,"3.0","2.0","2.0","2.0","3.0","9.0","1.0","0.0",,"2.0","1202.0","5.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","0.0","0.0","4.0",,"3.0","2.0","2.0",,,"2.0",,,"3","16.46","46","23","1","6","1","2010-01-26T00:00:00.000","12","933","2010","0.99866844"
"934","12","1204","507","1205","1254","7","270","540270","2","5","1",,"2010-01-26T00:00:00.000","2","2.0","1.0","3.0","2.0","3.0","3.0","1.0","1.0","2.0","2.0","2.0","2.0","2.0",,"1.0","4.0","4.0","2.0","4.0","4.0","4.0","4.0","10.0","0.0","3.0","10.0","2.0",,,"2.0","2.0","2.0","2.0","1.0","2",,,,"2","1.0","3.0","1.0","3.0","3.0","7.0","7.0","5.0","2.0","4.0","1.0","3.0","6.0","3.0","5.0","2.0","7.0","3.0","1.0","4.0","1.0","7.0","7.0","3","4.0","7.0","2","1.0","1.0","4.0","2.0","3.0","4.0","1.0","1.0","2.0","2.0","3.0","5.0","5.0","5.0","5.0","7.0","5.0","5.0","1.0","7.0","5.0","7.0","7.0","7.0","7.0","7.0","7.0","3.0","4.0","10.0","9.0","5.0","2.0","2.0","2.0","7.0","10.0","10.0","8.0","8.0","1.0","1.0","2.0","1.0","1.0","4.0","2.0","0.0","0.0",,"1.0",,,,"0.0","1.0","5.0","2.0","5.0","3.0","5.0","2.0","5.0","1.0","5.0","1.0","2.0","6.0","1.0","1.0","1201.0","2.0",,"3.0","4.0","1.0","2.0","6.0","40",,,,,"1.0","1.0","2.0",,"2.0",,,"3.0","3.0","1.0","2.0","1.0",,"1.0","5.0","4.0","1.0","1202.0","5.0","3.0",,,"1.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","1.0","1.0","0.0","0.0","0.0","5.0",,"3.0","2.0","2.0",,,"2.0",,,"3","17.38","58","23","1","6","2","2010-01-26T00:00:00.000","12","934","2010","0.99866844"
