"date_disclosed","project_name","document_type","project_number","project_url","product_line","company_name","country","ifc_country_code","industry","environmental_category","department","status","project_board_date","ifc_approval_date","ifc_signed_date","ifc_invested_date","ifc_investment_for_risk_management_million_usd","ifc_investment_for_guarantee_million_usd","ifc_investment_for_loan_million_usd","ifc_investment_for_equity_million_usd","total_ifc_investment_as_approved_by_board_million_usd","country_code","as_of_date"
"2022-05-26T00:00:00.000","Agrocorp Corporate Loan","Summary of Investment Information (AIP Policy 2012)","45872","https://disclosures.ifc.org/project-detail/SII/45872/agrocorp-corporate-loan","Loan","AGROCORP INTERNATIONAL PTE LTD","Bangladesh","BAN","Agribusiness and Forestry","B","Regional Industry - MAS Asia & Pac","Pending","2022-06-28T00:00:00.000","2022-06-30T00:00:00.000",,,,,"18.0",,"18.0","BD","2022-08-30T03:05:00.000"
"2022-05-05T00:00:00.000","Rupshi Foods","Summary of Investment Information (AIP Policy 2012)","46329","https://disclosures.ifc.org/project-detail/SII/46329/rupshi-foods","Loan","RUPSHI FOODS LTD.","Bangladesh","BAN","Agribusiness and Forestry","B","Regional Industry - MAS Asia & Pac","Pending","2022-06-10T00:00:00.000","2022-06-10T00:00:00.000","2022-06-30T00:00:00.000",,,,"20.0",,"20.0","BD","2022-08-30T03:05:00.000"
"2022-04-12T00:00:00.000","M&J Garments","Summary of Investment Information (AIP Policy 2012)","45821","https://disclosures.ifc.org/project-detail/SII/45821/m&j-garments","Loan","M&J Group (Garments)","Bangladesh","BAN","Manufacturing","B","Regional Industry - MAS Asia & Pac","Pending","2022-05-27T00:00:00.000","2022-05-27T00:00:00.000",,,,,"11.70",,"11.7","BD","2022-08-30T03:05:00.000"
"2022-02-23T00:00:00.000","ISC- Anchorless","Summary of Investment Information (AIP Policy 2012)","45508","https://disclosures.ifc.org/project-detail/SII/45508/isc--anchorless",,"ANCHORLESS PARTNERS LLC","Bangladesh","BAN","Funds","FI-2","Disruptive Technologies and Funds","Pending","2021-11-08T00:00:00.000","2017-04-04T00:00:00.000",,,,,,,,"BD","2022-08-30T03:05:00.000"
"2022-01-20T00:00:00.000","InfraV - PSA BAY TERMINAL","Summary of Investment Information (AIP Policy 2012)","45961","https://disclosures.ifc.org/project-detail/SII/45961/infrav---psa-bay-terminal",,"PSA BANGLADESH PTE. LTD.","Bangladesh","BAN","Infrastructure","C","Regional Industry - INF Asia & Pac","Pending",,,"2021-08-30T00:00:00.000",,,,,,,"BD","2022-08-30T03:05:00.000"
"2021-10-07T00:00:00.000","DCM-BRAC Bank Affordable Housing Bond","Summary of Investment Information (AIP Policy 2012)","42462","https://disclosures.ifc.org/project-detail/SII/42462/dcm-brac-bank-affordable-housing-bond","Loan","BRAC BANK LIMITED","Bangladesh","BAN","Financial Institutions","FI-2","CF4S5 - Regional Industry - FIG Asia & Pac/FIG Inv Ops - South Asia","Active","2021-07-12T00:00:00.000","2021-07-12T00:00:00.000","2022-06-15T00:00:00.000","2022-07-19T00:00:00.000",,,"50.0",,"50.0","BD","2022-08-30T03:05:00.000"
"2021-03-17T00:00:00.000","Hamza Textiles","Summary of Investment Information (AIP Policy 2012)","43454","https://disclosures.ifc.org/project-detail/SII/43454/hamza-textiles","Loan","HAMZA TEXTILES LIMITED (INVESTMENTS)","Bangladesh","BAN","Manufacturing","B","Regional Industry - MAS Asia & Pac","Active","2021-04-22T00:00:00.000","2021-05-28T00:00:00.000","2021-05-31T00:00:00.000","2022-01-28T00:00:00.000",,,"11.35",,"11.35","BD","2022-08-30T03:05:00.000"
"2021-02-01T00:00:00.000","Truck Lagbe","Summary of Investment Information (AIP Policy 2012)","44987","https://disclosures.ifc.org/project-detail/SII/44987/truck-lagbe","Equity","TRUCK LAGBE LIMITED","Bangladesh","BAN","Infrastructure","B","Disruptive Technologies and Funds","Active","2021-03-14T00:00:00.000","2021-03-29T00:00:00.000","2021-06-25T00:00:00.000","2021-08-24T00:00:00.000",,,,"3.0","3.0","BD","2022-08-30T03:05:00.000"
"2021-01-19T00:00:00.000","WCS Crisis Response BRAC Bank","Summary of Investment Information (AIP Policy 2012)","43985","https://disclosures.ifc.org/project-detail/SII/43985/wcs-crisis-response-brac-bank","Loan","BRAC BANK LIMITED","Bangladesh","BAN","Financial Institutions","FI-2","Regional Industry - FIG Asia & Pac","Active","2021-01-29T00:00:00.000","2021-02-03T00:00:00.000","2021-04-12T00:00:00.000","2021-04-20T00:00:00.000",,,"30.0",,"30.0","BD","2022-08-30T03:05:00.000"
"2020-12-15T00:00:00.000","Robi Axiata IV","Summary of Investment Information (AIP Policy 2012)","44302","https://disclosures.ifc.org/project-detail/SII/44302/robi-axiata-iv","Loan","ROBI AXIATA LIMITED","Bangladesh","BAN","Telecommunications, Media, and Technology","B","Regional Industry - INF Asia & Pac","Active","2020-11-23T00:00:00.000","2020-11-23T00:00:00.000","2020-12-08T00:00:00.000","2020-12-14T00:00:00.000",,,"95.0",,"95.0","BD","2022-08-30T03:05:00.000"
"2020-11-17T00:00:00.000","City: Rupshi","Summary of Investment Information (AIP Policy 2012)","43149","https://disclosures.ifc.org/project-detail/SII/43149/city:-rupshi","Loan","RUPSHI FLOUR MILLS LIMITED","Bangladesh","BAN","Agribusiness and Forestry","B","Regional Industry - MAS Asia & Pac","Active","2020-12-18T00:00:00.000","2021-02-23T00:00:00.000","2021-06-01T00:00:00.000","2021-08-12T00:00:00.000",,,"27.74",,"27.74","BD","2022-08-30T03:05:00.000"
"2020-10-21T00:00:00.000","Bank Asia WCS CR","Summary of Investment Information (AIP Policy 2012)","43813","https://disclosures.ifc.org/project-detail/SII/43813/bank-asia-wcs-cr","Loan","BANK ASIA LTD","Bangladesh","BAN","Financial Institutions","FI-2","Regional Industry - FIG Asia & Pac","Completed","2020-10-29T00:00:00.000","2020-11-06T00:00:00.000","2020-11-24T00:00:00.000","2020-12-21T00:00:00.000",,,"25.0",,"25.0","BD","2022-08-30T03:05:00.000"
"2020-06-26T00:00:00.000","WCS Crisis Response Prime Bank","Summary of Investment Information (AIP Policy 2012)","43909","https://disclosures.ifc.org/project-detail/SII/43909/wcs-crisis-response-prime-bank","Loan","PRIME BANK LTD.","Bangladesh","BAN","Financial Institutions","FI-2","Regional Industry - FIG Asia & Pac","Active","2020-06-27T00:00:00.000","2020-06-29T00:00:00.000","2020-10-19T00:00:00.000","2020-10-26T00:00:00.000",,,"35.0",,"35.0","BD","2022-08-30T03:05:00.000"
