Precinct,POINT_X,POINT_Y,Backing Unsafely,"Bus Lane, Driving in",Brake Lights (Defect.or  Improper),Cell Phone,Commercial Veh on Pkwy,Defective Brakes,Disobey Sign,Equipment (Other),Fail to Keep Right,Fail to Signal,Fail to Stop on Signal,Following Too Closely,Headlights (Defect. or Improper),Improper Lights,Improper Passing,Improper Turn,Improper/Missing Plates,Not Giving R of W to Pedes.,Not Giving R of W to Veh.,One Way Street,Pavement Markings,Safety Belt,"School Bus, Passing Stopped",Speeding,Spillback,Tinted Windows,Truck Routes,U-Turn,Uninspected,Uninsured,Unlicensed Operator,Unregistered,Unsafe Lane Change,Other Movers,Precinct Total,Bronx Congressional Districts,Bronx School Districts 2010-11,2010 Bronx Census Tracts,Zip Codes
 Precinct 40,"(40.810908, -73.91647)",40.810907999999998,1,0,16,114,0,0,98,0,5,29,53,3,21,2,4,153,0,25,11,1,14,183,7,45,31,198,0,15,20,102,80,21,6,45,1303,16,1,7,10932
 Precinct 45,"(40.836451, -73.826079)",40.836450999999997,0,0,25,70,0,0,77,0,0,4,9,0,15,0,0,3,2,0,0,6,34,84,2,23,0,98,0,3,10,49,36,8,2,7,567,7,5,249,11270
 Precinct 50,"(40.890541, -73.90144)",40.890540999999999,0,0,4,118,0,0,285,2,1,1,19,0,6,0,0,25,0,1,0,1,1,116,8,22,0,63,0,2,1,18,22,2,1,23,742,17,2,106,11609
 Precinct 41,"(40.813795, -73.888165)",40.813794999999999,2,0,25,27,0,0,182,1,0,5,28,0,30,0,1,59,7,0,1,0,6,44,5,46,2,49,1,5,10,75,48,14,0,9,682,16,5,282,12343
 Precinct 46,"(40.852747, -73.909574)",40.852747000000001,1,0,41,55,0,2,90,27,0,15,21,2,20,0,0,1,3,9,1,0,7,35,25,31,0,128,0,8,0,106,47,15,1,86,777,16,2,41,10931
 Precinct 49,"(40.855673, -73.854576)",40.855673000000003,0,0,18,27,0,1,37,0,0,12,10,0,12,1,0,6,0,0,0,0,0,24,0,4,0,38,0,2,1,19,26,10,0,8,256,7,6,302,11270
 Precinct 42,"(40.834934, -73.899108)",40.834933999999997,2,0,8,105,0,0,83,0,1,4,78,0,11,1,1,139,0,6,2,0,13,30,96,37,1,68,0,0,8,20,40,5,0,3,762,16,4,223,
 Precinct 47,"(40.887312, -73.849068)",40.887312000000001,0,0,21,58,0,0,122,0,1,1,7,0,36,0,1,16,0,0,0,0,9,73,13,44,0,44,0,0,7,86,48,19,0,162,786,17,6,328,11275
 Precinct 43,"(40.824725, -73.861463)",40.824725000000001,3,0,27,63,0,0,76,26,0,50,34,0,35,0,1,96,1,10,0,1,23,79,9,29,2,137,0,9,4,30,46,11,4,78,884,7,5,281,11611
 Precinct 52,"(40.872287, -73.885859)",40.872287,3,0,60,67,0,0,10,0,0,13,68,0,23,0,0,124,0,0,0,1,6,59,1,12,0,179,1,8,12,61,92,40,0,42,882,17,2,68,10936
 Precinct 48,"(40.852222, -73.887517)",40.852221999999998,1,0,14,134,0,0,31,1,0,3,40,0,10,0,0,72,0,3,1,2,12,57,13,166,2,258,0,10,0,22,68,15,0,30,965,16,2,32,10935
 Precinct 44,"(40.833804, -73.920798)",40.833804000000001,3,0,48,93,0,0,266,12,0,13,11,0,20,0,0,20,5,3,2,1,6,206,21,86,5,99,0,4,5,24,76,24,3,13,1069,16,4,200,10930
