"precinct","point_x","point_y","backing_unsafely","brake_lights_defect_or_improper","bus_lane_driving_in","cell_phone","commercial_veh_on_pkwy","defective_brakes","disobey_sign","equipment_other","fail_to_keep_right","fail_to_signal","fail_to_stop_on_signal","following_too_closely","headlights_defect_or_improper","improper_lights","improper_passing","improper_turn","improper_missing_plates","not_giving_r_of_w_to_pedes","not_giving_r_of_w_to_veh","one_way_street","pavement_markings","safety_belt","school_bus_passing_stopped","speeding","spillback","tinted_windows","truck_routes","u_turn","uninspected","uninsured","unlicensed_operator","unregistered","unsafe_lane_change","other_movers","total_movers"
"
Bronx, NY 
(40.810908, -73.91647)","-73.916470000000004","40.810907999999998","1","16","0","114","0","0","98","0","5","29","53","3","21","2","4","153","0","25","11","1","14","183","7","45","31","198","0","15","20","102","80","21","6","45","1303"
"
Bronx, NY 
(40.836451, -73.826079)","-73.826078999999993","40.836450999999997","0","25","0","70","0","0","77","0","0","4","9","0","15","0","0","3","2","0","0","6","34","84","2","23","0","98","0","3","10","49","36","8","2","7","567"
"
Bronx, NY 
(40.890541, -73.90144)","-73.901439999999994","40.890540999999999","0","4","0","118","0","0","285","2","1","1","19","0","6","0","0","25","0","1","0","1","1","116","8","22","0","63","0","2","1","18","22","2","1","23","742"
"
Bronx, NY 
(40.813795, -73.888165)","-73.888165000000001","40.813794999999999","2","25","0","27","0","0","182","1","0","5","28","0","30","0","1","59","7","0","1","0","6","44","5","46","2","49","1","5","10","75","48","14","0","9","682"
"
Bronx, NY 
(40.852747, -73.909574)","-73.909574000000006","40.852747000000001","1","41","0","55","0","2","90","27","0","15","21","2","20","0","0","1","3","9","1","0","7","35","25","31","0","128","0","8","0","106","47","15","1","86","777"
"
Bronx, NY 
(40.855673, -73.854576)","-73.854575999999994","40.855673000000003","0","18","0","27","0","1","37","0","0","12","10","0","12","1","0","6","0","0","0","0","0","24","0","4","0","38","0","2","1","19","26","10","0","8","256"
"
Bronx, NY 
(40.834934, -73.899108)","-73.899107999999998","40.834933999999997","2","8","0","105","0","0","83","0","1","4","78","0","11","1","1","139","0","6","2","0","13","30","96","37","1","68","0","0","8","20","40","5","0","3","762"
,,,"0","931","0","3","1357","69","8","150","378","5","239","4","8","714","18","57","18","13","131","990","200","545","43","1359","2","66","78","612","629","184","17","506",,,
"
Bronx, NY 
(40.887312, -73.849068)","-73.849068000000003","40.887312000000001","0","21","0","58","0","0","122","0","1","1","7","0","36","0","1","16","0","0","0","0","9","73","13","44","0","44","0","0","7","86","48","19","0","162","768"
"
Bronx, NY 
(40.824725, -73.861463)","-73.861463000000001","40.824725000000001","3","27","0","63","0","0","76","26","0","50","34","0","35","0","1","96","1","10","0","1","23","79","9","29","2","137","0","9","4","30","46","11","4","78","884"
"
Bronx, NY 
(40.872287, -73.885859)","-73.885858999999996","40.872287","3","60","0","67","0","0","10","0","0","13","68","0","23","0","0","124","0","0","0","1","6","59","1","12","0","179","1","8","12","61","92","40","0","42","882"
"
Bronx, NY 
(40.852222, -73.887517)","-73.887517000000003","40.852221999999998","1","14","0","134","0","0","31","1","0","3","40","0","10","0","0","72","0","3","1","2","12","57","13","166","2","258","0","10","0","22","68","15","0","30","965"
"
Bronx, NY 
(40.833804, -73.920798)","-73.920798000000005","40.833804000000001","3","48","0","93","0","0","266","12","0","13","11","0","20","0","0","20","5","3","2","1","6","206","21","86","5","99","0","4","5","24","76","24","3","13","1069"
