"company","mine","county","coalfield","_2001","_2002","_2003","_2004","_2005","_2006","_2007","_2008","_2009","_2010","_2011","_2012","_2013","estimated_recoverable_reserves_currently_under_lease_at_active_mines_2013"
"UtahAmerican Energy, Inc. -Murray Energy Corp.","Lila Canyon","Emery","Book Cliffs","--","--","--","--","--","--","--","--","--","72","157","304","257","39,200"
"Canyon Fuel, LLC -Bowie Resources, Inc.2","Skyline #33","Emery/Carbon","Wasatch Plateau","3,822","3,477","2,771","551","405","1,759","2,558","3,120","2,910","3,050","2,950","1,954","3,135","15,000"
"CONSOL Energy","Emery","Emery","Emery","--","26","243","256","1,187","1,054","1,026","1,050","1,238","999","--","--","4","--"
"Castle Valley Mining LLC4 - Rhino Resources","Castle Valley #1","Emery","Wasatch Plateau","1,254","953","403","--","--","--","--","--","--","--","--","--","--","--"
"Castle Valley Mining LLC4 - Rhino Resources","Castle Valley #3","Emery","Wasatch Plateau","--","4","310","227","304","27","--","--","--","--","--","--","--","--"
"Castle Valley Mining LLC4 - Rhino Resources","Castle Valley #4","Emery","Wasatch Plateau","--","--","--","112","151","462","653","868","651","--","592","1,004","875","6,900"
"Energy West Mining Co.","Deer Creek","Emery","Wasatch Plateau","4,338","3,984","3,938","3,356","3,910","3,748","3,685","3,878","3,833","2,954","3,143","3,295","2,785","14,400"
"Energy West Mining Co.","Trail Mountain","Emery","Wasatch Plateau","924","--","--","--","--","--","--","--","--","--","--","--","--","--"
"GENWAL Resources, Inc. -UtahAmerican Energy, Inc. -Murray Energy Corp.","Crandall Canyon5","Emery","Wasatch Plateau","3,996","3,248","1,161","872","1,593","613","400","--","--","--","--","--","--","--"
"GENWAL Resources, Inc. -UtahAmerican Energy, Inc. -Murray Energy Corp.","South Crandall Canyon5","Emery","Wasatch Plateau","--","--","26","103","225","759","--","--","--","--","--","--","--","--"
