"branch","address","city","zip","january","february","march","april","may","june","july","august","september","october","november","december","ytd","location"
"Albany Park","3401 W. Foster Ave.","Chicago","60625","3419","3366","4404","4299","4256","4958","5325","5877","6740","7259","6445","6492","62840","POINT (-87.713595 41.975693)"
"Altgeld","955 E. 131st St.","Chicago","60827","339","270","412","470","724","998","1437","1397","162","155","1744","2652","10760","POINT (-87.5989 41.657262)"
"Archer Heights","5055 S. Archer Ave.","Chicago","60632","2949","2857","3310","3325","2911","2244","2937","2993","2847","3095","2709","2488","34665","POINT (-87.726723 41.801206)"
"Austin","5615 W. Race Ave.","Chicago","60644","2991","2412","3799","2957","2615","2946","2874","3083","2926","3171","3164","2383","35321","POINT (-87.766942 41.889281)"
"Austin-Irving","6100 W. Irving Park Rd.","Chicago","60634","3101","3072","4830","3651","4121","4523","4536","4337","4483","4613","3488","3965","48720","POINT (-87.779388 41.953025)"
"Avalon","8148 S. Stony Island Ave.","Chicago","60617","2985","2513","4235","3864","4046","3479","4270","4583","4489","4840","4136","3413","46853","POINT (-87.585869 41.746322)"
"Back of the Yards","2111 W. 47th St.","Chicago","60609","1440","1482","2382","1491","1948","1970","2560","2873","2283","2957","1877","2122","25385","POINT (-87.677601 41.808523)"
"Beverly","1962 W. 95th St.","Chicago","60643","1709","1221","1741","2081","1761","1816","2350","2000","1994","2178","2368","2237","23456","POINT (-87.672288 41.721148)"
"Bezazian","1226 W. Ainslie St.","Chicago","60640","0","0","1629","4587","3738","2300","3663","5547","5549","6515","5552","4581","43661","POINT (-87.660739 41.971414)"
"Blackstone","4904 S. Lake Park Ave.","Chicago","60615","3491","2572","4279","4316","4527","4822","5970","6237","5925","6649","6316","5906","61010","POINT (-87.590212 41.807619)"
"Brainerd","1350 W. 89th St.","Chicago","60620","617","815","1160","129","0","469","624","655","714","754","602","774","7313","POINT (-87.657726 41.732282)"
"Brighton Park","4314 S. Archer Ave.","Chicago","60632","1250","1004","1515","1418","1451","1481","2581","2499","320","0","1270","1427","16216","POINT (-87.703067 41.814848)"
"Bucktown-Wicker Park","1701 N. Milwaukee Ave.","Chicago","60647","5015","4257","4969","5355","5364","4530","6287","5834","5961","6668","7070","5676","66986","POINT (-87.680298 41.912224)"
"Budlong Woods","5630 N. Lincoln Ave.","Chicago","60659","5058","4386","5771","5662","5382","6008","7148","7031","6210","6390","6078","5559","70683","POINT (-87.696439 41.983843)"
"Canaryville","642 W. 43rd St.","Chicago","60609","0","0","0","0","0","0","396","808","1744","1778","1586","1599","7911","POINT (-87.642569 41.81627)"
"Chicago Bee","3647 S. State St.","Chicago","60609","496","488","595","653","866","974","898","1130","1076","1145","931","936","10188","POINT (-87.626436 41.828152)"
"Chicago Lawn","6120 S. Kedzie Ave.","Chicago","60629","2444","2207","3018","2960","3233","3605","4959","5416","4056","3890","3524","3557","42869","POINT (-87.703231 41.781967)"
"Chinatown","2100 S. Wentworth Ave.","Chicago","60616","2963","2583","4102","6748","6209","7770","11264","11362","10363","11385","10353","8681","93783","POINT (-87.631794 41.854267)"
"Clearing","6423 W. 63rd Pl.","Chicago","60638","440","380","1100","525","1535","0","455","1605","1515","1590","380","1152","10677","POINT (-87.782282 41.7768)"
"Coleman","731 E. 63rd St.","Chicago","60637","3059","2538","2316","3029","1382","2802","2913","3625","3568","3778","3444","3827","36281","POINT (-87.606849 41.780405)"
"Daley, Richard J.","3400 S. Halsted St.","Chicago","60608","2480","2162","2959","3141","4858","3370","3473","653","0","0","0","0","23096","POINT (-87.646149 41.8327)"
"Daley, Richard M.","733 N. Kedzie Ave.","Chicago","60612","6556","6016","6788","5320","4750","5961","4218","5543","5565","4430","4142","4819","64108","POINT (-87.706545 41.894322)"
"Douglass","3353 W. 13th St.","Chicago","60623","435","326","484","548","484","184","589","1165","1055","728","1152","895","8045","POINT (-87.709767 41.864527)"
"Dunning","7455 W. Cornelia Ave.","Chicago","60634","4240","3646","4945","5441","4854","5150","7909","8380","8512","6217","6054","5705","71053","POINT (-87.813908 41.94331)"
"Edgebrook","5331 W. Devon Ave.","Chicago","60646","3693","3427","4527","4316","3982","4167","5480","5383","4771","4556","4563","4018","52883","POINT (-87.76204 41.997245)"
"Edgewater","6000 N. Broadway St.","Chicago","60660","7563","6508","7403","7607","3654","6060","10020","9843","9328","9424","8436","8461","94307","POINT (-87.660306 41.990923)"
"Gage Park","2807 W. 55th St.","Chicago","60632","0","0","0","0","0","0","0","406","740","1308","1243","1122","4819","POINT (-87.694138 41.793722)"
"Galewood-Mont Clare","6871 W. Belden Ave.","Chicago","60707","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-87.798468 41.921134)"
"Garfield Ridge","6348 S. Archer Ave.","Chicago","60638","2594","2330","3215","2816","2705","3375","3626","3139","3204","3526","3122","3419","37071","POINT (-87.780075 41.79286)"
"Greater Grand Crossing","1000 E. 73rd St.","Chicago","60619","837","954","1097","1137","1137","1304","2303","0","930","1724","1237","950","13610","POINT (-87.600377 41.762277)"
"Hall","4801 S. Michigan Ave.","Chicago","60615","0","704","1629","1662","2029","2478","2627","2660","2278","2800","2333","2128","23328","POINT (-87.622776 41.807273)"
"Harold Washtington Library Center","400 S. State St.","Chicago","60605","39287","36109","43918","38621","24131","49671","52519","43215","52795","57025","54392","52268","543951","POINT (-87.627695 41.876301)"
"Hegewisch","3048 E. 130th St.","Chicago","60633","1165","1081","1450","1507","1451","1523","1611","1428","1461","1568","1365","1362","16972","POINT (-87.548914 41.659153)"
