"fiscal_year","type","operating_revenues","operating_expenses","net_available_revenue","debt_service","net_available_revenue_coverage","net_operating_cash_flow","net_operating_cash_flow_coverage"
"2005","Sewer Enterprise Fund Revenue Bonds and Notes","437411","212051","225360","125309","1.7984342705","200550","1.6004437032"
"2006","Sewer Enterprise Fund Revenue Bonds and Notes","492711","232971","259740","143974","1.8040757359","206380","1.4334532624"
"2007","Sewer Enterprise Fund Revenue Bonds and Notes","518393","240840","277553","160005","1.7346520421","262994","1.6436611356"
"2008","Sewer Enterprise Fund Revenue Bonds and Notes","543417","276508","266909","170140","1.5687610203","248030","1.4577994593"
"2009","Sewer Enterprise Fund Revenue Bonds and Notes","543318","287135","256183","151996","1.6854588279","237586","1.5631069239"
"2010","Sewer Enterprise Fund Revenue Bonds and Notes","543258","264072","279186","170413","1.638290506","265541","1.5582203236"
"2011","Sewer Enterprise Fund Revenue Bonds and Notes","510214","256664","253550","174804","1.4504816823","214662","1.2280153772"
"2012","Sewer Enterprise Fund Revenue Bonds and Notes","520664","254980","265684","177195","1.4993876802","236768","1.3362002314"
"2013","Sewer Enterprise Fund Revenue Bonds and Notes","576552","279587","296965","206965","1.4348561351","284783","1.3759959413"
"2014","Sewer Enterprise Fund Revenue Bonds and Notes","573772","265284","308488","190988","1.6152218988","266081","1.3931817706"
