"date","week","month","year","railroad","region","loadings_plan","loadings_average"
"2017-04-12T00:00:00.000","15","4","2017","UP","Powder River Basin","15.1","13.7"
"2017-04-12T00:00:00.000","15","4","2017","UP","Uinta Basin","3.5","3.6"
"2017-04-19T00:00:00.000","16","4","2017","BNSF","Central Appalachia","0","0"
"2017-04-19T00:00:00.000","16","4","2017","BNSF","Illinois Basin","0","0"
"2017-04-19T00:00:00.000","16","4","2017","BNSF","Northern Appalachia","0","0"
"2017-04-19T00:00:00.000","16","4","2017","BNSF","Other","3","2.7"
"2017-04-19T00:00:00.000","16","4","2017","BNSF","Powder River Basin","37","37.6"
"2017-04-19T00:00:00.000","16","4","2017","BNSF","Southern Appalachia","0","0"
"2017-04-19T00:00:00.000","16","4","2017","BNSF","Uinta basin","0","0"
"2017-04-19T00:00:00.000","16","4","2017","CN","Central Appalachia","0","0"
"2017-04-19T00:00:00.000","16","4","2017","CN","Illinois Basin","236","230"
"2017-04-19T00:00:00.000","16","4","2017","CN","Northern Appalachia","0","0"
"2017-04-19T00:00:00.000","16","4","2017","CN","Other","0","0"
"2017-04-19T00:00:00.000","16","4","2017","CN","Powder River Basin","0","0"
"2017-04-19T00:00:00.000","16","4","2017","CN","Southern Appalachia","0","0"
"2017-04-19T00:00:00.000","16","4","2017","CN","Uinta basin","0","0"
"2017-04-19T00:00:00.000","16","4","2017","CP","Central Appalachia","0","0"
"2017-04-19T00:00:00.000","16","4","2017","CP","Illinois Basin","0","0"
"2017-04-19T00:00:00.000","16","4","2017","CP","Northern Appalachia","0","0"
"2017-04-19T00:00:00.000","16","4","2017","CP","Other","0","0"
"2017-04-19T00:00:00.000","16","4","2017","CP","Powder River Basin","0","0"
"2017-04-19T00:00:00.000","16","4","2017","CP","Southern Appalachia","0","0"
"2017-04-19T00:00:00.000","16","4","2017","CP","Uinta basin","0","0"
"2017-04-19T00:00:00.000","16","4","2017","CSX","Central Appalachia","5780","5775"
"2017-04-19T00:00:00.000","16","4","2017","CSX","Illinois Basin","3494","3466"
"2017-04-19T00:00:00.000","16","4","2017","CSX","Northern Appalachia","3729","3703"
"2017-04-19T00:00:00.000","16","4","2017","CSX","Powder River Basin","0","0"
"2017-04-19T00:00:00.000","16","4","2017","CSX","Southern Appalachia","1200","1200"
"2017-04-19T00:00:00.000","16","4","2017","CSX","Uinta basin","0","0"
"2017-04-19T00:00:00.000","16","4","2017","NS","Central Appalachia","8.1","6.4"
"2017-04-19T00:00:00.000","16","4","2017","NS","Illinois Basin","3.1","3.1"
"2017-04-19T00:00:00.000","16","4","2017","NS","Northern Appalachia","6.1","5.7"
"2017-04-19T00:00:00.000","16","4","2017","NS","Southern Appalachia","0","0"
"2017-04-19T00:00:00.000","16","4","2017","UP","Other","0","1.3"
"2017-04-19T00:00:00.000","16","4","2017","UP","Powder River Basin","15.1","15"
"2017-04-19T00:00:00.000","16","4","2017","UP","Uinta Basin","3.5","3"
"2017-04-26T00:00:00.000","17","4","2017","BNSF","Central Appalachia","0","0"
"2017-04-26T00:00:00.000","17","4","2017","BNSF","Illinois Basin","0","0"
"2017-04-26T00:00:00.000","17","4","2017","BNSF","Northern Appalachia","0","0"
"2017-04-26T00:00:00.000","17","4","2017","BNSF","Other","3","2"
